故障类别,软/硬件,部件,标题,描述,原因分析,解决方案,Unnamed: 7
,,,机器人走起来歪歪扭扭,,,"1、查看磁条图确认霍尔板是否正常。
-是：进入步骤2
-否：校准霍尔板后继续观察，还是不行就更换霍尔板。

2、检查万向轮弹簧按压、转动轮子是否顺畅。
-是：进入步骤3
-否：清理轮子异物或更换轮子。

3、开机状态下转动主动轮能否转动。
-能：拆掉轮胎，紧固主动轮底座螺丝。
-否：进入步骤4

4、检查魔毯是否异常磨损，连接处是否平整。
-是：更换魔毯或处理不平整的地方。
-否：联系售后人员",
,,,机器人走的时候在摆动,,,"1、查看磁条图确认霍尔板是否正常。
-是：进入步骤2
-否：校准霍尔板后继续观察，还是不行就更换霍尔板。

2、检查万向轮弹簧按压、转动轮子是否顺畅。
-是：进入步骤3
-否：清理轮子异物或更换轮子。

3、开机状态下转动主动轮能否转动。
-能：拆掉轮胎，紧固主动轮底座螺丝。
-否：进入步骤4

4、检查魔毯是否异常磨损，连接处是否平整。
-是：更换魔毯或处理不平整的地方。
-否：联系售后人员",
硬件,其它,,小车在固定点位急停,小车在57.32这个点位会急停,"1.检查魔毯是否平整（没问题）
2.检查魔毯发现无法正常识别到RFID","1、查看磁条图确认霍尔板是否正常。
-是：进入步骤2
-否：校准霍尔板后继续观察，还是不行就更换霍尔板。

2、检查万向轮弹簧按压、转动轮子是否顺畅。
-是：进入步骤3
-否：清理轮子异物或更换轮子。

3、开机状态下转动主动轮能否转动。
-能：拆掉轮胎，紧固主动轮底座螺丝。
-否：进入步骤4

4、检查魔毯是否异常磨损，连接处是否平整。
-是：更换魔毯或处理不平整的地方。
-否：联系售后人员",
硬件,灯条按钮盒,,瑞意博电子标签问题,电子标签不能正常调用，有的黑屏,配合厂商调查，黑屏的电子标签是坏了，不能正常调用的是接触不良,"1. 重新插拔电子标签线束
- 观察是否异常
- 是：进入步骤2
- 否：问题解决

2. 更换/注册电子标签
- 观察是否异常
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决",
硬件,机器人,翻板电机,翻板电机离线,机器人分拣过程中，翻板无法翻，报错提示：翻板电机离线,"1、重新注册电机
2、拆机，确认电机指示灯是否正常
3、拔插电机连接线","1. 按照电机注册视频指引重新注册电机
- 将机器人放回平台，打开电源，观察是否继续报错?
- 否：问题解决
- 是：进入步骤2

2. 检查翻板电机的连接线是否松动，尝试重新插拔连接线
- 打开电源，观察电机上的状态指示灯
- 不亮：进入步骤3
- 亮：进入步骤4

3. 电机可能损坏，尝试按照操作视频更换翻板电机
- 将机器人放回平台，打开电源，观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

4. 将机器人放回平台，打开电源，观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

",
硬件,机器人,BMSP板,机器人通讯异常,机器人通讯异常，每次关机开机之后，四台机器人，其中一台状态未知,"1、修改信道
2、更换无线模块
3、更换BMSP","某台机器人还是大部分机器人
  -某台：进入步骤1
  -大部分：进入步骤5
1.检查机器人实际是否是开机状态
  -是：进入步骤2
  -否：进入步骤3
2.打开机器人查看无线通讯模块是否松动
  -是：插紧通讯模块
  -否：进入步骤4
3.机器人开机后再次尝试通讯是否成功
  -是：问题解决
  -否：进入步骤4，如无法开机则进入机器人无法开机操作步骤指引
4.更换一台正常机器人上的通讯模块进行交换查看是否正常
  -是：通讯模块损坏，更换通讯模块 
  -否：建议联系专业的售后技术人员处理
5.检查信道是否正常
  -否：查到干净的信道并修改，全关机机器人并删除信道文件后打开rcs
  -是：联系专业的售后技术人员处理",
,,,机器人通讯不上,,,"某台机器人还是大部分机器人
  -某台：进入步骤1
  -大部分：进入步骤5
1.检查机器人实际是否是开机状态
  -是：进入步骤2
  -否：进入步骤3
2.打开机器人查看无线通讯模块是否松动
  -是：插紧通讯模块
  -否：进入步骤4
3.机器人开机后再次尝试通讯是否成功
  -是：问题解决
  -否：进入步骤4，如无法开机则进入机器人无法开机操作步骤指引
4.更换一台正常机器人上的通讯模块进行交换查看是否正常
  -是：通讯模块损坏，更换通讯模块 
  -否：建议联系专业的售后技术人员处理
5.检查信道是否正常
  -否：查到干净的信道并修改，全关机机器人并删除信道文件后打开rcs
  -是：联系专业的售后技术人员处理",
,,,rcs上无法开关机机器人,,,"某台机器人还是大部分机器人
  -某台：进入步骤1
  -大部分：进入步骤5
1.检查机器人实际是否是开机状态
  -是：进入步骤2
  -否：进入步骤3
2.打开机器人查看无线通讯模块是否松动
  -是：插紧通讯模块
  -否：进入步骤4
3.机器人开机后再次尝试通讯是否成功
  -是：问题解决
  -否：进入步骤4，如无法开机则进入机器人无法开机操作步骤指引
4.更换一台正常机器人上的通讯模块进行交换查看是否正常
  -是：通讯模块损坏，更换通讯模块 
  -否：建议联系专业的售后技术人员处理
5.检查信道是否正常
  -否：查到干净的信道并修改，全关机机器人并删除信道文件后打开rcs
  -是：联系专业的售后技术人员处理",
硬件,飞箱,9号电机,101005拉箱失败箱子脱钩,拉箱<-地面车 飞箱: 101005 地面车: 230232............在地面车拉箱失败，箱子脱钩,飞箱拉箱时箱子脱钩导致拉箱失败箱子斜掉卡在地面车上,"1、提供弹窗信息和读取飞箱日志

2、检查TOF是否脏污。
-是：用干净的布擦TOF
-否：进入步骤3

3、检查箱子是否在正确箱位。
-是：进入步骤4.
-否：箱子摆放到正确位置。

4、检查物品是否超出箱子。
-是：整理箱子里面的物品
-否：进入步骤5

5、检查拉箱机是否有故障
-是：解决相应的故障
-否：进入步骤6

6、检查飞箱是否垂直。
-是：联系售后人员解决
-否：调整飞箱倾角。",
硬件,扫码台相机,,大华相机连接不上,扫码台打开后相机连接不上,"1，dahua文件和扫码台配置文件没有损坏
2，svs能连接其中一个相机，但再次打开扫码台是两个相机都连接不上
3，断电重启相机后能svs能正常连接相机","1.确认扫码台程序是否为新版本
-是：SVS相机工具中设备属性，可见性为大师模式，查看deviceUserId是否配置（相机所对应的发货口名称）
-否：进入步骤2

2. 相机断电后重新上电
- 观察是否能连接?
- 是：问题解决
- 否：进入步骤3

3. 重启扫码台软件
- 观察是否能连接?
- 是：问题解决
- 否：进入步骤4

4. 打开电控箱，插拔相机的网线
- 观察是否能连接?
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获得帮助",
硬件,飞箱,滑块轴承,101064飞箱异响,101064飞箱上下移动有明显的左右晃动也有异响,+A售后现场判断Z轴中滑轮损坏，需要更换，暂时没有备件,"1、检查5、6号电机是否在线或断断续续的离线。
-是：进入步骤2
-否：插拔线束或者更换电机
2、检查两侧皮带松紧度是否相同。
-是：进入步骤3
-否：皮带调整到相同松紧度。
3、检查两边滑块是否顺畅、无异响。
-是：联系售后人员协助检查
-否：查找异响/卡顿的地方，维修。",
硬件,飞箱,滑块轴承,101013飞箱异响,"101013飞箱上升的时候出现异响
",+A售后现场排查发现Z轴内部滑轮损坏，更换后恢复正常,"1、检查5、6号电机是否在线或断断续续的离线。
-是：进入步骤2
-否：插拔线束或者更换电机
2、检查两侧皮带松紧度是否相同。
-是：进入步骤3
-否：皮带调整到相同松紧度。
3、检查两边滑块是否顺畅、无异响。
-是：联系售后人员协助检查
-否：查找异响/卡顿的地方，维修。",
硬件,飞箱,其它,101012拉箱机拉箱失败,拉箱<-货架   飞箱: 101012 箱位: (A011)03-023..........拉箱机拉箱失败，抓钩总成后拉100mm拉不出来,由于101012飞箱频繁报错暂未发现原因已经对接给研发,"1、提供弹窗信息和读取飞箱日志

2、检查TOF是否脏污。
-是：用干净的布擦TOF
-否：进入步骤3

3、检查箱子是否在正确箱位。
-是：进入步骤4.
-否：箱子摆放到正确位置。

4、检查物品是否超出箱子。
-是：整理箱子里面的物品
-否：进入步骤5

5、检查拉箱机是否有故障
-是：解决相应的故障
-否：进入步骤6

6、检查飞箱是否垂直。
-是：联系售后人员解决
-否：调整飞箱倾角。",
硬件,飞箱,其它,飞箱101012 定位失效,飞箱: 101012 故障。问题: 定位失效 请恢复飞箱后点击已解决,1、101012飞箱今天第四次报错定位失效，已反馈给肖侠驹分析,"1、提供弹窗信息和读取飞箱日志。

2、检查是否因“Z轴卡住”报错导致的定位丢失。
-是：查找Z轴卡住的原因并解决，部分情况可以通过“终止任务”“启动任务”按钮恢复。
-否：进入步骤3

3、检查是否电压过低或充不上电导致的定位丢失。
-是：需要检查电源板和触点是否正常，具体检查方法可以联系售后人员协助。
-否：进入步骤4

4、检查雷达线是否松动，雷达支架是否变形。
-是：插拔雷达线，调整雷达支架。
-否：进入步骤5

5、检查X轴是否有异物卡住轮子。
-是:清理异物。
-否：联系售后人员。",
硬件,飞箱,其它,飞箱101012 定位失效,"报警消息：飞箱: 101012 故障。问题:
定位失效
请恢复飞箱后点击已解决",1、101012飞箱今天第四次报错定位失效，已反馈给肖侠驹分析,"1、提供弹窗信息和读取飞箱日志。

2、检查是否因“Z轴卡住”报错导致的定位丢失。
-是：查找Z轴卡住的原因并解决，部分情况可以通过“终止任务”“启动任务”按钮恢复。
-否：进入步骤3

3、检查是否电压过低或充不上电导致的定位丢失。
-是：需要检查电源板和触点是否正常，具体检查方法可以联系售后人员协助。
-否：进入步骤4

4、检查雷达线是否松动，雷达支架是否变形。
-是：插拔雷达线，调整雷达支架。
-否：进入步骤5

5、检查X轴是否有异物卡住轮子。
-是:清理异物。
-否：联系售后人员。",
硬件,飞箱,其它,飞箱101012 定位失效,"报警消息：飞箱: 101012 故障。问题:
定位失效
请恢复飞箱后点击已解决",1、101012飞箱今天第三次报错定位失效，已反馈给肖侠驹分析,"1、提供弹窗信息和读取飞箱日志。

2、检查是否因“Z轴卡住”报错导致的定位丢失。
-是：查找Z轴卡住的原因并解决，部分情况可以通过“终止任务”“启动任务”按钮恢复。
-否：进入步骤3

3、检查是否电压过低或充不上电导致的定位丢失。
-是：需要检查电源板和触点是否正常，具体检查方法可以联系售后人员协助。
-否：进入步骤4

4、检查雷达线是否松动，雷达支架是否变形。
-是：插拔雷达线，调整雷达支架。
-否：进入步骤5

5、检查X轴是否有异物卡住轮子。
-是:清理异物。
-否：联系售后人员。",
硬件,飞箱,其它,飞箱101012 定位失效,"报警消息：飞箱: 101012 故障。问题:
定位失效
请恢复飞箱后点击已解决",1、101012飞箱今天第二次报错定位失效，已反馈给肖侠驹分析,"1、提供弹窗信息和读取飞箱日志。

2、检查是否因“Z轴卡住”报错导致的定位丢失。
-是：查找Z轴卡住的原因并解决，部分情况可以通过“终止任务”“启动任务”按钮恢复。
-否：进入步骤3

3、检查是否电压过低或充不上电导致的定位丢失。
-是：需要检查电源板和触点是否正常，具体检查方法可以联系售后人员协助。
-否：进入步骤4

4、检查雷达线是否松动，雷达支架是否变形。
-是：插拔雷达线，调整雷达支架。
-否：进入步骤5

5、检查X轴是否有异物卡住轮子。
-是:清理异物。
-否：联系售后人员。",
硬件,飞箱,其它,飞箱101012 定位失效,"报警消息：飞箱: 101012 故障。问题:
定位失效
请恢复飞箱后点击已解决","1、远程连上去的时候，飞箱状态显示是正常的
2、通过监控录像回放，飞箱拉箱完成之后，报错定位失效，等十几秒后又自动恢复正常
","1、提供弹窗信息和读取飞箱日志。

2、检查是否因“Z轴卡住”报错导致的定位丢失。
-是：查找Z轴卡住的原因并解决，部分情况可以通过“终止任务”“启动任务”按钮恢复。
-否：进入步骤3

3、检查是否电压过低或充不上电导致的定位丢失。
-是：需要检查电源板和触点是否正常，具体检查方法可以联系售后人员协助。
-否：进入步骤4

4、检查雷达线是否松动，雷达支架是否变形。
-是：插拔雷达线，调整雷达支架。
-否：进入步骤5

5、检查X轴是否有异物卡住轮子。
-是:清理异物。
-否：联系售后人员。",
硬件,机器人,BMSP板,小车更换BMSP后添加异常,"客户小车更换霍尔板后添加异常
巴西tsort第九套",,"更换BMSP后需要重新注册并修改ip，根据以下操作指引进行
1.将机器人放到地毯上，根据电机注册视频操作指引进行注册
2.rcs界面点击快速加车按钮，机器人按A按钮则快速加车会显示车号并记录车号添加
3.在rcs界面按Ctrl+K打开窗口，双击空白界面打开ip修改窗口进行修改ip",
硬件,机器人,其它,机器人充电异常,机器人充电异常，充一会走开，再次进入充电桩，一直频繁进入离开,"1、打磨电极
2、测量电池电压
寄回检查
电源板BMS_503问题","1、检查充电嘴与小车极板接触面是否正常。
-是：进入步骤2
-否：更换充电嘴。

2、检查充电桩电源是否正常。
-是：进入步骤3
-否：检查电源线是否插紧，插座是否有电，充电桩开关电源是否有电。

3、检查小车极板是否氧化。
-是：用砂纸打磨极板
-否：进入步骤4

4、检查小车电源板正负极和信号线是否紧固。
-是：联系售后人员解决。
-否：紧固线束",
硬件,扫码台相机,,相机无法正常识别条码,美国希音B4仓第三套，SD0101扫码台无法正常识别条码，扫码台右边发货口正常识别,"1,相机能正常连接，并左右相机对比，左边相机比较模糊，右边相机正常并清晰
2，左右相机配置重新导入后效果依然模糊
3，让客户检查镜头是否松动，对照右边的相机镜头的刻度恢复相机刻度","1.打开SVS软件连接对应相机查看是否能识别条码
  -是：根据添加白名单操作指引进行
  -否：进入步骤2
2.其他扫码是否正常识别
  -是：检查svs软件中相机条码设置是否打开当前条码设置
  -否：进入步骤3
3.检查相机的光圈，焦距等是否正确
  -否：微调数值
  -是：联系专业的售后技术人员进行处理",
硬件,飞箱,Z轴皮带,106003z轴卡住,Z轴卡住.实际位置（4003.899902）目的位置（180.000000）,已经对接给研发查找异响/卡顿的地方，维修。,"1、检查5、6号电机是否在线或断断续续的离线。
-是：进入步骤2
-否：插拔线束或者更换电机
2、检查两侧皮带松紧度是否相同。
-是：进入步骤3
-否：皮带调整到相同松紧度。
3、检查两边滑块是否顺畅、无异响。
-是：联系售后人员协助检查
-否：查找异响/卡顿的地方，维修。",
硬件,机器人,翻板电机,翻板做完翻板动作，落不下去,客户反馈小车#222020翻板做完翻板动作，落不下去,翻板电机异常导致,"1.RCS界面查看机器人硬件信息，确认电机是否离线
-是：拆机检查电机状态和电机连接线的状态
-否：进入步骤2

2.按照视频指引翻板翻过
-是否恢复
-是：问题解决
-否：进入步骤3

3.按照视频指引注册电机
-是否恢复
-是：问题解决
-否：建议联系专业的售后技术支持人员获得帮助
",
硬件,机器人,BMSP板,机器人没法开机,213140机器人开不了机,"1.远程上去看机器人能可以开机但是一会就自动关机，询问之前机器人有更换过别的版子吗，客户回答没有更换过
2.更换bmsp和电源板后重新注册并客户无法正常添加小车，需要通过快速添加或者添加默认编号238238
3.更新小车固件和配置文件（已上传）配置文件更新皮带也有减速器的配置文件
4.小车能正常转皮带后并修改小车编号","1. 检查机器人电压是否过低
- 是：进入步骤2
- 否：进入步骤3

2. 进行手动充电，如果充不进电则需要手动激活（根据机器人激活电池视频操作指引）
- 是：问题解决
- 否：进入步骤3

3. 检查电池连接线是否松动，尝试重新插拔电池连接线
- 确认是否能开机?
- 是：问题解决
- 否：进入步骤4

4. 检查电池模块是否损坏，尝试更换电池模块
- 确认是否能开机?
- 是：问题解决
- 否：进入步骤5

5. 检查电源板和BMSP板是否损坏，尝试更换电源板和BMSP板
- 确认是否能开机?
- 是：问题解决
- 否：进入步骤6

6. RCS上确认AP是否离线
- 是：进入步骤7
- 否：建议联系专业的售后技术支持人员获得帮助

7. 检查AP的两根天线柱子是否拧紧，尝试重新拧紧，并且避免天线底座跟金属有接触。
- 确认是否离线?
- 是：进入步骤5
- 否：确认是否能开机
- 是：问题解决
- 否：进入步骤8

8. 检查AP的网线和电源是否正常，尝试重新插拔网线和电源线。
- 确认是否离线?
- 是：进入步骤6
- 否：确认是否能开机
- 是：问题解决
- 否：进入步骤9

9. 更换AP盒子
- 确认是否离线?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：确认是否能开机
- 是：问题解决
- 否：进入步骤10

10. 尝试更换AP信道
- 确认是否能开机?
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获得帮助

",
硬件,机器人,其它,129001轮超速,129001轮超速,,"1. 机器人关机一分钟后重新开机
- 观察是否继续报错?
- 是：进入步骤2
- 否：问题解决

2. 检查左右两侧轮子在开机的状态下是否能锁紧
- 能：进入步骤5
- 不能：进入步骤3

3. 按照视频指引重新注册电机
- 观察是否继续报错?
- 是：进入步骤4
- 否：问题解决

4. 检查连接电机的CAN线两端是否松动，尝试重新插拔连接线
- 观察是否继续报错?
- 是：进入步骤7
- 否：问题解决

5. 按照视频指引校准轮径
- 观察是否继续报错?
- 否：问题解决
- 是：进入步骤6

6. 检查RCS界面的磁条图
- 确认左/右侧电机是否有报错
- 无：建议联系专业的售后技术支持人员获得帮助
- 有：进入步骤7

7. 按照视频指引更换左/右侧电机
- 观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

",
硬件,扫码台相机,,扫码台相机花屏,海口邮政，相机3.212出现花屏,"1，重启扫码台没有效果，依然出现花屏
2，svs打开相机发现相机花屏，并非扫码台的问题
3，svs控制相机重启
4，相机询问大华厂家排查原因，厂家提议更新新相机固件修复花屏问题（固件已上传），","1. 相机断电后重新上电
- 观察是否还有花屏现象?
- 是：进入步骤2
- 否：问题解决

2. 请重启扫码台软件
- 观察是否还有花屏现象?
- 不能：进入步骤3
- 能：问题解决

3. 升级相机固件
- 观察是否还有花屏现象?
- 是：进入步骤4
- 否：问题解决

4. 更换新的相机
- 观察是否还有花屏现象?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决",
硬件,分拣机,电梯板,客户反馈分拣机没电了，LCD屏幕黑屏,客户反馈分拣机没电了，LCD屏幕黑屏,"1、查看电机的指示灯是否亮着（不亮）
2、打开电控箱查看电梯板的指示灯是否亮着（不亮）
3、测量输入电源hub板的输入电压（226v）
4、电梯板连接到交换机板没有输出电压","1.查看电机指示灯是否正常
  -是：进入步骤2
  -进入步骤3
2.查看电梯板指示灯是否正常
  -是：进入步骤4
  -否：检查电源是否有输出
    -是：更换电梯板并修改ip和升级
    -否：跟换电源线
3.查看输出板是否在线
  -否：重启分拣机或更换输出板
  -是：进入步骤4
4.拔掉扁线查看LCD屏幕是否能亮（亮），是否有烧焦的痕迹
  -是：根据查验看是否是电梯板烧坏还是线烧坏
  -否：联系专业的售后技术人员处理",
硬件,分拣机,电梯板,分拣机lcd屏黑屏,"6号客户反馈13号分拣机lcd屏黑屏，无法正常分拣
13号分拣机更换主板，wcs和分拣机通讯中断","1,所有电机灯不亮
2.电梯板的灯也不亮，但交换板灯正常亮（电源没有问题，电梯板故障）
3.分拣机主板默认ip地址没有修改","1.查看电机指示灯是否正常
  -是：进入步骤2
  -进入步骤3
2.查看电梯板指示灯是否正常
  -是：进入步骤4
  -否：检查电源是否有输出
    -是：更换电梯板并修改ip和升级
    -否：跟换电源线
3.查看输出板是否在线
  -否：重启分拣机或更换输出板
  -是：进入步骤4
4.拔掉扁线查看LCD屏幕是否能亮（亮），是否有烧焦的痕迹
  -是：根据查验看是否是电梯板烧坏还是线烧坏
  -否：联系专业的售后技术人员处理",
硬件,飞箱,其它,109009飞箱TOF离线,"项目名称：新加坡展厅飞箱 
报警消息：Pull bin <- StockRack
AirRob: 109009 binPosition: (A002)01-010
cmd exc: device offline:左后tof
远程查看的时候TOF已经在线，终止重试后正常",未知,"1、检查TOF指示灯是否闪烁
2、检查线束是否松动。
3、更换TOF或线束。",
硬件,飞箱,其它,105027飞箱定位失效，5号电机欠压,"远程查看中发现飞箱倾角数据不对，工具显示-7°的时候现场说是直的，重新校准倾角后，电机回零后正常
处理问题中触发205042、205040地面车急停，已恢复",倾角不对导致飞箱报错,"1、提供弹窗信息和读取飞箱日志

2、检查X轴导轨是否有异物卡住
-是：清除异物并把飞箱Z轴推垂直。
-否：进入步骤3

3、检查倾角是否正常
-是：进入步骤4
-否：通过操控界面调整倾角。

4、检查是否因其它部件报错导致的倾斜过大。
-是：解决其它部件问题后恢复。（如：拉箱机倾斜或X轴某个电机离线）
-否：联系售后人员解决。
",
硬件,飞箱,触点,101063飞箱没有电,"项目名称：流山UA 
报警消息：AirRob101063電圧継続落ちる！！！
远程查看时已经无法读取到电压和电流，现场检查充电触点接触是正常的，重新拉了一下充电接触的杆子后正常",充电模块没有接触到导致飞箱没有电,"1、检查触点模块线束是否有松动。
-是：重新插拔线束。
-否：进入步骤2

2、检查充电触点与铜线的接触面是否脱落或磨损异常。
-是：更换触点。
-否：进入步骤3

3、用万用表量电源板红色和黑色5芯接插件是否有电。
-是：如果有电则需检查铜线是否脏污或异常磨损。
-否：联系售后人员",
硬件,分拣机,减速机,5号电机过载,5号分拣机的5号电机过载,"1、尝试回零，短暂恢复后又过载；
2、重启分拣机，无法消除过载；
3、单机随机跑，还是会5号电机过载；
4、根据现场提供的运行视频和远程查看状态，判断为5号电机减速机故障。","
1. 重启分拣机，观察是否恢复正常
- 是：问题解决
- 否：进入步骤2

2. 使用工具连接当前分拣机，尝试进行手动左右动作是否正常
- 是：进入步骤3
- 否：更换4号减速器

3.更换五号减速器是否恢复正常
- 是：问题解决
- 否：联系专业的售后技术人员处理",
硬件,分拣机,输出板,输出板离线不亮灯,5号分拣机输出板离线,检查电控箱内输出板插线，重新拔插其CAN接线,"1. 检查输出板的指示灯是否正常亮起
- 是：进入步骤2
- 否：进入步骤3

2. 尝试重启分拣机，然后确认是否离线？
- 是：进入步骤3
- 否：问题解决

3. 输出板可能损坏，尝试按照操作视频更换输出板
- 打开电源，确认是否离线
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决",
硬件,飞箱,TOF25,106003飞箱拉箱失败,"106003 故障。问题X2移动错误:不在预备位置或载箱位置Y=424.799988,R=41.400002.请恢复飞箱后点击已解决",25tof外壳损坏导致无法拉箱,"1、提供弹窗信息和读取TOF日志。

2、检查TOF是否在线。
-是：进入步骤3
-否：1、查看TOF线束有无松动。
     2、检查TOF指示灯是否快闪。
     3、更换TOF。（更换TOF需要写号）

3、检查飞箱倾角是否正常。
-是：进入步骤4 
-否：通过飞箱操控界面调整倾角。（保证Z轴垂直）

4、检查该货位偏移量是否正常。
-是：进入步骤5
-否：重新校准偏移量。

5、检查TOF表面是否脏污。
-是：用干净的毛巾或者布擦干净
-否：进入步骤6

6、检查TOF安装螺丝是否松动
-是：紧固螺丝
-否：联系售后进行解决",
硬件,飞箱,TOF25,106003飞箱移动错误,"X2移动错误:不在预备位置或载箱位置Y-538.000000,R=42.599998.请恢复飞箱后点击已解决",肖工正在分析,"1、提供弹窗信息和读取TOF日志。

2、检查TOF是否在线。
-是：进入步骤3
-否：1、查看TOF线束有无松动。
     2、检查TOF指示灯是否快闪。
     3、更换TOF。（更换TOF需要写号）

3、检查飞箱倾角是否正常。
-是：进入步骤4 
-否：通过飞箱操控界面调整倾角。（保证Z轴垂直）

4、检查该货位偏移量是否正常。
-是：进入步骤5
-否：重新校准偏移量。

5、检查TOF表面是否脏污。
-是：用干净的毛巾或者布擦干净
-否：进入步骤6

6、检查TOF安装螺丝是否松动
-是：紧固螺丝
-否：联系售后进行解决",
硬件,机器人,翻板,翻板不能归位,进入手动翻板模式后，翻板手动用力推一下也不能继续归位。客户更换翻板电机,,"1.根据翻板翻过头操作视频指引进行恢复，是否正常
  -是：问题解决
  -否：进入步骤2
2.拔掉所有电机线只剩下翻板电机，磁条图中电机高级，选择零位校准，是否恢复正常
  -是：问题解决
  -否：进入步骤3
3.更换翻板电机是否恢复正常
  -是：问题解决
  -否：联系专业的售后技术人员处理",
硬件,机器人,翻板电机,191124自动关机,小车191124发生两次运行中自动关机,"1、分析Error日志，191124今天发生两次翻板失败的报错；
2、分析内核日志，发现其关机时间与翻板失败时间相吻合；
3、地图没有规划检修区，导致小车翻板失败后无法离开当前位置；
3、以上分析可以怀疑，由于其翻板失败导致翻板电机卡住而过电流，引发关机。","191124这样的六位数字组合为机器人的id或拉箱机的id
1.单个机器人还是所有机器人
  -单个机器人进入步骤4
  -所有机器人进入步骤2
2.按照Ctrl检查AP是否在线
  -是：进入步骤3
  -否：进入AP离线操作处理流程指引
3.检查信道是否使用的是干净的信道
  -是：建议联系专业的售后技术人员查看
  -否：修改为干净信道，把所有机器人关机退出软件，并删除rcs目录下的信道文件，然后重新打开rcs并开机

4. 使用万用表测量机器人充电极板的电压
- 低于3V：进入步骤6
- 低于4V：进入步骤5
- 高于4V：进入步骤8
- 测不出电压：进入步骤7

5. 手动充电
- 进行手动充电，5分钟后观察是否能开机
- 能：问题解决
- 不能：进入步骤7

6. 按照视频指引激活电池，并进行充电
- 充电5分钟后观察是否能开机
- 能：问题解决
- 不能：进入步骤7

7. 测不出电压表明电池可能损坏，尝试更换电池
- 观察是否能开机
- 能：问题解决
- 不能：进入步骤8

8. 检查电池连接线是否有松动，尝试重新插拔
- 观察是否能开机
- 能：问题解决
- 不能：进入步骤9

9. 观察电池传感器板是否有损坏，尝试更换传感器板
- 观察是否能开机
- 能：问题解决
- 不能：进入步骤10

10. 观察电源板是否有损坏，尝试更换电源板
- 观察是否能开机
- 能：问题解决
- 不能：进入步骤11

11. 尝试更换BMSP板
- 观察是否能开机
- 能：问题解决
- 不能：建议联系专业的售后技术支持人员获得帮助
",
硬件,飞箱,TOF22,104106TOF22号离线,104106拉箱失败,tof22插线问题，接触不良,"1、提供弹窗信息和读取TOF日志。

2、检查TOF是否在线。
-是：进入步骤3
-否：1、查看TOF线束有无松动。
     2、检查TOF指示灯是否快闪。
     3、更换TOF。（更换TOF需要写号）

3、检查飞箱倾角是否正常。
-是：进入步骤4 
-否：通过飞箱操控界面调整倾角。（保证Z轴垂直）

4、检查该货位偏移量是否正常。
-是：进入步骤5
-否：重新校准偏移量。

5、检查TOF表面是否脏污。
-是：用干净的毛巾或者布擦干净
-否：进入步骤6

6、检查TOF安装螺丝是否松动
-是：紧固螺丝
-否：联系售后进行解决",
硬件,飞箱,触点,101013飞箱欠压,101013待机电源欠压:23.922(v),,"1、检查触点模块线束是否有松动。
-是：重新插拔线束。
-否：进入步骤2

2、检查充电触点与铜线的接触面是否脱落或磨损异常。
-是：更换触点。
-否：进入步骤3

3、用万用表量电源板红色和黑色5芯接插件是否有电。
-是：如果有电则需检查铜线是否脏污或异常磨损。
-否：联系售后人员",
,,,飞箱电压不足,,,"1、检查触点模块线束是否有松动。
-是：重新插拔线束。
-否：进入步骤2

2、检查充电触点与铜线的接触面是否脱落或磨损异常。
-是：更换触点。
-否：进入步骤3

3、用万用表量电源板红色和黑色5芯接插件是否有电。
-是：如果有电则需检查铜线是否脏污或异常磨损。
-否：联系售后人员",
硬件,飞箱,触点,106001飞箱充电模块损坏,车服显示飞箱关机，排查确认充电模块损坏，更换后恢复正常,,"1、检查触点模块线束是否有松动。
-是：重新插拔线束。
-否：进入步骤2

2、检查充电触点与铜线的接触面是否脱落或磨损异常。
-是：更换触点。
-否：进入步骤3

3、用万用表量电源板红色和黑色5芯接插件是否有电。
-是：如果有电则需检查铜线是否脏污或异常磨损。
-否：联系售后人员",
硬件,飞箱,TOF25,101047飞箱拉箱失败，TOF25离线,远程检查发现飞箱报错，查看错误TOF25离线，关闭24V电源后，重新打开24V电源，飞箱无法启动，现场帮助24V电源复位后恢复，TOF恢复正常,,"1、提供弹窗信息和读取TOF日志。

2、检查TOF是否在线。
-是：进入步骤3
-否：1、查看TOF线束有无松动。
     2、检查TOF指示灯是否快闪。
     3、更换TOF。（更换TOF需要写号）

3、检查飞箱倾角是否正常。
-是：进入步骤4 
-否：通过飞箱操控界面调整倾角。（保证Z轴垂直）

4、检查该货位偏移量是否正常。
-是：进入步骤5
-否：重新校准偏移量。

5、检查TOF表面是否脏污。
-是：用干净的毛巾或者布擦干净
-否：进入步骤6

6、检查TOF安装螺丝是否松动
-是：紧固螺丝
-否：联系售后进行解决",
