问题提出时间,问题描述,解决过程
2024-04-24 21:19:00,包裹与机器人一同返回到入库口。存在格口锁定，无法操作T-Sort，无法打开通道，出口与之前的袋子关联。,客服LB-Louis-陈振林询问具体仓库和套数，客户确认是所有平台。客服表示需要详细的时间和条码信息以便查找。客服张皓琪介入处理，表示会处理已列出的格口，并要求现场重新绑定箱子。此问题持续发生，客户在2024-05-06再次报告多个格口仍锁定。客服张皓琪再次处理，并与客户确认处理进度。客服周雨瑾在2024-05-07确认问题已处理完毕，并将在明天给出详细原因和解决方案，确保此问题不再发生。2024-05-07，客服张皓琪详细说明了问题原因（数据库表数据量过大导致短时锁表和主从同步延迟）和解决方案：清理遗留数据、完善旧数据清理脚本、增加补推关箱上报功能。此问题在后续数日内反复出现，客服团队持续进行远程解绑和数据补推操作，并计划进行系统更新以从根本上解决问题。
2024-04-25 21:47:00,机器人172-223在启动循环时出现错误，车轮被锁定。,客服LB-Louis-陈振林要求提供机器人视频，并尝试手动旋转车轮。客户确认车轮被锁定，所有引擎都在运行，且未更换部件。客服尝试修改配置，随后发现车轮直径不正确。客服要求客户将机器人移出现场（不开机），然后移回。客服指导客户翻起翻板，并尝试校准车轮直径。客户确认操作后，机器人恢复正常。
2024-04-26 02:21:00,机器人167-091持续停止，报错434行走打滑（walking slip）。,客服项钱看（犯困版）检查后，告知客户需要更换霍尔板（hall plate），位于机器人底部。客户确认更换霍尔板。更换完成后，机器人被添加回系统但仍报错。客服告知需要注册，客户完成注册后，机器人恢复正常。
2024-04-26 13:30:00,T-sort RC 05上的所有传感器出现问题。,客服安稳要求提供视频/照片。随后询问情况，客户表示问题已自行解决。
2024-04-27 09:02:00,格口RC04-003在关箱上报时出现错误，该格口为稽查格口，不应进行关箱操作，导致无法绑定新箱子。,客服张皓琪确认了问题格口，并指出关箱上报失败导致无法绑定新箱子。客户陈浩要求客服进行语音沟通，并请相关人员解绑格口RC10-044。客服张皓琪和陈浩后续确认了该格口已可使用。此问题是“关箱上报异常”这一持续性大问题的一个具体实例，根本原因和最终解决方案请参考2024-04-24 21:19:51的事件描述。
2024-04-27 10:07:00,T-sort 08的通道15和27，以及T-sort 06的通道52出现相同故障（卡住）。,客服张皓琪确认问题已解决。
2024-04-28 19:23:00,T-sort 02 - Armazém B出现问题，无法拉取波次，返回拣货组状态错误。,客服LB-Louis-陈振林要求客户检查WMS的波次频率，客户确认WMS正常。客服张皓琪介入，识别出是“返回拣货组状态错误”的问题。客服姜文龙和张皓琪处理后，要求现场重新扫描箱号并拉取波次。客户尝试后确认问题已解决。
2024-04-29 19:31:00,T-sort 8 upper的坐标39.8处的地毯出现问题，机器人开机时无法识别RFID。,客服LB-Louis-陈振林检查后，确认地毯RFID需要更换。客户立即更换地毯。客服进行代码文件修改。客服发现新更换的RFID号与40.8坐标的地毯号相同，客户确认更换的是新地毯。客服完成修改后，问题解决。
2024-04-29 20:07:00,有多个机器人需要配置，包括167-146（更换BMSP板）、173-181（更换BMSP和电源板）和187-113（更换电源和BMSP板）。,对于机器人167-146：客服LB-Louis-陈振林要求客户开机并按A键。客服无法检测到机器人，建议重启或检查。客户报告出现24V过流输出错误，且无线模块未更换。此机器人问题悬置，转而处理其他机器人。对于机器人173-181：客户报告更换了BMSP和电源板，机器人有24V过流输出错误。客服要求客户将机器人移下平台（不开机），再放回。客服tuokylau确认问题仍在，要求检查电缆。客户检查后，机器人恢复在线并正常工作。对于机器人187-113：客户报告更换了电源和BMSP板。客服LB-Louis-陈振林要求客户开机并按A键。客服无法检测到机器人，要求重启或移下平台再放回。客服tuokylau发现所有部件不在线，要求通过物理按钮重启。重启后仍出现与173-181相同的错误。客服tuokylau要求检查左侧伺服电机电缆。客户确认已创建代码，随后机器人恢复在线并正常工作。
2024-04-30 01:39:00,T-sort 10 lower出现错误，机器人引擎灯不亮，无法移动，进入手动暂停模式。,客服项钱看（犯困版）要求客户将机器人放到地面上，并尝试按照视频操作录制视频，怀疑霍尔版本损坏。客户尝试操作按钮但机器人仍不动。客服要求更换电源板。客户更换了电源板和BMSP板，称只有更换这两块板后引擎灯才亮起。客户将机器人放回平台。客服项钱看（犯困版）指示客户开机并点击A键。客户操作后引擎被锁定，但客服确认机器人现在正常。
2024-04-30 04:49:00,同一分拣机（第五套）的格口显示异常，右边格口显示关闭但左边显示开启。,客户Técnico Sorter DHL和周山子互相确认平台和问题，Técnico Sorter DHL表示T-sort有错误。此问题在沟通中自行恢复，客服项钱看（犯困版）询问原因但未获得明确解释，问题未进一步跟进解决。
2024-05-02 01:39:00,充电器经常出现问题，询问接触弹簧是否可以相互接触。,客服项钱看（犯困版）表示理解，并提及上次检查需要更换充电柱线。客户表示没有备用充电器输出口。客服表示将询问是否可以从中国寄送备件。
2024-05-05 19:36:00,T-sort 6 lower的地毯出现错误，机器人无法读取RFID。系统显示机器人在32.7，但实际在31.7。,客服项钱看（犯困版）检查后，要求客户将机器人放置在32.7坐标。客户操作后，客服确认需要更换31.7坐标的地毯，因为RFID损坏。客户更换地毯并将机器人放回31.7坐标的地毯上。客服确认完成后，问题解决。
2024-05-05 20:12:00,Sorter 5的74号通道灯不熄灭但已打开。,客服张皓琪询问按下按钮是否有变化，客户表示没有变化，操作团队正在检查类似状态的问题。客服确认该格口未绑定箱子，并被强制打开。客服建议先集包关箱，然后绑定箱子。此问题被归因于“关箱上报异常”这一持续性大问题，后续由团队内部讨论解决方案。
2024-05-07 05:05:00,在Sorter 4上尝试关闭一些出口时，按下释放按钮出现错误。,客服项钱看（犯困版）询问客户是否已解绑释放。客服陈浩请相关人员处理数据，指出RC04-083绑定到了历史已关闭的格口。客服随后告知客户不要修改配置，他们处理完成后会通知。客服刘帆和张皓琪对相关格口进行了远程解绑。客户尝试后，问题解决。此问题也是“关箱上报异常”这一持续性大问题的一个具体实例，根本原因和最终解决方案请参考2024-04-24 21:19:51的事件描述。
2024-05-07 23:24:00,T-sort 4的进料口屏幕出现信息错误。,客服LB-Louis-陈振林、Shmily和张皓琪进行查看。客服张皓琪询问是否已恢复正常。客户确认一切正常，并表示感谢。
2024-05-08 00:26:00,立镖回传关箱明细存在不匹配的子包裹，格口:RC04-063，并列出大量不匹配的子包裹ID。客户陈浩询问原因，并指出有其他客户（Renan Akihissa）遇到同样问题（RC04-086）。,客服被@后，客服Ψθ、认为需要WMS开发查看。客户陈浩告知遇到同样问题的客户Renan Akihissa，目前有49个出口绑定到已关闭的仓库，明天中国时间会让开发工程师解绑。随后陈浩再次@立镖张皓琪确认WMS已解绑的包裹，设备侧是否也已解绑。客服Ψθ、确认已解绑。陈浩告知Renan Akihissa这些出口已解绑，可以修改配置到使用中的仓库区域。Renan Akihissa确认已完成。
2024-05-08 00:58:00,客户Técnico Sorter DHL请求协助处理T-sort 10 lower的机器人问题。,客服项钱看（犯困版）指示客户将机器人放到地面上。客户操作并确认。客服指示客户将机器人放回原位。客户操作并确认。客服确认机器人已恢复正常。
2024-05-08 03:19:00,Tsort03格口，两台电脑显示格口关闭和开启状态不一致。,客服项钱看（犯困版）让客户检查下层RCS的网络连接，发现ping不通。指示客户检查防火墙是否打开或网线是否正常。客户周山子表示会有林肯过来检查，并指出设备分拣正常。客服项钱看（犯困版）发现是有人将格口接收模式切换成了第二个选项，并说明正常只使用第一个选项。客户陈浩和周山子建议移除第二个选项或添加权限管控。客服项钱看（犯困版）表示会反馈此问题。周山子还要求客服检查其他设备。
2024-05-09 10:01:00,客户Técnico Sorter DHL报告在做封闭通道（关箱）操作时出现一定的延迟，无法完成订单。,客服Wang询问延迟的具体情况，客户解释是在通道关闭和订单完成时有延迟。客服要求客户提供照片或视频以及发生时间。客户表示会提供证据。
2024-05-09 18:52:00,客户Técnico Sorter DHL请求协助处理T-sort 9 lower的系统问题，按钮工作但系统报错，无法解决。,客服LB-Louis-陈振林建议客户尝试拔插连接线。客户尝试后未解决。客服询问是否有备用连接线或灯条，客户确认有。客服建议更换连接线。客户更换后仍然无效。客服建议更换按钮盒（light strip），可以尝试54或55。客户更换54号按钮盒后仍然无效。客户认为问题是系统性的。客服tuokylau建议客户使用万用表测试54和55之间的线缆以及两个按钮盒的连通性。客户发现55号盒的一个点没有连续性，并表示将进行更换。客户更换55号按钮盒后，客服LB-Louis-陈振林确认问题已解决，原因为55号通道的按钮盒损坏。
2024-05-09 20:14:00,客户Joao Vitor表示有许多J&T包裹在导入台被机器人退回。,客服LB-Louis-陈振林询问是哪个平台，客户告知是07号平台。客服追问是上层还是下层。客服检查后发现客户提供的条码（888000493160594）没有分拣信息，询问该包裹是否已被扫描并送出。客户确认。客服表示会检查是否存在小车翻板问题，并发现该包裹已在07:51被分拣到下层RC07-033chute。
2024-05-09 20:42:00,客户周山子反映系统显示两个格口，但实际货物在一个格口内（列举了两个包裹GC2405061736724483和GC2405053064980481）。,客户周山子表示皓琪（客服）已查过，应该没问题，但会持续观察情况。客服LB-Louis-陈振林补充说明检查了166125号小车的翻板，未发现故障。
2024-05-11 21:46:00,客户Técnico Sorter DHL请求协助配置机器人169-176，需要将机器人注册到系统。,客服LB-Louis-陈振林询问客户是否已更换bmsp板和电源板，客户确认。客服指导客户尝试按下机器人上的A键。客户操作后发现无效。客服进一步指导客户先关闭电脑，再打开，然后再次尝试按A键。客户操作后仍然无效。客服判断机器人无法连接到RCS，指示客户检查无线模块。客户询问如果更换霍尔板的程序，客服告知只需校准霍尔。客户表示将更换无线模块。客服提醒不确定是否是无线模块问题，可能是接触不良，但仍需检查。
2024-05-12 09:11:00,客户Técnico Sorter DHL报告RC-001的044通道出现问题。客服Ψθ、指出是关箱上报回传时目的格口与下发格口不一致。,客服何玉棠跟进，发现是同一个包裹（GC2405041569688581）被重复分拣，导致目的格口与实际到达格口不一致。客服何玉棠列出了一批重复分拣的包裹号，并指示客户剔除这些包裹。客服Ψθ、确认剔除后重新推送包裹即可。客服Ψθ、指导客户Técnico Sorter DHL将RC01-044格口重新绑定新的箱子。
2024-05-14 03:50:00,客户陈浩报告第4套下层设备停机。,客服项钱看（犯困版）检查后告知是被手动暂停。指导客户通过按下机器人的A按钮即可恢复。客户操作后确认设备已恢复运行。客户陈浩询问员工是在哪里操作导致手动暂停的。客服项钱看（犯困版）解释是B按钮，并推测可能是按键偏移导致运行中误触。
2024-05-14 04:05:00,客户陈浩和周山子报告有些车子来到导入台时是屁股朝着操作员，存在安全隐患，容易刮到员工手。,客服项钱看（犯困版）解释有时是进来的路线不一样，等所有车子过一遍应该就好了。客户陈浩表示持续观察仍发现此问题，并建议将转向点移到前一个位置，避免在人工操作范围内转向。客服项钱看（犯困版）表示会反馈此问题，并可以挨个修改。项钱看（犯困版）告知客户陈浩第4套设备的修改已完成，让客户测试，如无问题会修改其他设备。项钱看（犯困版）表示已重启，4号设备目前未在使用。陈浩要求检查是否存在方向不正确的车。
2024-05-17 16:09:00,客户Técnico Sorter DHL报告T-sort 09上层站台04的触摸屏（Toutch）出现故障，屏幕有损坏，已进行清洁和重启IHM但问题依然存在，且在短时间正常后又再次出现。,客服Wang确认了平台和站点信息。Wang对设备进行了重启操作。客户表示会启动机器并进行监控。客户随后再次报告触摸屏故障持续存在。客服Wang表示正在检查。最终，客服Wang告知客户在未来需要使用鼠标进行操作，因为触摸响应功能已被禁用，并为此带来的不便表示歉意。
2024-05-18 20:40:00,客户Enzo Ferreira报告大量包裹在“关闭箱子”（close the bin）操作时出现巨大延迟，导致现场积压大量包裹，所有格口都受到影响。,客户周山子要求客户Enzo Ferreira提供具体的格口号和包裹号，而非仅提供视频。Enzo Ferreira表示所有格口受影响。周山子指示客户停止放入新包裹。客服Ψθ、询问是否是关闭格口有延迟，周山子确认是无法关闭。客服Ψθ、检查后表示服务状态和接口调用正常，建议尝试使用PDA关闭格口。周山子让客户尝试一个格口。客服Ψθ、通过日志确认有格口成功关箱。Enzo Ferreira反馈问题仍存在延迟，需要尝试两次才能关闭，且仅在包裹物理满载（红灯亮起）时能正常关闭，若需在未满时手动关闭（例如因SLA或过重），则问题持续，需要扫描两次才能完成。周山子与客户通话后，告知客户操作员继续使用当前方式关闭包裹，不要停止机器，立镖团队正在检查，如果需要更新机器会通知客户。
2024-05-24 00:33:00,客户陈浩报告魔毯突起，请求指导如何处理。,客服项钱看（犯困版）建议客户使用3M胶，将突起处按下去并粘住。
2024-05-25 08:20:00,客户Técnico Sorter DHL报告T-sort 03 Upper的RCS 172-150机器人故障指示灯一直亮着。,客服安稳确认了平台信息。安稳指导客户在分拣结束后，将机器人放到地面上（而非地毯上），并根据视频操作重新校准霍尔。校准完成后，将机器人关闭30秒再重新开启。客户操作后确认问题已解决。
2024-05-29 20:10:00,客户Técnico Sorter DHL报告T-sort 8 Upper的机器人无法读取地毯上的RFID，坐标显示不一致。经过测试，其他机器人也无法读取该地毯的RFID，表明问题出在地毯而不是机器人。,客服LB-Louis-陈振林检查。客服指导客户将小车移动到地面上，不要关机。客户操作后确认问题在于地毯。客服建议更换地毯。客户更换了地毯。客服LB-Louis-陈振林询问更换地毯时是否也更换了地毯下的芯片，客户确认使用了新地毯的RFID。客服尝试检测新芯片但未能检测到，再次建议更换芯片。客户再次更换了地毯。客服LB-Louis-陈振林确认设备已恢复正常。
2024-05-30 14:56:00,客户Técnico Sorter DHL报告包裹在Sorter 5的03号导入点进行读取后，未能投放到格口。,客服Wang要求客户提供照片。客服Wang解释此问题需要客户的技术人员进行检查，因为信息是从WMS系统返回的。
2024-06-04 07:02:00,客户Técnico Sorter DHL报告T-sort 05上层站台02无法读取包裹，但在系统和HMI界面上都没有显示关闭或故障信息。,客服项钱看（犯困版）询问客户是否有相关条码或照片。客户确认没有读取错误信息。客服项钱看（犯困版）表示此类问题难以追溯，需要在问题发生时立即检查。客户表示会持续跟踪，如有新情况会联系。
2024-06-04 23:09:00,客户Joao Vitor表示无法解绑格口，需要客服协助解绑3个格口。,客服Wang让客户稍等。客服Ψθ、指示客户再次尝试解绑操作。
2024-06-09 07:55:00,客户Técnico Sorter DHL报告T-sort RC 02上层出现问题。,客服Wang要求客户提供照片或视频。客服Wang指示客户将173133号小车移出平台并保持通电。客户操作并确认已移除。客服Wang解释需要先校准，不应直接移除。客户表示会重新将小车放回平台。客服Wang澄清是指将小车移出平台放到地面，并保持通电，而不是删除。客户确认。客服Wang指示客户将小车放回平台。客服Wang随后询问是否正常，并要求清理平台。客户清理后确认设备已恢复正常，并表示感谢。
2024-06-09 12:26:00,客户Técnico Sorter DHL报告Sorter称重时，需要进行两次操作才能完成验证。,客户周山子直接回复“thats the logic ，do it”，表示这是正常逻辑，让客户继续执行该操作。
2024-06-11 01:53:00,客户Técnico Sorter DHL报告T-sort 9 upper的WES系统离线，已检查所有线缆并确认已连接。,客服项钱看（犯困版）确认WES离线，询问客户是否指的是WES电脑。客户确认。客服项钱看（犯困版）指导客户检查电脑防火墙是否打开、网络端口和IP设置，并指出无法ping通。客服进一步建议检查子网掩码，并推测可能是网线或交换机问题，需要客户现场协助检查。客户最终报告问题已解决，并感谢客服支持。
2024-06-12 02:39:00,客户Enzo Ferreira反映在手动处理过程中，有大量包裹出现“no zone”错误，其中6个满笼的包裹有此问题。之后更新说“Label A”已正常，但“Label B”仍有问题，请求检查。,客服周山子询问具体情况并索要包裹号。客户提供包裹号后，客服让其尝试。客户反馈“Label A”正常，“Label B”仍有问题，客服再次指示尝试并确认问题依旧。客服提醒客户今后遇到类似情况尽快反馈。
2024-06-12 14:25:00,"客户Técnico Sorter DHL反映RCS T-Sorter (RCS 07, Galpão A) 的感应站出现异常信息，产品无法从感应站进入目的地。",客服LB-Louis-陈振林询问分拣口状态、设备型号并检查。客服告知有两个分拣口未打开或已满，并确认其他产品可正常扫描分拣。客服Ψθ、询问格口RC07-019是否绑定箱子，并指导客户使用PDA扫描格口和袋子条码进行绑定操作。客户反馈无法进行关闭操作且袋子为空。客服Ψθ、进一步提示“容器状态有误”，需更换新袋子。客户更换新袋子后，客服指示重新扫描包裹即可分拣。客户反馈部分包裹恢复正常，部分仍有相同问题。客服Ψθ、解释剩余问题是WMS返回的信息，需要人工处理。
2024-06-22 02:42:00,"客户Filipe反映T-Sort 02, 04, 07, 08, 09等多个T-Sort设备出现相同问题，具体涉及Tsort07 - channel 62, Tsort 09 - channel 74, tsort04 channel 68, tsort08 channel 35, T-sort 02 channel 52。",客服项钱看（犯困版）询问是否已设置袋子，并表示会检查。随后客服指出客户未设置包裹，指导客户设置包裹后再次尝试。客户Filipe确认问题已解决。
2024-06-24 21:47:00,客户Técnico Sorter DHL反映T-Sort 3 Upper在启动时出现问题，特定位置（46.8）地毯上的机器人无法读取RFID。,客服Wang指导客户将设备放到地面并通电，然后放回平台。客服尝试随机运行，发现设备正常。客户再次强调问题发生在启动时。客服Wang询问是否移动过地毯或有杂物，并要求客户检查。客户确认未替换过地毯。客服Wang要求客户拍照检查轮子附近情况，并询问是否已清理。客服Wang确认RFID可以更换，但需修改配置。客户更换地毯后通知客服。客服项钱看（犯困版）远程修改网格配置。客户反馈机器人经过新配置的地毯时发生碰撞，并指出具体机器人编号（172-150）在新地毯上。客服项钱看（犯困版）指导客户将该机器人放到指定位置。客户照做后，客服项钱看（犯困版）确认已处理，让客户再次尝试。客户确认设备恢复正常。
2024-06-26 02:21:00,客户Técnico Sorter DHL反映T-Sorter 01下层设备无法连接摄像头。,客服项钱看（犯困版）指导客户检查计算机防火墙状态（打开则关闭，关闭则检查网线），并提供视频指导。客服表示无法远程检查，需要客户现场操作。客服要求客户关闭防火墙。客服询问PC的IP地址，并指导客户通过命令行查看IP或ping测试网络连接。客服进一步澄清是扫描站的电脑。客服项钱看（犯困版）告知需要重置，并提供了正确的IP、子网掩码、网关信息。客户按照指示操作后，客服项钱看（犯困版）确认已恢复正常，让客户再次尝试。客户确认问题解决。
2024-07-02 09:09:00,客户Enzo Ferreira反映Sorter 3设备操作员反馈没有关闭出口，但机器人卡住了。,客服Jacky表示会检查，并询问平台编号。客服Wang补充说明是TSort第三套下层。客服Jacky反馈IP地址无法ping通，询问客户是否可以检查网络或PC是否关机。客户表示网络似乎正常。客服Jacky询问网线是否松动。客户随后反馈设备已恢复正常，表示如果再次发生会通知客服。
2024-07-02 21:23:00,客户Técnico Sorter DHL反映RC设备无法进行解绑（unbind）或释放（release）通道操作。一些通道提示与已关联的袋子有关的错误，另一些提示有未投递包裹，还有一些虽然显示解绑成功但实际上未成功。,客服Yvemip9询问分拣机是否显示蓝灯。客服Ψθ、要求客户检查PDA版本，并告知当前版本过旧，提供了正确的PDA版本（1.0.400520）和获取方式。客户在更新版本后反馈问题依旧。客服Ψθ、解释是因为数量为0。客户进一步澄清错误发生在尝试将通道设为“release”状态时。客服Ψθ、指出解绑按钮位置。客户反馈按下按钮后出错，请求远程解绑。客服汪昌春和Ψθ、确认目前系统不具备导出分拣数据的功能。
2024-07-03 21:25:00,"客户Joao Vitor请求解绑T-Sort 07, 08, 09和10的多个出口（BRRC07-088, BRRC07-036, BRRC08-080, BRRC08-081, BRRC08-043, BRRC09-082, BRRC09-036, BRRC09-035, BRRC10-080, BRRC10-081, BRRC10-043），以便更改配置。",客服Yvemip9询问设备型号和格口状态，并转交问题给内部团队。客服陈浩确认客户需求，并通知客户这些未解绑的出口不影响当前使用。客户Joao Vitor解释因需更改出口配置，故必须解绑。客服陈浩解释当前是中国午夜，会通知IT团队在第二天上班后进行解绑，并在群里反馈。次日，客服Ψθ、反馈部分格口解绑时提示“发货大箱号不存在或发货大箱号错误”，需要绑定正确的发货大箱。客服陈浩指出这需要双方系统同步解绑。客服Ψθ、确认已进行解绑。姚宜生也确认已解绑。客服陈浩最终通知Joao Vitor所有出口已解绑，可检查并更改配置。
2024-07-05 00:49:00,客户Técnico Sorter DHL反映T-sort 9和10的通道已更改，但无法关联袋子。,客服陈浩要求客户提供所有出口编号，并要求客户再次尝试并发送错误图片及出口编号。
2024-07-11 05:01:00,客户张宇反映Sorter设备退出登录，询问是Libiao服务器还是RC网络问题，是否是网络断开导致。,客服Wang询问WES是否可访问，WMS系统是否收到WES请求。客户周山子提供包裹号。客服姜文龙确认收到请求。客服Wang表示似乎是解析问题，并要求提供报文。客服Wang表示现场已恢复正常投货，等待相关人员（张皓琪）上班后进一步确认。客户张宇随后确认是现场网络问题，因面临全球DNS问题。
2024-07-11 06:11:00,客户Lincoln Araujo和Belisa Takemura寻求Libiao的商务联系人，需要技术信息、备件报价，特别是关于机器人充电器和3D分拣机升降线缆的零件号和详细清单，以备库存和应对故障。他们提到已有太多充电器和机器人出现问题，其中一些充电器短路，影响了操作。还想了解质保申请流程。,客服Wang表示相关人员会及时反馈。客服Shmily介绍了商务负责人厉旋Lee。客服厉旋Lee询问客户是否能提供配件清单和数量。客户Belisa Takemura澄清他们正在向Libiao索要这份清单，以便采购和库存备件。客服Yvemip9将问题转交至LB-Jun项勇军。客服LB-Jun项勇军表示会跟进，并让项叶盛确认问题和数量。客服Shmily介绍项叶盛是售后经理。客服项钱看（犯困版）询问是否有清单（损坏原因、照片），并表示确认问题后会安排去巴西维护。客户Lincoln Araujo表示第二天会发送清单，并询问质保流程和模板。客服厉旋Lee表示会准备清单并通过邮件发送给客户。
2024-07-14 19:33:00,客户Viviane Palma反映T-sort 8 upper的地毯RFID有问题，无法识别。,客服安稳检查后确认地毯无法识别RFID，指导客户更换地毯并重新扫描。客户更换地毯后通知客服。客服安稳确认会修改地图文件，并告知已恢复正常。
2024-07-16 09:58:00,客户Lincoln Araujo再次强调需要对机器人充电器进行质保更换，报告已有3个充电器在正常操作中短路，另外3个因操作员接线错误导致损坏，共计6个充电器。请求尽快获得新充电器。,客服Shmily转交问题给相关负责人（厉旋Lee和LB-Jun项勇军）。客服LB-Jun项勇军表示会跟进，并让项叶盛确认问题和数量。客服项钱看（犯困版）询问损坏原因和照片，表示确认后会安排去巴西维护，并强调需要清单。客户Lincoln Araujo发送了详细报告，客服LB-Jun项勇军表示感谢统计，会发送相应配件，并要求客户尽快发送采购订单。客服项钱看（犯困版）请求客户提供充电桩线材特写照片，以确认是否有锡，因为如果线材带锡，也需更换。客户Lincoln Araujo确认理解，并表示会提供照片。同时，有其他客户张宇反映一层小黄人不能工作，并询问是否是电源问题，客服项钱看（犯困版）回复正在与Lincoln联系确认，部分问题是人为引起，他将择期进行现场检查。最后，客服项钱看（犯困版）询问文档中提到的摄像头不工作具体情况及迹象。
2024-07-16 19:01:00,客户Joao Vitor反映T-Sort 01设备将包裹抛到了错误的出口（M03的包裹被抛到M04）。这个问题在T-Sort 01的8个出口都存在，且是分散的。,客服Yvemip9询问具体问题并要求提供投递错误的包裹条码。客服Yvemip9表示未在分拣记录中找到该包裹，并猜测可能为人工放置。客户Joao Vitor不认同此猜测，强调其他出口也有同样问题，并提供了多条问题包裹的条码。客服Yvemip9指出许多包裹没有分拣记录，且其位置是机器人随机运行模式下随机投递的。客服Yvemip9询问客户是否在随机运行模式下启动T-Sort并诱导包裹。客户Joao Vitor确认理解，并表示会与操作员沟通。
2024-07-19 02:09:00,客户反映“运河”系统被卡住，无法关联任何集装箱。即使“运河”系统显示为开放状态，也无法绑定集装箱。,客服Wang询问是否无法打开，客户确认系统开放但无法绑定。客服Wang怀疑扫描了错误的集装箱号，并询问是否扫描了正确的号码。客户姜文龙要求Viviane Palma发送号码。客服Wang建议手动输入。客户姜文龙解释说这是一个用于测试的改变标签目的地，目前无需使用。
2024-07-19 04:12:00,客户询问扫描仪安装后是否需要配置，并表示有两台可能存在缺陷的扫描仪需要测试其功能，请求客服协助配置。,客服确认需要配置，并询问是新增还是替换。客户表示是测试有缺陷的旧扫描仪，寻求配置帮助。客服询问平台，客户告知在T-sort 1上层测试。客户更换了一台扫描仪。客服询问是否用新相机更换，客户否认，表示只更换了一个。客服询问更换的是哪个以及其IP地址。客服表示已完成配置并让客户尝试。客户反馈扫描仪能读取代码，但分拣通道关闭，表示稍后会用包裹测试。客户表示将安装另一台扫描仪。客服汪昌春询问是否有其他相机需要更换，客户澄清是测试库存中闲置的扫描仪。客户表示将绑定袋子进行测试，稍后会联系安装另一台扫描仪。客户感谢客服，客服表示不客气。
2024-07-19 08:56:00,客户反映称重验证设备不工作，请求检查。,客服Jacky建议联系电子秤系统支持人员。客户Lincoln Araujo认为这是Shein的问题。客服周山子表示目前只允许使用电子秤进行称重，并询问该秤的配置是否未更改。客服周山子请求姜文龙检查。姜文龙确认目前仅能使用电子秤称重是正确的。Enzo Ferreira表示会告知操作人员。周山子建议如果仍不工作，明天联系Shein IT团队。Enzo Ferreira最后表示Shein IT团队正在协助解决。
2024-07-20 21:47:00,客户需要帮助配置一台扫描仪，该扫描仪一直闲置，需要检查是否损坏，计划安装在T-sort 1上层。,客服询问扫描仪编号和灯是否亮。客户确认已开启且灯亮。客服Yvemip9检查IP 192.168.6.139的网线，但无法ping通。客户提供IP为192.168.8.194。客服询问是否更换了相机，客户确认已更换。客服Yvemip9进行调整后询问情况，客户表示将用包裹测试，但看起来正常。客服Yvemip9建议将相机光圈调整到8，并表示将进行调整。客户确认光圈已在8。客服Yvemip9再次询问情况，客户最终确认扫描仪已正常工作，并表示感谢。
2024-07-22 19:20:00,"客户寻求帮助，T-sort 6下层坐标48,6的“魔术地毯”（tapete）出现问题。",客服Yvemip9询问地毯是否已更换。客户表示未更换。客服Yvemip9建议检查该地毯是否损坏，并询问地毯下方是否有白色小圆圈。客户表示已检查并清理，但认为可能需要更换。客户决定更换地毯。客服Yvemip9强调地毯下方的小圆盘不能丢弃，需要粘牢。客户确认已粘好并清理。客服Yvemip9要求更换新地毯，并注意方向，更换后告知客服进行修改。客服表示已进行修改。随后，客服Yvemip9确认问题似乎已解决。
2024-07-22 20:13:00,"客户反映另一个位于坐标10,8的“魔术地毯”也出现相同问题。",客服Yvemip9要求同样更换此处的地毯，并注意方向。客户确认并表示已完成更换。客服Yvemip9确认已修改完成。客户Shmily询问是否更换了新地毯，客户确认已完成替换且已正常工作，并表示感谢。
2024-07-23 03:38:00,客户寻求帮助修复一个有缺陷的机器人。具体表现为机器人启动后轮子卡住，且系统显示电机离线。,客服Wang建议尝试关闭机器人一分钟后再重新启动。客户表示机器人已被拆卸检查过。客服Wang指示如果重启无效，则需要拆开检查。鉴于客户已说明其已被拆卸检查，客服Wang最后建议由于需要维修，先将机器人移除。
2024-07-24 01:11:00,客户反映他们将不可分拣的包裹发送到D仓，但D仓将所有包裹退回给RC，涉及到6辆车，这影响了MM流程，需要卸载车辆。客户进一步指出，他们将可分拣的包裹放入分拣机，但包裹却从非分拣出口流出，导致必须手动处理（因为包裹已接收），因此这不是操作错误，而是T-sort分拣机的问题，请求检查。,客服Wang建议咨询IT技术人员，并@姜文龙。姜文龙询问张宇D仓为何退回包裹。张宇表示仓库会正常接收，并约定下午一起在分拣中心检查包裹是否应人工分拣或上分拣机。客服周山子请求姜文龙检查。姜文龙解释称，人工接收时，如果使用子包裹装箱接收并标记为大件存储区，再放入分拣机，由于分拣机未配备大件格口，所有物品将从异常格口流出，这是正常的。姜文龙强调如果不是大件物品，不要在人工分拣区扫描接收，如果接收了，必须放入笼车，要求标准化操作。
2024-07-24 17:59:00,客户反映T-sort 9分拣机79号通道掉落了其他公司的包裹，这些包裹不应落在此通道，而是应落入其他通道，因此已将该机器暂停。,客服Yvemip9表示不理解，要求客户详细描述，并询问是第几套分拣机。客服Yvemip9看到T-sort 9没有被使用。客户Enzo Ferreira催促团队检查。客服Yvemip9表示稍后会检查。
2024-07-25 04:57:00,客户寻求帮助，询问更换Wi-Fi模块后是否需要配置（后经Lincoln Araujo确认指机器人Wi-Fi通信板）。,客服Aline Mesquita询问具体是哪个模块。客户Lincoln Araujo解释客户指的是机器人Wifi通信板。Aline Mesquita表示如果需要帮助可以告知。
