问题提出时间,问题描述,解决过程,解决过程.1
2024-01-26 11:00:00,客户反映满杯检测传感器的上方两个没有显示绿色在线状态。,客服初步诊断为从电源盒（192.168.9.244）到第一个灯条的连接线断开。客户尝试插拔连接器但问题未解决。客服要求客户标注电源盒位置，并指示尝试将线连接到倒数第二个灯条以排除故障。客服通过图片分析，判断连接线有问题，可能是使用了只有供电没有数据的2芯线缆（型号WTR000906），而非正确的4芯线缆（型号WTR000908）用于灯条和电源盒之间的数据传输。客服明确指出可能是安装错误。由于现场无备用正确线缆，客户被告知暂时可以继续使用，功能正常，但需注意灯条断开情况，待后续带正确线缆进行更换。,
2024-01-30 12:11:00,客户报告AGV发生放电（电量耗尽）现象，已恢复，但请求调查放电原因。,客服通过日志确认AGV服务在指定时间停止，但机器人长时间在发货口等待，工人未投递商品导致AGV无法离开，最终电量耗尽自动关机。客服解释AGV电量耗尽并非功能故障，而是长时间闲置等待造成。客服提醒客户，当不使用AGV时，应手动停止或关机，规范操作。客户同时询问如何查看前一天的运行日志，客服指导了通过RCS界面右键点击选择log目录下的日志文件进行查看的方法。,
2024-01-30 12:50:00,客户报告Lift15的104217号机器人出现视频中所示的闪烁状态。,客服建议客户检查该机器人雷达位置是否有灰尘或脏污。客户因现场急需恢复稼动，请求暂时删除该机器人，后续再调查。客服同意删除机器人以恢复工作，并要求现场人员配合检查雷达位置，如无法恢复需拍摄机器人前方照片。后续客户反馈，通过清洁传感器，机器人已恢复正常。然而，清扫后重新运行又出现短暂停止和等待循环，客服再次要求检查传感器是否有遮挡，客户表示已在检查。,
2024-01-31 14:12:00,客户反映在sorter1安装新的卸货架后，高度和角度不匹配导致托盘碰撞；并且3D分拣机启动时，电机也会撞到保护板或料框，请求调整数值。,客服确认可以调整。2月1日，客户明确要求将5列的X轴数值降低10。客服进行了远程修改，并告知客户需重启WCS才能生效。客户随后表示可立即重启，客服完成重启并请客户进行测试。,
2024-02-01 14:48:00,客户反映小型车使用绿色皮带，皮带旋转时会与导向件摩擦，产生粉末。,客服（Andy）初步判断是螺丝而非导槽摩擦，另一客服（木）指出皮带与纠偏块摩擦会产生粉尘，白色皮带也有此现象。客户表示绿色皮带粉尘更明显，且皮带已张紧至最大仍感觉松弛，怀疑皮带过长。客服（木）要求客户拍摄皮带下方照片以确认是否有明显下垂，并表示将把问题反馈给生产部门调查，同时询问是否有皮带打滑现象。客户确认目前没有皮带打滑，并感谢客服的反馈。,
2024-02-02 09:42:00,客户浅田报告在现场观察到“ライトバーが、空の状態で点灯することがあるか様子を見ます。” (灯条在空载状态下有时会亮起)的问题。此问题与客户先前要求的固件升级（希望解决此问题）的需求相关。,1. 客户浅田在09:38:26要求冷肖肖进行固件更新。2. 冷肖肖告知客户分拣机正在使用中，需要在空闲时才能更新固件（09:40:24）。3. 浅田确认休息时间会再次通知（09:41:18）。4. 浅田强调如果空载时灯条持续亮起，需要确认一下（09:53:14）。5. 冷肖肖解释固件升级就是为了处理这个问题，会等机器空闲时进行（09:54:16）。6. 浅田询问本次更新的固件改动点（11:52:15），冷肖肖回复是“共同物流在用的那个版本，30D，修复灯条在某些情况下取值错误，反正检测失败，其他就是我之前发过你的。” (共同物流使用的版本30D，修复了灯条在某些情况下取值错误，导致检测失败的问题)（11:57:49）。7. 浅田在12:04:25告知已到休息时间，可以更新。8. 冷肖肖在12:16:28告知固件升级完成。9. 冷肖肖在12:55:56向客户Badiane Alioune解释了问题根源：“工程师的解释是，灯条在使用过程中传感器会出现通信异常，程序在重置传感器过程中原代码存在bug，导致重置不成功，出现传感器没反应。” (工程师解释是，灯条在使用过程中传感器会出现通信异常，程序在重置传感器过程中原代码存在bug，导致重置不成功，出现传感器没反应)。10. 浅田在13:01:03确认bug已修复。,
2024-02-02 13:38:00,客户Badiane Alioune反映“the belt can be stretched and causing rubbing and scratches.” (皮带在使用了5个月后可能会拉伸并导致摩擦和划痕)。,1. 客服木在12:59:01首先解释了皮带张紧的质检标准及不同皮带的弹性差异。2. 木在13:42:46解释称“摩擦和划痕，还有粉末是我们现在的皮带机结构产生的，不是皮带拉伸造成的。短期内还解决不了这个问题。” (摩擦和划痕，以及粉末是当前皮带机结构所致，并非皮带拉伸造成。短期内无法解决此问题)。3. 木在13:46:59补充说明“皮带张紧到最大位置，皮带还是松的”这个问题是绿色皮带弹性更大造成的。,
2024-02-07 10:32:00,"客户浅田报告“GBテクノロジーにて、座標(4,7)で走行時にスリップが多く発生しています。” (在GB技术，坐标(4,7)处行驶时经常发生打滑)。","1. 客服冷肖肖询问是否是另一个场地（10:33:15），并要求客户提供现场TV ID（10:35:25）。2. 冷肖肖询问场地地毯情况（10:42:59）。客户浅田描述现场铺设的是PVC板（10:44:36）。3. 冷肖肖要求用户拍摄该区域照片（10:45:15），并指定拍摄两个地毯区域（10:47:12）。4. 浅田报告空载行驶没有问题，但负载30kg商品时出现打滑（10:58:51）。5. 冷肖肖判断“这里的地毯应该不太对，我测试了几个车都会出问题。” (这里的地毯可能不太对，我测试了几台车都会出问题)（11:10:44）。6. 冷肖肖询问机器人是否加装过垫片（11:11:13），浅田确认有两片（11:25:36）。7. 冷肖肖要求确认地毯是否异常或平台凹陷（11:26:28），并请求拍摄车子转弯向下走和急停时的视频（11:34:27, 11:40:54）。8. 浅田表示录制视频有困难，但会尝试（11:43:52）。9. 浅田询问是否可通过修改地图取消下行线以降低错误频率（11:52:45），冷肖肖表示这是最后考虑的方案，建议先处理地面起伏问题（11:55:59）。10. 浅田在现场检查，报告“へこみや摩耗は無いように見えます。” (没有凹陷或磨损)（15:01:01）。11. 池田（日研）提供行驶视频，最初报告“目立った揺れはございませんでした。” (没有明显晃动)（15:20:58），但后续又报告发生错误时有晃动（15:35:42）。12. 客服项钱看远程检查，询问地毯是否潮湿（15:39:48），池田（日研）否认（15:41:06）。13. 客服健仔询问是否进行过全场校准（15:40:57），池田（日研）确认并询问是否需要再校准（15:42:01）。14. 项钱看决定进行全场校准（16:04:40），并指导客户如何从软件进行批量校准（16:11:02, 16:17:50）。15. 校准完毕后，池田（日研）仍报告行驶时有晃动（16:20:46）。16. 项钱看建议更换4,4的地毯及RFID芯片（16:21:02, 16:22:15）。17. 池田（日研）报告更换完成（16:27:07），但仍发生错误停止（16:34:36）。18. 项钱看要求测量地毯水平度（16:45:21），并询问是否有摩擦声（16:46:00）。19. 池田（日研）报告无摩擦声（16:48:13），手机APP测水平度无问题（16:51:11）。20. 项钱看要求检查万向轮弹簧数量（16:53:11），池田（日研）确认是2根（16:58:29）。21. 项钱看要求校准103152和103117的霍尔（17:09:33）。22. 由于现场作业时间限制，客户暂停了后续操作，等待后续处理（17:17:47）。",
2024-02-08 10:39:00,客户池田（日研）报告“APがオンラインですが0%になっています。” (AP在线但通信率为0%)，上次现场访问时也出现过，通过插拔LAN线恢复，询问原因。,"1. 客服冷肖肖询问是否是固定AP出现此问题，AP天线放置方式及是否有绝缘垫（10:44:43）。2. 池田（日研）确认是同一AP，但其他场地也发生过类似问题（10:51:37），并发现其中一个天线没有绝缘垫（10:54:16）。3. 冷肖肖建议先做绝缘处理并观察，尽量远离地毯放置（10:59:46）。4. 池田（日研）于2月20日报告该现场AP无不调，但将在22日访问另一个有问题现场（10:52:12）。5. 池田（日研）于2月22日报告已进行绝缘处理、远离地毯放置、插拔线缆，但仍显示0%（10:56:44）。6. 客服项钱看要求检查AP天线状态和位置（11:02:56），池田（日研）提供照片，并确认天线拧紧（11:04:18, 11:10:08）。7. 项钱看要求在现场休息时间进行拔插网线操作（11:16:13）。8. 项钱看在13:57:56诊断“这个ap坏了，只能接受信号，但是无法发送信号，无线模块损坏，需要更换新的ap。” (这个AP坏了，只能接受信号，但无法发送信号，无线模块损坏，需要更换新的AP)。9. 池田（日研）确认下次访问时会准备新AP（13:59:35）。",
2024-02-11 17:03:00,客户Kei报告“4号3D归零不成功”。,1. 客服安稳在17:06:18查看后发现4号机已恢复正常。2. Kei要求查看日志以了解近期4号机停机原因（17:07:24）。3. 安稳在17:14:35回复日志中没有暂停数据，只看到了2月9号的报错记录（17:20:36）。,
2024-02-13 08:43:00,客户浅田报告“B029のタワーライトが、稼働していない時に点滅しています。” (B029的塔灯在未运行时闪烁)。,"1. 客服安稳在08:55:47询问灯是否仍在闪烁。浅田确认仍在闪烁（08:57:28）。2. Kei和浅田讨论了WES的货口状态，浅田确认货口为空（08:58:13, 09:00:02）。3. 安稳建议清除所有满包状态，使用集包按钮灭灯，并告知在非稼动时进行（09:08:14, 09:12:15）。4. 浅田从WES侧确认，2月12日14:47有满箱通知，之后持续闪烁，且WES侧无法解除满箱状态（09:41:47, 09:51:25）。5. 客服冷肖肖在09:58:55确认日志显示WES控制黄灯闪烁，并在10:15:17明确表示塔灯不受立镖控制，由WES发送命令。6. 浅田询问RCS向WES发送的指令是否正常，是否存在指令逆转的可能性（10:23:05, 10:34:44）。冷肖肖认为有可能（10:37:11）。7. Kei在10:39:41提到年后打算在发送满箱信号时增加延时以解决此问题。8. Kei和冷肖肖确认将通过RCS与WES通讯加时间戳来避免此情况（10:42:41）。9. 浅田在12:25:45确认延迟发送状态不会有负面影响。",
2024-02-19 12:33:00,客户浅田报告“フラップモーターがオフラインだったため、現場訪問したところ、ケーブルが切断されていました。” (由于翻板电机离线，现场检查发现电缆被切断)。,"1. 浅田在12:37:02询问断线原因。2. 冷肖肖询问电缆是否有弯折、场地温度及线材是否发硬（12:37:27, 12:41:59, 13:17:30）。3. 浅田确认电缆有弯曲，且纸箱或料框可能缠绕拉扯到线缆（12:38:24, 13:07:38）。4. 冷肖肖建议临时接好线缆看是否正常工作（13:10:37）。5. 浅田报告更换电缆后正常工作，修复后也正常（13:32:19, 13:35:40）。6. 客服andy在13:41:19判断是电缆安装不当，外壳卡在断线处，导致线缆长时间摆动磨损断裂。7. andy在13:43:00和13:44:31要求检查所有设备是否普遍存在此现象，并规范安装工艺。8. 浅田在13:46:35确认其他机型也可能存在类似负载过高的问题。9. 客服在17:20:39提供了视频辅助理解。",
2024-02-19 14:41:00,客户浅田反映“外径登録できないAGV（ID 100059）があったのでメインファームウェアを48Aから4B5に変更しました。” (有一个AGV（ID 100059）无法注册外径，因此将主固件从48A更改为4B5)。客户询问后续所有机器版本是否应统一到4B5或将100059降回48A。,1. 冷肖肖在14:44:26建议使用新版本固件4B5。2. 浅田询问电梯配合使用时版本或配置是否有注意事项（15:00:12）。3. 冷肖肖在15:01:50回复没有特殊设置。,
2024-02-20 11:46:00,客户中野报告“満杯センサーの登録完了しましたが、タワーライトが点灯しません。” (满箱传感器注册完成后，塔灯不亮)。,"1. 冷肖肖在12:01:14进行远程查看。2. 中野确认手遮挡满箱传感器有反应，但RCS的SomeTest无反应，且塔灯不亮（12:06:50, 12:07:10）。3. 冷肖肖建议WES先不要控制塔灯，并在12:16:25断开WES连接。4. 中野确认塔灯仍不亮（12:24:25）。5. 中野在12:34:04寻求暂停远程操作，待SE到场处理。6. 冷肖肖在12:35:02还原了设置。7. 冷肖肖在12:36:20解释日志显示WES一直在发送关闭灯的命令，导致无法控制；并在12:37:04告知单独通过灯条控制软件测试某个货口塔灯是可行的。8. 冷肖肖在12:38:37建议在新场地，让WES先不控制，在sometest中测试所有灯的亮度和颜色是否正确，再让WES控制。",
2024-02-20 16:07:00,客户浅田报告“zozoつくば1にて、157250のフラップモーターの固定部が割れていました。” (在zozoつくば1，AGV 157250的翻板电机固定部分破裂)。,1. 冷肖肖在16:09:21表示需要更换底盘。2. 浅田询问分拣动作时的负载是否会导致破裂（16:11:06）。冷肖肖在16:14:00将问题转给周望标。3. 客服木在16:27:05和16:48:00确认其他场地也发生过类似情况，是长时间翻板动作导致柱子断裂，底盘开裂。4. 浅田在16:48:45要求在保修期内（AC发行2023年4月）发送新的底盘。5. 客服吴婷在17:03:58确认在质保期内，并建议使用现场备用机替换（17:05:25）。6. 浅田在16:50:46询问未来底盘材质或结构是否会改变。木在16:56:46回复正在考虑加强结构，可能更换为ABS+PC合金材料。7. 冷肖肖在17:08:36和17:09:11确认机器人带减速机，以便申请正确底盘补发。,
2024-02-22 15:48:00,客户浅田报告“この地図はデッドロックする可能性があります。” (这个地图可能发生死锁)。,1. 冷肖肖在15:57:43确认该地方的停车区只能去掉。2. 冷肖肖在15:59:28表示会安排规划修改地图。3. 客服LB-Louis-陈振林在16:25:45报告修改完成。4. 浅田在16:31:25确认将替换地图。,
2024-02-26 11:04:00,客户浅田报告“WCSがなぜオフラインなのか確認お願いできますか？” (能否确认WCS为何离线？)。,"1. 客服LB-Louis-陈振林在11:10:21检查发现RCS和WCS之间网络不通，网段不一致，怀疑有人修改了WCS的IP地址（11:11:16, 11:14:17）。2. 浅田在11:15:34确认可能在测试时有人修改过。3. LB-Louis-陈振林在11:21:01要求提供WCS的原IP地址。浅田在11:22:05、11:28:33、11:29:46表示RCS和WCS在不同电脑上，IP地址不能相同，需要确认原IP。4. 浅田在12:12:22确认WCS已上线，表明IP问题已解决。5. 浅田在12:12:22要求绑定3D分拣机和RCS。6. LB-Louis-陈振林在13:06:37询问是否联动，浅田先说没有（13:33:58），后在13:35:55和13:37:55又确认已联动。7. LB-Louis-陈振林在13:54:47要求重启WCS后再次测试联动。8. 浅田在13:58:44确认重启后在线，但未测试联动。",
2024-02-27 13:18:00,3D分拣机电缆断线，请求提供新电缆。,客服肖肖确认收到，并于次日提交了配件申请。,
2024-02-27 13:42:00,请求提供3D分拣机在安装标准货架（30L、50L）和折叠箱时的卸货图纸，以及标准翻板角度（60度）卸货时的翻板位置数据。,客服Andy询问箱体类型，客户解释后，Andy提供了60度翻板角度的图纸。客户询问是否有带货架的图纸，Andy回复没有。客户表示理解并接受现有图纸。,
2024-02-27 14:17:00,机器人（AGV）不进入待机队列，而是试图前往停车位置，导致发生死锁；同时，在另一个现场，即使有其他入口（induction）是打开的，机器人却会溢出到常规行驶空间进行排队。,客服陈振林表示会查看，并指出地图需要修改。肖肖客服解释是部分机器人未绑定到指定入口（Induction），需在Robot Recycling Config.txt文件中进行绑定。倪里特客服确认了固定问题，并建议客户重新进行固定设置。,
2024-02-28 10:24:00,3D分拣机电缆上没有编号，请求确认电缆信息的方式。,客户随后自行查到了线缆编号，并询问分拣机铭牌上的SN号。客服肖肖确认收到信息，并提交了配件申请。,
2024-02-28 14:55:00,在客户环境中启用Windows Defender防火墙后，RCS灯条工具无法通信，导致灯条状态离线。客户希望通过允许特定端口来启用防火墙，请求确认RCS灯条工具使用的端口。,客服倪里特初步建议不开启防火墙，并解释RCS对网络安全无特殊要求。后明确指出需放行特定IP（192.168.11.147和192.168.11.145）的所有通信。客户最终确认是杀毒软件自带防火墙功能导致，关闭杀毒软件后灯条恢复在线。,
2024-03-01 10:43:00,AGV的皮带出货量存在差异，所有机器人的电机版本均为324。,客服陈振林通过远程协助，对发现问题的AGV进行了固件升级。客户确认升级后皮带出货量已改善。随后，客服为其他地图中的同类机器人也进行了升级，问题得到解决。,
2024-03-04 10:08:00,RCS仿真模式下，机器人从返回投放口到再次出发的时间设置是多久？,客服陈振林提供了相关配置关键词“RandomRunningDepartDelayMilliseconds”，并确认该设置对应的值（1000毫秒，即1秒）就是机器人返回投放口到再次出发的时间。,
2024-03-04 12:35:00,AGV ID: 251007无法正常读取RFID。,客服陈振林表示未找到该机器人（客户已删除）。客服陈振林推测可能是机器人未对准地毯导致无法读取RFID。客服倪里特表示还在确认中。由于机器人被删除，此问题未有后续明确的解决过程。,
2024-03-05 13:03:00,尽管格口（chute）已空，AGV（ID 141152）的皮带机却未启动并处于待机状态。AGV本身无异常。请求检查11:45~11:46左右的满载传感器状态。,客服陈振林和李海生检查了日志，显示皮带机有转动记录且无报错。客户手动测试皮带可转动。客服建议后续继续观察该AGV。客服陈振林模拟了现场情况，但未能发现问题原因。最终回复表示日志无报错，原因不明，如再出现需及时联系现场查看。,
2024-03-05 14:09:00,AGV ID 141100的皮带在运行时有异常声音。,客服tuokylau和陈振林询问异响来源。客户指出声音来自机器后侧。客服陈振林建议松动并拧紧螺丝测试，但异响仍在。客服李海生推测是内部齿轮问题。客户请求更换输送带（在保修期内）。客服陈振林表示需确认异响来源，随后已提交了配件申请。,
2024-03-06 13:59:00,RCS启动后，所有格口（chute）都显示为满载状态，但现场实际并非满载。,客服倪里特和夏明丽尝试远程连接。客户反映其使用的杀毒软件可能是原因。客服倪里特建议暂时关闭防火墙。客户最终确认是杀毒软件自带防火墙功能，关闭杀毒软件后灯条恢复在线。客服记录了此情况并强调需放行特定IP的通信。,
2024-03-07 08:52:00,绵半现场出现交通堵塞，请求检查和修改地图。,客服王和陈振林进行远程协助并更换了客户提供的地图。客户提出增加停车位需求，客服陈振林表示将在当晚修改地图，新增8个停车区，但指出即便如此也无法达到客户期望的生产指标。修改后的地图经仿真测试未发现堵车，但仍需现场分拣测试确认。客户接受，并请求在第二天早上更新地图。,
2024-03-07 10:11:00,皮带输送机型大型车（AGV ID: 251007）无法正常启动。,客服陈振林暂停了地图修改，检查该AGV。他发现轮径不对，并指导客户手动校准。校准完成后，陈振林更新了固件配置。客户确认AGV已改善并正常自动充电。,
2024-03-07 10:55:00,AP (Access Point) 192.168.16.134的通信状态显示0%。,客户已尝试重启AP、更换天线和网线但问题未解决。客服陈振林判断该AP已损坏（只能接收，不能发送信号），建议更换AP本体。客服解释故障原因除了静电干扰外，很少有其他因素导致AP部件损坏。,
2024-03-07 13:12:00,机器人试图前往一个没有路径的入口（induction）。,客服陈振林远程修改了地图。客户测试后报告再次出现警告，但客服表示已重启RCS，并让客户继续运行观察。,
2024-03-07 15:13:00,在新地图下，分拣模式（空载运行）仍出现交通堵塞。,客服陈振林解释堵塞是正常现象，因为分拣模式下许多小车同时前往同一个格口（B001），而在随机模式下格口任务分布均匀，因此不会堵塞。客户表示理解。,
2024-03-07 15:35:00,小型皮带输送机型AGV（ID 102066）的输送带电机电缆被热熔化。,客服陈振林确认是连接电机的电源线，并申请了该线缆。后确认该机器人已过保修期，无法免费提供配件，需联系商务购买。客户提供了相关IC号以便商务对接。客服进一步询问是否在安装时电缆已熔化，客户确认。客服还要求提供车辆类型照片以确认配件型号。,
2024-03-07 16:05:00,AGV优先前往离入口（induction）最近的A001和B001格口，导致任务不均衡，询问是否可以分散前往。,客服陈振林解释有设置可以限制前往同一格口的小车数量，但此设置当前未开启。客户中野请求暂缓开启此设置，优先进行WES系统改造，并暂时保持设置为关闭状态。,
2024-03-07 16:28:00,由于AGV从入口（induction）前通过，已扫描商品的AGV在入口内会等待一段时间才能出发，导致延迟。询问是否可以通过地图修改改善。,客服陈振林初步表示这与地图修改无关。客服倪里特认为当前地图设计不佳，有很大的修改余地。客服陈振林在当晚重新修改了地图，第二天客户部署后表示WES调整后堵塞减轻，但仍需进一步优化地图。,
2024-03-08 08:13:00,更新新地图后，RCS显示警告信息（可能与路线问题有关）。,客户请求远程协助。客服汪昌春尝试连接，后客服陈振林进行远程地图修改。修改完成后，客户开始随机运行测试。,
2024-03-08 10:32:00,格口A604的满载传感器有离线历史，请求远程确认。同时，多个格口（包括A604）的满载传感器出现首次的紫色点亮现象。,客服陈振林检查日志，确认了杀毒软件可能导致灯条离线的情况。客户报告A604传感器屏幕显示在线但灯不亮。客服确认其他格口正常。对于紫色灯条问题，客服推测是灯条固件版本不稳定，计划将固件从305升级到30D以提高稳定性。客服建议在现场有人时进行固件更新和A604灯条的更换。,
2024-03-11 09:32:00,两台AGV出现“Initialize Tray failed”错误，请求调查原因。,客服陈振林响应并询问客户是否在现场以便手动测试翻板。客服倪里特指出问题通常是通信造成，具体为RCS到AGV通过AP的通信，并怀疑AP信道设置有问题。客服倪里特告知客户RCS会重试，可暂时忽略异常。客服陈振林尝试更换信道，并提醒注意日本合法信道及多套RCS信道错开的问题。客服陈振林确认已修改信道并请求客户观察。客服倪里特纠正此错误并非翻板失败。客服陈振林询问是否为皮带小车，并确认皮带转动但未带商品。客服陈振林提议再次运行测试。客户询问是否更新了固件，客服确认并表示将再次测试。客服肖肖表示需与工程师沟通，请求客户保留现场机器人以供测试。后续客服肖肖尝试找翻板机器人进行测试，并确认了翻板动作。客服肖肖请求客户协助检查AP天线是否拧紧，并尝试重启AP。客服肖肖提出将问题AP与另一AP交换位置以排查故障。客服肖肖解释问题现象：问题AP会导致早上现象复现。客服肖肖最终升级了问题AP的固件版本，测试结果显示正常，并请客户次日观察。客服肖肖于次日给出最终结论：300版本之后的AP固件修复了此问题，即使在209固件上皮带也正常转动，只是数据传输有延迟，新固件延长了判断时间。,
2024-03-12 09:09:00,AGV ID 181092的减速机齿轮发出异响，该机器人仍在保修期内，请求发送部件。,客服陈振林表示会申请部件，并请求客户寄回损坏的总成供工程师检查原因。客户确认可寄回多个相同故障部件。客服陈振林指导客户拆下皮带并转动滚筒检查异响来源，确认异响源自电减速器电机组件。客服确认将收到两个故障部件。,
2024-03-12 14:58:00,希望了解AGV的413错误在何种情况下发生，因在错误日志中发现此代码。,客服陈振林询问具体问题。客户澄清是询问错误代码的详细原因，而非实际问题。客服肖肖解释413代码是“无地毯定位”，当机器人不在地毯中间或RFID读取不到时出现。客户确认是商品与AGV碰撞导致偏离地毯时也可能发生此错误。,
2024-03-13 09:17:00,询问3D分拣机传感器在开启状态下，如果货物未能通过传感器，其错误是否会记录在日志中。,客服陈振林确认问题理解。客服陈振林查询后回复：日志中没有直接记录传感器报错信息，但如果货物未通过传感器导致分拣机卸货失败，WCS日志中会记录卸货失败的报错信息。客户表示感谢，并说明昨日传感器多次报错后客户暂时关闭了传感器，重新开启后未复现问题。客户询问是等待复现还是可通过日志调查原因。客服Lizhihua请求直接获取日志进行分析并询问大致发生时间。客服Lizhihua确认收到WCS日志，并确认日志中确实出现多次卸货失败。客户询问传感器是否可能冻结。客服Lizhihua表示需要吴占宁分析，因传感器由其控制。客服吴占宁指导现场人员按视频操作查看翻板传感器灯。,
2024-03-13 10:45:00,希望RCS画面参数设置的临时生效功能也能设置密码，防止客户误操作。RCS4.04.16有此功能，但4.03.09版本无此密码设置。,客服陈振林确认客户需求。客服陈振林表示旧版本不支持此功能，需要升级到最新版本才能支持密码应用。客户询问最新版本是否默认包含密码以及是否可修改密码。客服陈振林确认新版本默认设置密码，但目前暂不支持修改密码。客户后续确认现场RCS版本为4.04.09，没有密码功能，并再次询问是否是设置关闭。客服陈振林解释需要RCS左上角日期在23年7月11日之后才会有此功能。最终确认此版本没有设置密码的功能，7月11日之后的RCS才会有临时生效设置密码的功能。,
2024-03-13 15:46:00,1月份进口的小型输送机电机电缆熔化，请求申请部件。,客服陈振林询问是否与上次熔化的连接线是同一批次，以及该皮带总成安装的小车编号及是否有其他连接线熔化。客户确认是同一根线，且安装前就已熔化，安装在不同机器人上后立即冒烟，目前没有其他连接线熔化。客服陈振林询问是否是电机发烫导致熔化，并怀疑是否插错位置。客服LB-Leo建议打开上盖检查。客服LB-Jun项勇军猜测是针脚插偏。客户确认BMS板和电源板没有故障。客服陈振林询问BMSP板针脚是否插错。客服陈振林询问冒烟发生在哪一端，并询问是否尝试过更换一根线后还会冒烟。客服LB-Leo建议更换该电线。客户确认安装的AGV和皮带总成都是不同的，但表示目前没有备用线缆。客服LB-Leo建议拆用其他小车的线缆。客服于次日询问客户是否已更换连接线并测试是否正常，客户确认尚未更换但可以测试。客服确认将在更换后等待客户回复。,
2024-03-14 07:20:00,需要对满杯传感器A604进行更换时的注册确认和固件更新到30D版本，请求远程支持。,客服陈振林确认支持并询问具体时间。客服陈振林请求客户将固件存放到灯条软件的电脑上，因远程传输文件困难。客户确认已保存。客服陈振林尝试远程连接，但发现电脑未连接外网且连接卡顿，多次断开连接，无法操作。客户协调并请求继续。客服陈振林请求现场人员协助操作，并确认可以在RCS启动状态下作业。客服提醒新更换灯条未注册成功，不能使用。客服陈振林请求客户滑动新更换的灯条以完成注册。客户配合滑动。客服陈振林确认更换的灯条已注册，固件也已更新，请求客户观察是否有异常。客户确认正常反应并感谢客服支持。,
2024-03-14 09:39:00,皮带类型小型车的出货量少/皮带转动量不足，请求调整。,客服肖肖请求录制现象视频，并询问是否进行过操作导致皮带转动量不对。客户表示是维修回来的机器人更换了皮带，未进行设置操作。客服肖肖请求再次测试。客户确认所有皮带出货量已正常，并感谢。,
2024-03-14 10:11:00,发生死锁：AGV在感应口等待队列中试图去往另一个感应口（非人为干预下怀疑逻辑问题），同时期有AGV从感应口等待队列去往滑槽（怀疑人为移动）。,"客服陈振林请求远程观察，并询问是否手动搬移过小车。客户确认当天早晨发生AGV碰撞，并手动移走了4台AGV。客服陈振林请求等待分拣结束后检查小车问题。客户后续添加了AGV，并报告U4感应口扫描的145242小车启动后返回感应口并与等待的145158小车碰撞。客服陈振林询问U4发货口地毯方向是否改变。客服肖肖再次确认现场是否有机器人回退并撞到感应口机器人的情况，并确认24,23坐标地毯方向是否调整过。客服倪里特建议不工作时手动逐格检查发货口地毯。客服肖肖表示日志已被刷新，无法进一步分析，只能继续观察，并已修改内核日志保存等级。客服肖肖确认有日志记录145152机器人急停日志显示其有回退到感应口的情况，但与客户提供的机器人ID不同，需要内核日志进一步分析。客户表示日志获取时间较晚。客服肖肖表示若再出现会进一步分析。",
2024-03-14 13:27:00,RCS仿真模式下无法切换模式。,客服陈振林询问是否不能从分拣模式切换到随机模式。客户回复已自行解决，但未说明具体原因。,
2024-03-15 14:34:00,RCS仿真随机走行时无法通过picking区域，询问是否需要实际分拣数据。,客服倪里特询问是否为Orbis，并解释产能仿真需要特殊RCS和订单数据文件。客户表示只想进行仿真随机走行确认是否发生死锁。客户Kei建议如果只为检查死锁，可在粉色区域旁添加普通滑槽即可运行，并表示普通RCS可按此方式确认。,
2024-03-18 12:16:00,RCS发出的指令是塔灯亮黄灯，但实际塔灯黄灯闪烁。,客服肖肖确认现象。客户表示上次测试正常，怀疑现场接线错误。客服肖肖表示命令看似正确，需确认线序。客户反馈重启黄盒子后问题已解决。,
2024-03-18 13:17:00,发现有10台AGV放电（电量过低），请求确认客户是否启动后长时间放置。,客服陈振林请求远程观察，并询问客户是否移动小车时未关机，以及搬移小车后是否重启了RCS。客户详细说明了移动AGV和发现放电的情况。客服陈振林查看日志发现，从搬移到新场地中间1小时中，小车电压有明显下降，猜测是搬移的1小时中小车没有关闭导致电量消耗。客服最终确认是小车搬移过程中未关机导致电量消耗。客户表示将告知客户相关注意事项。,
2024-03-18 14:24:00,询问是否有满杯传感器（灯条）颜色说明资料，例如注册完成时亮粉色等。,客服肖肖表示目前没有此类说明文档，但会尝试收集整理。客户Kei解释颜色没有固定含义，是根据操作自行设置的。客户表示了解，后续会挑选功能并确认当前数据中的颜色分配是否正确。,
2024-03-19 08:59:00,询问是否能将塔架上5台CB30机器人的固件主版本统一更新至4BB。,客服陈振林确认可以，并请求拍摄小车视频以确认类型。客户提供图片。客服陈振林确认更新完成，请求客户观察是否正常。客户确认所有已更新并感谢。,
2024-03-19 09:38:00,客户现场B系统中有三个满杯传感器无响应。上次A系统已将参数修改为30D，请求现在也修改B系统为相同参数。,客服陈振林询问是否是滑槽传感器损坏。客户解释远程查看在线，但可能通信重置失败导致冻结。客服陈振林确认是否需要将B平台灯条固件更新到30D版本。客户确认统一。客服陈振林确认已更新并重启了应用程序。客户感谢并表示下午会使用并确认是否有问题。客服陈振林表示暂时未发现异常。,
