dispose_type_name,dispose_content,解决方案,备注
换货,6-2-3设备12号分拣机、6-2-1设备26号分拣机   故障：3D分拣机分拣完成彩虹灯不会切换灯光模式，一直亮绿灯。原因：6#读卡器故障。处理：更换新6#读卡器,,
换货,14号分拣机     故障：3D分拣机提示电机过载、X滑块上轴移动时有异响、卡顿的现象  原因：轴承滚轮损坏  处理：更换新轴承,,
换货,"故障：小车电源板生锈，不能开关机及充电
原因：现场环境导致小车进水汽。
维修：更换电源板",,
换货,"故障：小车跑偏，磁条不准
原因：小车霍尔板温控有问题
维修：更换霍尔板",,
换货,"故障：小车按键无法使用
原因：现场环境导致按键进水，无法使用
维修：更换按键板",,
换货,"故障：小车在使用时，rcs上未显示
原因：无线模块进水损坏
维修：更换新无线",,
换货,"故障：小车在使用出现跑偏，不锁现象
原因：电机损坏
维修：更换电机",,
换货,"故障：BMSP生锈
原因：现场环境导致进水故障
维修：更换BMSP",,
换货,车号：115144、 112139、 115039、 113202、 100051   故障：小车底盘破损运行不了  原因：未知（还在观察中）处理：更换新底盘,,
换货,"问题：小车无法正常运行，无法校准轮径。
原因：小车BMSP故障导致
处理：更换新BMSP板",,
换货,"问题：小车原地不动，RCS上显示小车RFID异常
原因：小车霍尔损坏导致
处理：更换新霍尔板",,
换货,"故障：12349小车无法霍尔板读取不了RFID数据
原因：霍尔板故障
处理：更换霍尔板",,
换货,"故障：4号分拣机时常出现电容电压不稳定导致分拣机停机，离线状态
原因：电梯板电容可能出现问题
处理：更换电容板",,
换货,"故障:小车急停，运行中一直报警
原因：霍尔板故障
处理：更换霍尔板",,
换货,"故障：LCD控制盒屏幕不亮
原因：具体原因未知，待维修检测
处理：更换新屏幕",,
换货,小车电源板损坏,,
换货,小车电源板损坏,,
换货,霍尔不良,,
快速处理,"问题:皮带传送机由于辊轴垃圾太多，造成异响，运转困难，皮带破损。
解决：暂时清理垃圾，后续考虑更换皮带",,
快速处理,"问题：126112无法充电，原因：电池线松掉，处理：拧紧。
问题：113242无法充电，原因：电池温控板没粘牢，处理：重新粘牢。
问题：127208无法充电，原因：极板固定螺丝未拧紧，处理：重新拧紧
128111未发现问题",,
换货,"问题：小车运行中出现无定位现象
原因：霍尔板损坏导致
处理：更换新霍尔板",,
换货,"问题：按钮灯常亮异常
原因：BMSP故障导致
处理：更换新BMSP",,
快速处理,"故障：1号，4号位置电动货槽转动卡主
原因：电动货槽滚轮进垃圾，导致结冰粘付在滚轮，导致卡主，同时导致皮带破损
处理：更换皮带
附：对现场线束做整体整理，用扎带捆绑。",,
换货,5-4-2设备 30号分拣机   故障：3D分拣机提示电机过载、X滑块上轴移动时有异响、卡顿的现象  原因：轴承滚轮损坏  处理：更换新轴承,,
换货,车号 116094 故障：运行不了  原因  BMSP板5V模块输出电压值低于5.5伏（实测4.04伏）处理更换新BMSP板,,
换货,6-2-1设备  故障：充电桩第一开关电源不亮灯，小车充电时只有2盏灯亮  原因：开关电源损坏   处理：更换开关电源,,
快速处理,"问题：货架出现散架，螺丝掉落现象
原因：出厂固定货架螺丝未打胶导致
处理：更换带胶螺丝进行固定",,
快速处理,"问题：货架出现散架，螺丝掉落现象
原因：出厂固定货架螺丝未打胶导致
处理：更换带胶螺丝进行固定",,
换货,"问题：小车出现无法开机显示
原因：小车bmsp板损坏
处理：更换bmsp板",,
换货,"问题：出现死机现象
原因：电脑板损坏
处理：更换电脑板",,
换货,"问题：小车无法移动，死机
原因：相机画面卡死
处理：更换相机",,
换货,"问题：出现小车无法开机现象
原因：电源板损坏
处理：更换电源板",,
换货,"问题：小车充电异常
原因：充电桩夹头损坏
处理：更换夹头",,
换货,"问题：分拣机异常
原因：3号电机故障
处理：更换3号电机",,
换货,"问题：充电桩无输出
原因：充电电源损坏
处理：更换",,
换货,"问题：出现通讯异常
原因：ap出现故障
处理：更换ap
",,
换货,"问题：小车行走异常
原因：bmsp出现故障
处理：更换bmsp",,
快速处理,"问题：现场工控机出现问题
原因：内存条损坏
处理：更换",,
换货,"问题：小车行走异常
原因：小车右电机无锁死
处理：更换新电机",,
换货,"问题：出现分拣机故障，离线情况
原因：路由器同时接两个网线分别到，8；9号分拣 
机。网络冲突导致分拣机瘫痪
处理：将路由器搬到电箱里，不经过分拣机网过 
去；顺便将现场交换机更换为最新版",,
换货,"问题：小车出现转弯偏移导致报警暂停现象
问题：小车霍尔板出现损坏
处理：更换新霍尔板后小车正常
",,
运维,"左右电机离线，翻板电机离线，24V电源无法正常工作

","1.打开机器人盖子查看电机灯是否亮起
  -是：进入步骤2
  -否：更换机器人电源板
2.使用万用表测量电源板是否有24V输出
  -是：进入步骤3
  -否：更换电源板
3.跟换bmsp板并重新注册、修改ip后是否恢复
  -是：问题解决
  -否：联系专业的售后技术人员处理",
运维,"皮带电机离线
",按照机器人点击离线操作流程指引进行输出,
运维,"机器人所有轮子无法锁定
","1.打开机器人盖子查看电机灯是否亮起
  -是：进入步骤2
  -否：更换机器人电源板
2.使用万用表测量电源板是否有24V输出
  -是：进入步骤3
  -否：更换电源板
3.跟换bmsp板并重新注册、修改ip后是否恢复
  -是：问题解决
  -否：联系专业的售后技术人员处理",
换货,"1.故障：116250小车无法启动，一直报警
原因：检测BMSP板电压5.5v电压不够，实际只有4.6v
处理：更换BMSP板，随机跑正常
2.故障：相机条码读取不好
原因：相机镜头反光太强
处理：调整偏振镜，反光调最小。",,
快速处理,"1.故障：112175小车万向轮支架断裂
原因：环境温度太低，导致断裂
处理：更换万向轮支架
2.故障：一号位置左侧扫码台电脑显示不通电
原因：电源适配器线断掉
处理：更换新的电源适配器
3.电动货槽滚轮垃圾清理。",,
换货,"故障：电机全部离线
原因：电梯板故障
处理：更换电梯板",,
换货,"问题：3DLCD显示屏点不动
原因：LCD显示屏出现故障
处理：直接更换LCD盒",,
换货,"问题：3D分拣机出现离线，电机没电状态
原因：电梯板故障没有电压输出
处理更换新电梯板",,
快速处理,"问题1：出现挡边掉落现场
问题2：小车底板损坏
处理：进行加固，更换小车地盘",,
换货,车号：720092、72006  故障：启动车服时机器人状态：一直处于准备中、读取机器人硬件信息：除BMSP板在线，其余显示离线状态。 原因：电池包故障（具体原因未知，送回待检测）处理：更换新电池包,,
快速处理,"问题：124181、122235、130102、123039、127025、127045、124026、122245小车充电波形偶尔异常
原因：电池线松动、充电极板脏污
处理：常规检查后加入平台暂未出现异常
问题：地毯翘起
原因：天气热地毯被拉伸
处理：贴胶固定地毯",,
快速处理,"问题：30台相机滤镜变色
原因：亮度过高导致滤光片异常
处理：已更换15台滤光片
问题：地毯变形严重
原因：天气热地毯被拉伸
处理：粘胶固定地毯",,
换货,"1.故障112214小车经常急停
原因：小车bmsp板电压不够，实际只有4.7V，同时电源板充电模块故障，小车无法充电。
处理：更滑电源板，bmsp板
2.故障：112060小车翻板破损
原因：可能撞车导致
处理：更换翻板",,
换货,无,,
快速处理,"问题：相机滤镜变色
原因：亮度过高
处理：更换剩余15台相机并调试",,
换货,故障：翻板损坏   原因：长时间使用与货架碰撞后慢慢的出现裂痕   处理;更换翻板,,
换货,4-1-3设备26号分拣机    故障：3D分拣机提示电机过载、X滑块上轴移动时有异响、卡顿的现象  原因：轴承滚轮损坏  处理：更换新轴承,,
换货,4-1-1设备27号分拣机  故障：3D分拣机断电状态    原因：电梯板故障（通过拿好的电梯板对调检测） 处理：更换新电梯板,,
换货,故障：3D分拣机提示电机过载、X滑块上轴移动时有异响、卡顿的现象  原因：轴承滚轮损坏  处理：更换新轴承,,
换货,故障：翻板损坏   原因：长时间使用与货架碰撞后慢慢的出现裂痕   处理;更换翻板,,
运维,两个货架重复了,"1.更换其中某一个货架的rfid
2.使用pda或分拣机重新注册更换rfid的货架恢复",
换货,"故障:184128小车一个小时急停一次
原因:霍尔板故障
处理：更换霍尔板",,
换货,"故障：184128小车一个小时急停一次
原因:BMSP板故障
处理:更换BMSP板正常
",,
换货,车号：113044 10132  116071 故障：小车底盘破损运行不了 原因：多方面因素怀疑是（质量问题、使用方处理故障小车都是拿着翻板位置抱起小车拿下来的受力点都在翻板电机处底部时间久了容易开裂）处理：更换新底盘,,
换货,"问题：3D显示屏触屏生效
原因：使用中损坏
处理：更换新LCD显示屏",,
快速处理,"故障：112192，频繁开关机。
原因：电池板温度传感器断裂。
处理：更换电池板。",,
换货,"故障：112182，充不进电，无法开机。
原因：电源板进水，BMSP保险烧掉。
处理：更换电源板，BMSP板。",,
换货,"故障：112182翻板线束与固定片打火。
原因：翻板固定支架断裂，线束摩擦破损。
处理：更换底盘和翻板线束。",,
快速处理,"问题：客户群里描述无法回零，一号电机报警
原因：现场排查后发现皮带锁死，观察联轴器螺丝 
松动，顶起后摩擦导致皮带锁死，1号电机 
报警
处理：上紧后，未正常回零，之后断电20分钟左 
右，重启回零成功，随机测试一个小时正常 
后离去。",,
换货,"故障:112192小车急停
原因：霍尔板磁条感应不好，bmsp板电压不够
处理；更换霍尔板，更换bmsp板
",,
换货,"故障:112151小车急停
原因：霍尔板磁条感应不好
处理；更换霍尔板
",,
快速处理,"故障:112168小车翻板晃动
原因：底盘破损。
处理：更换底盘",,
换货,16号分拣 故障：分拣运行中多次提示电机离线（00011、00012）   原因：1、2电机故障（待寄送回公司检测）处理：更换新1、2电机,,
换货,故障：分拣机3号电机离线   原因：电机损坏（灯都不亮了）处理：更换新3号电机,,
换货,故障：分拣机分拣完成时彩虹灯不会切换灯光模式     原因：读卡器故障（待寄送公司检查） 处理：更换读卡器,,
换货,"故障：所有电机离线
原因：电梯板无电压输出
处理：更换电梯板",,
快速处理,"1、BZQ0032货架散架，重新固定
2、3D分拣机电控箱螺丝松动，重新固定
3、地毯凸起处理
4、充电极板打磨
5、WES服务器卡死，联系研发处理
6、4号分拣机电机全部离线，检查发现电梯板无输出，更换电梯板
7、8号分拣机货架靠板更换",,
快速处理,"1、地毯凸起处理
2、小车万向轮异物处理
3、按钮盒线束固定
4、充电极板清理",,
快速处理,"1、监控离线、恢复
2、小车万向轮清理
3、地毯突起处理
4、分拣机螺丝固定
5、小车问题处理
6、整理监控网线",,
换货,故障：小车运行不了  原因：底盘损坏多方面因素怀疑是（质量问题、使用方处理故障小车都是拿着翻板位置抱起小车拿下来的受力点都在翻板电机处底部时间久了容易开裂）处理：更换新底盘,,
换货,故障：小车运行不了  原因：霍尔板离线   处理：更换新霍尔板,,
换货,故障：小车运行不了   原因：BMSP板5v模块输出电压值低于5V  处理;更换新BMSP板,,
换货,故障：电动货槽LCD控制器使用不了  原因：屏幕破裂  处理：更换新LCD控制器,,
快速处理,"1、货架RFID更换注册
2、地毯凸起处理
3、变形货架调整
4、小车万向轮检查
5、分拣机螺丝紧固",,
快速处理,"1、货架靠板更换
2、地毯处理
3、充电极板和万向轮检查
4、分拣机螺丝紧固
5、货架拉走分拣机没反应，升级处理
6、货架脚轮紧固",,
快速处理,"1、挡边固定
2、地毯粘贴，凸起处理
3、小车检查
4、分拣机螺丝紧固
5、精益管固定
6、相机检查",,
换货,"问题：更换皮带发现同步轮磨损严重
原因：目前未发现明显原因
处理：更换新同步轮后正常",,
快速处理,"1、地毯清理
2、精益管紧固
3、相机螺丝紧固
4、小车检查
5、分拣机螺丝紧固",,
快速处理,"1、分拣机螺丝紧固
2、地毯处理
3、精益管紧固
4、7号机Y轴连接件螺丝松，重新紧固
5、小车检查",,
快速处理,"1、货架靠板更换
2、精益管固定
3、地毯处理
4、党鞭固定
5、10个货架检查
6、14、15、7号机读卡器更换
7、分拣机框架螺丝固定",,
换货,车号105157 故障：运行过程多次急停，提示CAN总线故障，原因：霍尔板故障   处理：更换新霍尔板,,
快速处理,"1、110219、110202更换底盘
2、修补平台地毯缺口
3、挡边及分拣机螺丝固定
",,
快速处理,"待处理：
1、2、4号分拣机皮带漏钢丝
2、3号分拣机缺少骑马扣
4、分拣机与挡边连接螺丝缺少6颗",,
快速处理,按照设备维护清单检查,,
快速处理,"1、地毯突起及变形处理
2、挡边紧固
3、小车检车
4、相机检查",,
换货,两个读卡器无反应，更换,,
换货,读卡器没反应,,
快速处理,"1、128111小车电池线松动
2、挡边固定
3、货架靠板更换
4、充电桩固定
5、23机读卡器更换
6、分拣机断网检查并恢复
7、散架变形货架调整
8、货架rfid更换，注册",,
换货,霍尔磁条有问题,,
快速处理,"1、挡边固定
2、112182小车更换翻板
3、112192更换霍尔板
4、线束固定",,
快速处理,"1、按钮盒接触不好，离线，检查并恢复
2、114208小车常规检查加入
3、地毯突起，变形调整",,
换货,"车号：72092  故障：机器人开机没反应，手动也打不开  原因：电池包故障（待送回检测） 处理：更换新电池包       车号：72070    故障：运行中关机，电池电压第 5.6节 电压不平衡 及 电压会突然时有时无    原因：电池包故障（待送回检测） 处理：更换新电池包
",,
换货,"105208,108048小车BMSP板故障，更换处理",,
换货,108048小车电源板故障，更换,,
运维,"灯条错乱
","1.排查出错乱灯条的区域
2.打开灯条软件删除此区域的灯条并重新注册，注意注册灯条时不能有其他遮挡物遮挡到其他灯条防止注册时出现错乱",
换货,"车号：27209
故障：运行中多次急停，校准霍尔无效
处理：更换霍尔板",,
换货,"车号：27183
故障：轮子无法锁定
原因：电源板芯片击穿
处理：更换电源板",,
快速处理,"车号：27210
故障:底盘破损
原因：翻板电机漏油
处理：更换底盘",,
换货,"车号：27185
故障：翻板无动作
原因：翻板电机无反应
处理：更换翻板电机",,
换货,"车号：25037
故障：无法开机
原因：电容板电压1.6V
处理：更换电容板",,
换货,"车号：27170
故障：翻板无动作
原因：翻板电机无反应
处理：更换翻板电机",,
换货,"1将扫码枪更换成固定式扫描枪
2扫码台线束整理
3充电桩检查并清理
4小车检查
5平台磨损检查
",,
快速处理,"车号：27178、27034、25172、25126、25149、25123
故障：频繁停机
原因：霍尔异常或现场地毯翘起导致
处理：重新校准霍尔、轮径加车",,
换货,"车号：25236
故障：轮子无法锁定
原因：电源板烧坏
处理：更换电源板",,
快速处理,"车号：25139、27195
故障：自动关机
原因：电池电压不平衡
处理：平衡电池",,
换货,"车号：25056
故障：开机跑偏
原因：右轮锁不紧
处理：更换轮子电机",,
换货,"车号：27208
故障：一直闪红灯
原因：霍尔异常
处理：校霍尔无效果，更换霍尔板",,
换货,"故障：不卸货
原因：翻板电机不回落
处理：更换翻板电机",,
换货,故障：3D分拣机提示电机过载、X滑块上轴移动时有异响、卡顿的现象  原因：轴承滚轮损坏  处理：更换新轴承,,
换货,故障：翻板损坏   原因：长时间使用与货架碰撞后慢慢的出现裂痕   处理;更换翻板,,
换货,故障：3D分拣机分拣完成彩虹灯不会切换灯光模式，一直亮绿灯。原因：读卡器故障。处理：更换新读卡器,,
快速处理,"车号：25032
问题：手动加车无反应
原因：车号被改成28050",,
快速处理,"车号：25102
问题：翻板电机离线
原因：电源板上翻板电机CAN线未插
处理：插好CAN线",,
快速处理,"车号：25208、27206
问题：充不进电、跑偏
原因：可能极板脏污、霍尔不良
处理：清理极板、校准霍尔后正常",,
换货,"车号：27034
问题：跑偏急停
原因：霍尔校准无效
处理：更换霍尔板",,
换货,"车号：25154
问题：轮子锁不住
原因：电源板模块烧毁
处理：更换电源板模块",,
换货,"车号：25030、25183、25220、25206、27170、27185、27180
故障：翻板电机无反应
原因：电机故障
处理更换翻板电机",,
快速处理,"车号：27168
问题：跑偏
原因:右轮无螺丝
处理：安装螺丝",,
快速处理,"车号：25122、27152、25038、25234、25233、25068、25138、27253、27187、25047、25117、27159、25042
问题：频繁急停
原因：主动轮内异物导致电机解锁
处理：清理异物常规检查及校准霍尔轮径",,
快速处理,"车号：27173、25050、27204、25010
问题：底盘破损
原因：翻板电机漏油腐蚀底盘
处理：更换翻板电机",,
换货,故障：3D分拣机提示电机过载、X滑块上轴移动时有异响、卡顿的现象  原因：轴承滚轮损坏  处理：更换新轴承,,
换货,故障：3D分拣机运行不了、LCD控制器黑屏  原因：LCD控制器故障  处理：更换新LCD控制器,,
快速处理,"车号：26248、26068、26159、26065、26239、26116、26239、27012、27199、26182、26142、27089、27043、26218、26095、26140、27142、26253、26247、26034、26233、27058、26107、27137、26053、27091、26196、27061
故障：频繁急停
原因：车轮内绳子缠绕
处理：清理绳子并常规检查校轮径霍尔",,
换货,"车号：26123
故障：急停
原因：右电机解锁
处理：更换轮子电机",,
换货,"车号：26176
故障：急停
原因：左电机解锁
处理：更换左轮电机",,
快速处理,"117017  112233  124213  125015  128115  124250  125024升级电机版本
下层信道错乱，重启小车
117017翻版电机线松动，124213翻版螺丝未上紧",,
换货,"1因原木板磨损过于严重，影响运行，更换掉发货口前方木板
",,
快速处理,"原因：112194运行歪歪扭扭，处理：校正霍尔
原因：110046容易急停，处理：校正轮径
112192无问题
挡边掉落处理，重新上紧
",,
换货,"车号：27083
故障：无法开机
原因：BMSP板不启动
处理：更换BMSP板",,
快速处理,"车号：27037
故障：自动关机、急停
原因：电池不平衡、万向轮支架断裂
处理：平衡电池，更换万向轮支架",,
换货,"车号：26077
故障：急停、自动关机
原因：左电机解锁、电池不平衡
处理：更换轮子电机、平衡电池",,
换货,"车号：26032
故障：跑偏急停
原因：霍尔异常
处理：更换霍尔板",,
快速处理,"车号：27240
故障：小车急停
原因：万向轮支架断裂
处理：更换万向轮支架",,
换货,"车号：26203
故障：跑偏急停
原因：霍尔异常
处理：更换霍尔板",,
快速处理,157061底盘破损，更换小车底盘,,
运维,"分拣机空投
","1.检查分拣机网络是否有延迟
  -是：点击分拣机高级按钮选择重置按钮是否恢复
    -是：问题解决
    -否：打开检查分拣机小交换机网口，或网线更换网口插
  -否：进入步骤2
2.查看时间分拣机名称和rcs的格口名称是否对应
  -是：联系专业的售后技术人员查看
  -否：修改rcs的格口名称和实际相对应，并重启rcs软件",
换货,"车号：27009
故障：车辆频繁急停
原因：霍尔异常
处理：更换霍尔板",,
快速处理,"车号：26121
故障：车辆频繁解锁
原因：电源板脱焊
处理：重新焊接",,
快速处理,"车号：27106
故障；频繁急停
原因：轮子盖板螺丝掉落，导致车轮晃动
处理：固定螺丝",,
换货,"现象：异响
原因：电机尾部磁环脱落
处理：因未有单独电机，选择更换总成
",,
换货,"故障：感应到rfid无法清除,原因：待维修检测，处理：更换读卡器",,
换货,"车号：153169
故障：小车急停，频闪红灯
原因：霍尔板异常
处理：更换霍尔板",,
换货,"车号：153120
故障：小车红灯报警
原因：显示No Description
处理：更换霍尔板后正常",,
快速处理,"车号：153148、156009、151134、155225、153135、153168、152053
故障：小车显示前皮带电机离线，21E轮超速急停
原因：静电导致
处理：关机重启后正常，需增加消除静电措施",,
换货,6-2-2设备25号分拣机   故障：3D分拣机提示电机过载、X滑块上轴移动时有异响、卡顿的现象  原因：轴承滚轮损坏  处理：更换新轴承,,
换货,6-2-3设备 17号分拣机   故障：分拣机运行不了，无电源输出    原因：电梯板故障（与好的分拣机电梯板对调检查）   处理：更换新电梯板,,
运维,"
现象：扫码台崩溃
",联系专业的售后技术人员处理,
运维,"分错货（本来去某台机器的去了另一台机卸货，机器不接货，一直堆在分拣机翻板上）
","1.检查rcs上面的格口名称是否和现场布置的机器名称一致
  -是：联系专业的售后技术人员处理
  -否：修改rcs的格口名称保持和现场实际一致",
换货,瓜沥顺丰小车121244无法正常行驶，更换霍尔,,
快速处理,"18098电脑起不来，插拔纽扣电池恢复
29161连不上网，电脑天线掉了
30038连不上网，里面IP地址写成38.038了
36246连不上网，可以连上，充电不好，打磨电池线后好了
15247偶尔重启，电池线松了
15074一边轮子不转，没注册，重新注册
15016会自动关机，插拔纽扣电池，可能是电池不平衡
24242经常死机离线。实际观察，三个电机不通电，但其他都有电，更换bmsp和电源板连接插座好了",,
快速处理,"15184相机灯不亮 重新插拔后正常
5037无法启动，没电了，右轮固定罗丝松了
18098充不上电，实测可以充，待观察
15151时常断网，撞车，无线模块松了
42114经常关机，应该是电量低导致，打磨极板可以充电，未发现关机，连不上车服，网络被禁用
15117轮子螺丝松了，紧固螺丝
42111经常死机，检查未发现异常
19185报通信错误，电脑板灯亮着，但是是没起来的，拔掉纽扣电池正常
38164报通讯错误，电脑板灯亮着，但是其实没起来，拔纽扣电池
30035经常死机，可能是无线模块螺丝上的太紧，导致接触不良导致电脑时不时关机
24242电源板上半部分坏了，拆除18098的电源板换上
15177检修未发现异常
36246三个电机自动解锁
26131充不上电，打磨极板和电池线
19200充不上电，打磨极板和电池线
15090冲不上电，打磨极板和电池线",,
换货,现象：分拣机黑屏，原因：电梯板故障，处理：更换电梯板,,
快速处理,"37038地盘坏了，把内部零件包括轮子移植到18098上
15170轮径不到位，先观察，同时电池线断裂，拆除18098的更换
15174无法充电 打磨极板
15047时常离线，紧固无线模块
38122电脑起不来，拔掉纽扣电池恢复
36092开不开机，电量太少
38122跑着电脑板突然关掉，将纽扣电池插回观察
26244充电观察，按键板不好，更换19098上盖
30029开不了机，可以开
38129单边轮子不转，重新注册，没有电，搭电激活
36074充电观察
38194充电加车观察
17164三电机解锁，未注册，重新注册
18020充不进电，激活，紧固电池螺丝，打磨极板
37102运行中突然关机，然后会解锁，平衡电池观察",,
换货,"66239
故障：无法开机
原因：电池组MOS管烧掉
处理：更换电池组",,
快速处理,"车号：66161、66162
故障:无法开机
原因：电池亏电
处理：激活后充电",,
换货,"现象：左轮锁不住，
原因：不明
处理：更换新轮子后正常。
",,
快速处理,"18179走不到位，修改轮径观察
15211充不进电，打磨极板
17164跑不到位，修改轮径观察
30029电池不平衡，平衡电池
40241充电不良，先充电，然后检查电池上下压差，确认那块充电不良，然后打磨电池线，极板与电池线接口处
15161充电不良，打磨后有改善，待观察，更换电池线，平衡电池，现在可以正常充电
38226经常离线，据观察是电脑自动关机又重启导致的，拔掉纽扣电池后暂未出现重启现象
15046未写原因，万向轮堵死，拆掉清理，充电不良，打磨极板及接口处
15126冲不上电，打磨后观察
36216死机，拔掉纽扣电池观察
39193死机，平衡电池，打磨极板，拔掉纽扣电池
42109无线模块螺丝掉了，紧固
38246连不上网，连续ping半小时未发现掉线现象，待观察",,
快速处理,"15076调整轮距
17164调整轮距
15070加入观察
15117右轮电机偶尔锁不住，从18098上拆除更换，仍然不行，电源板输出有二十四v，但是电脑板程序注册会锁定不住，因无法更换dug，从18098的电脑拆掉换上观察，仍然掉线，怀疑是24v瞬间掉线，检查线圈焊锡松了，重新加焊待观察
15170经常离线，bmsp焊柱脱落，下方固定螺丝滑落，因无焊枪，采用双螺丝固定
36246离线，无24v输出，电源板脱焊，焊接
29143跑不到位，调整轮距
29161无重量，将重量写进去，跑不到位，调整观察，上盖没盖，上盖已盖
30065修改轮距
38167修改轮径
38005修改轮距
42111全部检查未发现会导致死机的点，平衡电池，拔掉纽扣电池，先加进去跑，
15068连不上了，一会恢复了，未发现问题
38038轮径不对，电脑板自动关机，调整轮径拔掉纽扣电池
30035，电脑板自动关机，拔掉纽扣电池",,
快速处理,"15155跑不到位，调整轮距待观察，未盖上盖
42114网络老是自动禁用，先更换debug试试
38122连不上网络，暂未发现问题，拔掉纽扣电池，
30035断网撞车，检查发现黑色无线模块连接处较松，重新更换模块固定，如果明天再发生，考虑更换bmsp，电脑板会进入休眠状态，但是设置的禁止休眠，发现是电脑板会关机，更换电脑版，电源板暂未发现异常
15076走不到位，可能是轮子螺丝没掉的原因
15070充一下就满电，打磨后在充电桩充电的时候量电压并没有达到满电，加进去可以充电
15222充满就满电，打磨
5115充不了电，电池不平衡，平衡
36246充不了电，因为一个电池固定柱裂掉了，导致电池晃动，螺丝松动充不进电，用焊枪固定塑料柱，平衡电池",,
换货,"车号：25065
故障：CAN总线故障
原因：灯板鼓掌
处理:  更换灯板",,
换货,"车号：25218
故障：自动开关机
原因：BMSP自动重启
处理：更换BMSP",,
快速处理,"车号：25207、25244
故障：自动关机
原因：电池故障
处理：更换电池",,
快速处理,"39209电池不平衡，电池柱断裂，更换电池
38210平衡电池",,
快速处理,"常规检查，校验后，没发现问题，小车正常跑
",,
快速处理,"故障：小车频繁急停
原因：小车在手指处停车转向再起步容易跑偏
处理：涂腻子和锡箔胶带",,
快速处理,"车号：101082、112204
故障：急停
原因：未见异常
处理：常规检查，校霍尔轮径加车",,
快速处理,"30035时长断网，电源板底部螺丝紧固
42111紧固电池线螺丝，观察
15108相机模糊，调整清晰度
15121相机模糊，调整清晰度
15158相机模糊，调整清晰度
15008相机模糊，调整清晰度
19012相机模糊，调整清晰度
35225相机模糊，调整清晰度",,
换货,"问题：皮带打车出现无定位，RFID失效情况
原因：霍尔板出现故障
处理更换霍尔板",,
快速处理,"问题：出现电机解锁，行程报警
原因；急停按钮出现故障以及线束未插好导致
处理：插好，将急停开关搞好后正常",,
换货,"问题：右轮无法锁死
原因：未知
处理：检查线，重新注册，更换电机后正常",,
换货,"问题：191189     无法开机；电源板上面有烧焦的痕迹，BMSP原因未知
原因：未知
处理：更换",,
快速处理,"40243充不进电，打磨极板
6016充不进电，打磨极板
15217电脑起不来，拔掉纽扣电池
19200电池滑丝，无法修复
38122充电不良，紧固电池线
15076轮径不对，更换轮子",,
快速处理,"18140翻版电机有问题，更换翻版电机
19076电池更换的到19200上
42111偶尔会断网，时间在几秒钟，判断不会是电脑重启导致，更换无线模块",,
快速处理,"19200无法开关机，按钮板不亮，更换bmsp
39193突然无网络，未找出原因
15041翻版故障 更换
38066无网络，m无线模块螺丝未上
38197断网，未发现，待观察
19108翻版不到位，z型支架交换",,
换货,"故障：无货架投货
原因：读卡器未清除数据
处理：更换读卡器",,
换货,"故障：塔灯常亮红色
原因：灯泡故障
处理：更换塔灯灯泡",,
换货,"故障：分拣机运行故障
原因：滑块螺丝掉落
处理：更换滑块",,
换货,"车号：110235
故障：充不进电
原因：电源板供电异常
处理：更换电源板",,
运维,"卸货时货太大没卸下去，翻板收回的时候卡到翻板下了
",建议大件货人工处理或者能折叠投递的进行折叠投递,
换货,"故障：3号电机显示离线
原因：电机故障
处理：更换电机后正常",,
快速处理,"问题：滑块异常
故障：轴承损坏
处理：更换新轴承",,
快速处理,"问题：出现3，4号电机离线
原因：线束没绑定
处理：拿轧带绑好，之后好了",,
换货,小车无定位，更换霍尔板,,
快速处理,140198皮带电机反向不转，应该是联轴器螺丝顶到，紧固后重新对零位后正常，重新校霍尔，万向轮螺丝松了，紧固,,
换货,故障：3D分拣机导向块损坏，分拣机分拣时会碰撞到料框   原因：拉货架时碰撞所致（多次碰撞后慢慢开裂）处理：更换新导向块,,
换货,故障：3D分拣机翻板损坏   原因：现场观察分拣机X轴移动时会碰撞到设备挡板，怀疑是这样造成的。X轴卸货距离为1750MM，调整卸货距离，检查皮带及联轴器并未发现异常     处理：更换新翻板,,
换货,故障：3D分拣机提示电机过载、X滑块上轴移动时有异响、卡顿的现象  原因：轴承滚轮损坏  处理：更换新轴承,,
换货,车号（72051、72081）故障：小车运行过程发现急停现象 ，车轮电机没锁上  原因：车轮电机故障，检查电机通讯在线、车轮锁上了，还能用手转得动  处理：更换新车轮电机,,
换货,车号72009  故障：小车开不了机 ，充不上电   原因；电池包故障 输出电压值低 只有1.4V   处理：更换新电池包,,
换货,故障：3D分拣机提示电机过载、X滑块下轴移动时有异响、卡顿的现象  原因：轴承滚轮损坏  处理：更换新轴承,,
换货,故障：3D分拣机运行不了  原因：3号电机离线  （电机故障灯都不亮了） 处理：更换新3号电机,,
换货,故障：3D分拣机提示电机过载、X滑块上轴移动时有异响、卡顿的现象  原因：轴承滚轮损坏  处理：更换新轴承,,
换货,故障：3分拣机彩虹灯不亮 灯   原因：彩虹灯故障（代送回检查） 处理;更换新彩虹灯,,
换货,"故障：货架拉走系统还默认有货架
处理：更换读卡器
结果：更换读卡器",,
报废替换,天津嘉里大通3D货架靠板时有断裂的，客户要求更换靠板。,,
换货,故障：3D分拣机提示电机过载、X滑块上轴移动时有异响、卡顿的现象  原因：轴承滚轮损坏  处理：更换新轴承,,
