故障类别,软/硬件,部件,标题,描述,原因分析,解决方案,Unnamed: 7,Unnamed: 8,Unnamed: 9
客户操作,,,地毯方向出错,小车经常急停报错，小车经过指定的位置会出现报红的情况,1，其中一个地毯方向装错的情况,"1、检查RFID位置是否变动。
2、检查地毯是否翘起或磨损严重。
3、检查磁条图是否正常。
4、检查地毯方向是否正确。",,,
客户操作,,,地面车 205110 区域急停,"项目名称：青浦山姆 
报警消息：地面车 205110 区域急停 机器人: 205110 发生了区域锁定,坐标: 17,20,错误码: 234,描述Destination no navigation positioning 
原因为工作站有异物入侵导致小车撞车",原因为工作站有异物入侵导致小车撞车,"1、清理异物。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,发生了区域锁定,"地面车 219178 区域急停 机器人: 219178 发生了区域锁定,坐标: 9,2,错误码: 21C,描述激光雷达避障急停,检查并复位",1.客户将料箱放在工作站前方，导致触发激光避障,"1、清理异物。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,104042 物品超高,"推箱->货架  飞箱: 104042 箱位: (A004)07-017.........推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高",人工摆放问题导致需要进行人工培训,"1、取出超高货物。
2、“终止任务”“启动任务”，飞箱会重新推箱。",,,
客户操作,,,219252 地面车区域急停,"地面车 219252 区域急停 机器人: 219252 发生了区域锁定,坐标: 25,31,错误码: 242,描述执行动作时,没有到达目标点附近",看录像回放发现是物品超高导致车子过工作台时被上方限高剐蹭，从而导致小车偏移,"1、取出超高物品。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,发生了区域锁定,"地面车 80094 区域急停 机器人: 80094 发生了区域锁定,坐标: 5,20,错误码: 234,描述Destination no navigation positioning",原因是工作人员把物品放在护栏上，小车过来转弯的时候撞到物品，导致小车定位丢失，跑偏,1、加强操作人员培训。,,,
客户操作,,,104061 飞箱内物品超高,"报警消息：推箱->货架
飞箱: 104061 箱位: (A006)13-001
推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高",1、料箱内物品超高，飞箱推箱失败，导致报错,"1、取出超高货物。
2、“终止任务”“启动任务”，飞箱会重新推箱。",,,
客户操作,,,发生了区域锁定,"地面车 205115 区域急停 机器人: 205115 发生了区域锁定,坐标: 17,3,错误码: 246,描述When performing an action, robot direction and target direction are not consistent
项目名称：青浦山姆 报警消息：等待地面车: 80084 到达接驳位超时。请检查地面车状态，点击已解决继续等待，异常时中",,"1、提供弹窗信息和读取地面车日志

2、查看雷达图检查有无异物遮挡。
-有：清理异物。
-无：进入步骤3

3、检查雷达是否在线。
-是：进入步骤4
-否：1、检查雷达线是否松动或线束是否固定
     2、检查雷达灯是否旋转闪烁。

4、开机状态下用手转动小车主动轮，是否能转动。
-是：拆掉轮胎，紧固轮胎安装底座的螺丝。
-否：进入步骤5

5、观察是否打滑，或地面不平导致。
-是：自行解决不了的话可以联系售后人员协助解决。
-否：联系售后人员",,,
客户操作,,,地面车 219184 区域急停,"报警消息：地面车 219184 区域急停 机器人: 219184 发生了区域锁定,坐标: 13,30,错误码: 242,描述执行动作时,没有到达目标点附近",1、由于现场工作人员放入的物品超高，小车通过坐姿工作站下面时，超高的物品撞到护栏，导致走偏发生急停,"1、取出超高物品。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,地面车 219219 区域急停,"报警消息：地面车 219219 区域急停 机器人: 219219 发生了区域锁定,坐标: 6,30,错误码: 242,描述执行动作时,没有到达目标点附近",1、由于现场工作人员放入的物品超高，小车通过坐姿工作站下面时，超高的物品撞到护栏，导致走偏发生急停,"1、取出超高物品。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,地面车 219248 区域急停,"地面车 219248 区域急停 机器人: 219248 发生了区域锁定,坐标: 25,30,错误码: 242,描述执行动作时,没有到达目标点附近",1、由于现场工作人员放入的物品超高，小车通过坐姿工作站下面时，超高的物品撞到护栏，导致走偏发生急停,"1、取出超高物品。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,地面车 226072 区域急停,"报警消息：地面车 226072 区域急停 机器人: 226072 发生了区域锁定,坐标: 25,30,错误码: 21D,描述直行偏航角度太大(>15°),检查并复位",1、由于现场工作人员放入的物品超高，小车通过坐姿工作站下面时，超高的物品撞到护栏，导致走偏发生急停,"1、取出超高物品。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,紧急充电用不了,紧急充电用不了,客户操作错误，重新切换紧急充电正常,1、加强操作人员培训。,,,
客户操作,,,发生了区域锁定,"地面车 219203 区域急停 机器人: 219203 发生了区域锁定,坐标: 24,30,错误码: 242,描述执行动作时,没有到达目标点附近",看报错日志，小车再经过工作站时，发生了车身偏移，推测可能是车子箱子，挂到工作台上放限高柱，因为小车雷达没有显示前方出现障碍物,"1、提供弹窗信息和读取地面车日志

2、查看雷达图检查有无异物遮挡。
-有：清理异物。
-无：进入步骤3

3、检查雷达是否在线。
-是：进入步骤4
-否：1、检查雷达线是否松动或线束是否固定
     2、检查雷达灯是否旋转闪烁。

4、开机状态下用手转动小车主动轮，是否能转动。
-是：拆掉轮胎，紧固轮胎安装底座的螺丝。
-否：进入步骤5

5、观察是否打滑，或地面不平导致。
-是：自行解决不了的话可以联系售后人员协助解决。
-否：联系售后人员",,,
客户操作,,,电梯下降到下层，电机力矩过大导致重启回零,电梯下降到下层，电机力矩过大导致重启回零,"1、检查电机下降到下层是否有卡顿
2、联系吴占宁
魔毯超出位置，导致电梯下降时会卡住","1.检查电机下降到下层是否有卡顿
  -是：进入步骤2
  -否：联系专业的售后技术人员检查
2.检查魔毯是否超出位置
  -是：处理魔毯
  -否：联系专业的售后技术人员检查",,,
客户操作,,,地面车 219238 区域急停,"报警消息：地面车 219238 区域急停 机器人: 219238 发生了区域锁定,坐标: 7,30,错误码: 242,描述执行动作时,没有到达目标点附近",1、由于现场工作人员放入的物品超高，小车通过坐姿工作站下面时，超高的物品撞到护栏，导致走偏发生急停,"1、取出超高物品。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,地面车 219216 区域急停,"报警消息：地面车 219216 区域急停 机器人: 219216 发生了区域锁定,坐标: 7,30,错误码: 242,描述执行动作时,没有到达目标点附近",1、由于现场工作人员放入的物品超高，小车通过坐姿工作站下面时，超高的物品撞到护栏，导致走偏发生急停,"1、取出超高物品。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,地面车 219242 区域急停,"报警消息：地面车 219242 区域急停 机器人: 219242 发生了区域锁定,坐标: 19,30,错误码: 242,描述执行动作时,没有到达目标点附近",1、由于现场工作人员放入的物品超高，小车通过坐姿工作站下面时，超高的物品撞到护栏，导致走偏发生急停,"1、取出超高物品。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,物品高度超高,"Air Rob:101020位置:（A020）04-009
推箱失败，请再次将箱子拉回托盘轨道。请人工检查箱子内的物品是否过高。",料箱物品超高导致推拉箱失败,"1、取出超高货物。
2、“终止任务”“启动任务”，飞箱会重新推箱。",,,
客户操作,,,地面车 219222 区域急停,"报警消息：地面车 219222 区域急停 机器人: 219222 发生了区域锁定,坐标: 28,30,错误码: 21C,描述激光雷达避障急停,检查并复位","1、根据日志分析，小车在工作站区域行驶过程，检测到前方障碍物，导致急停
","1、清理异物。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,地面车227074发生了区域锁定,"地面车 226074 区域急停 机器人: 226074 发生了区域锁定,坐标: 19,30,错误码: 242,描述执行动作时,没有到达目标点附近",料箱物品超高，碰到工作站横梁,"1、取出超高物品。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,地面车219248发生了区域锁定,"地面车 219248 区域急停 机器人: 219248 发生了区域锁定,坐标: 24,30,错误码: 242,描述执行动作时,没有到达目标点附近",物品超高，碰到工作站横梁急停,"1、取出超高物品。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,地面车226076发生了区域锁定,"地面车 226076 区域急停 机器人: 226076 发生了区域锁定,坐标: 18,30,错误码: 242,描述执行动作时,没有到达目标点附近",工作站附近急停，撞到工作站的横梁,"1、取出超高物品。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,地面车219218发生了区域锁定,"地面车 219218 区域急停 机器人: 219218 发生了区域锁定,坐标: 4,2,错误码: 21C,描述激光雷达避障急停,检查并复位",物品超高，碰到了工作站横梁,"1、取出超高物品。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,车服错误删除小车,uniuniLA下层启动车服就急停撞车,客户在搬移小车时，搬移一部分小车，并在车服上删除没搬移的小车，导致车服没识别到其他小车位置导致撞车,"1.撞车时查看rcs界面撞车位置的机器人编号
2.查看撞车地方查看哪台机器人不在rcs里
3.找到被删除的小车搬离或重新添加",,,
客户操作,,,箱: 101072 箱位: (A072)02-054....查箱内物品超高,"推箱->货架  飞箱: 101072 箱位: (A072)02-054.........推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高",物品超高,"1、取出超高货物。
2、“终止任务”“启动任务”，飞箱会重新推箱。",,,
客户操作,,,机器人撞车,机器人固定位置，一启动就会撞车，连撞,平台上的实际机器人数量和RCS列表中的不一致，217054不在列表中,,,,
客户操作,,,地面车 219198 区域急停,"报警消息：地面车 219198 区域急停 机器人: 219198 发生了区域锁定,坐标: 34,7,错误码: 21C,描述激光雷达避障急停,检查并复位",1、飞箱问题提醒群报警后，客户在群里反馈小车定位丢失，客户已经把小车放在地毯上了,"1、小车没偏的话可以直接点“已解决”
2、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,RCS报内存不足,RCS报内存不足,mini分拣平台也出现过同样的情况，地图界面白色机器人还在运行，栗志华说需要客户IT查看,,,,
客户操作,,,226065地面车急停,"地面车 226065 区域急停 机器人: 226065 发生了区域锁定,坐标: 19,31,错误码: 242,描述执行动作时,没有到达目标点附近",员工拿取货物时未将货物摆正导致货物超高触发急停，导致世界坐标错误,"1、取出超高物品。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,地面车 219206 区域急停,"地面车 219206 区域急停 机器人: 219206 发生了区域锁定,坐标: 17,16,错误码: 234,描述目的地无地毯定位","1、由于现场工作人员放入的物品超高，小车通过坐姿工作站下面时，超高的物品撞到护栏，导致走偏发生急停
2、由于丢失定位角度过大，行驶过程中和219212号地面车发生碰撞","1、取出超高物品。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,地面车 226082 急停,"地面车 226082 区域急停 机器人: 226082 发生了区域锁定,坐标: 13,31,错误码: 242,描述执行动作时,没有到达目标点附近",看坐标是工作站附近，推测是料箱物品超高,"1、取出超高物品。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,地面车 226079 区域急停,"报警消息：地面车 226079 区域急停 机器人: 226079 发生了区域锁定,坐标: 7,30,错误码: 242,描述执行动作时,没有到达目标点附近",1、由于现场工作人员放入的物品超高，小车通过坐姿工作站下面时，超高的物品撞到护栏，导致走偏发生急停,"1、取出超高物品。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,料箱内物品超高,"推箱->货架  飞箱: 101041 箱位: (A005)10-015.........推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高",料箱内物品超高,"1、取出超高货物。
2、“终止任务”“启动任务”，飞箱会重新推箱。",,,
客户操作,,,地面车 219227 区域急停,"报警消息：地面车 219227 区域急停 机器人: 219227 发生了区域锁定,坐标: 18,30,错误码: 242,描述执行动作时,没有到达目标点附近",1、由于现场工作人员放入的物品超高，小车通过坐姿工作站下面时，超高的物品撞到护栏，导致走偏发生急停,"1、取出超高物品。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,地面车 219244 区域急停,"报警消息：地面车 219244 区域急停 机器人: 219244 发生了区域锁定,坐标: 28,30,错误码: 21C,描述激光雷达避障急停,检查并复位",1、根据日志分析，小车在工作站区域行驶过程，检测到前方障碍物，导致急停,"1、清理障碍物。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,地面车 219247 区域急停,"报警消息：地面车 219247 区域急停 机器人: 219247 发生了区域锁定,坐标: 15,3,错误码: 21C,描述激光雷达避障急停,检查并复位",1、根据日志分析，小车在工作站区域行驶过程，检测到前方障碍物，导致急停,"1、清理障碍物。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,地面车219251机器人急停,"地面车219251区域急停机器人219251 发生了区域锁定,坐标:9,30,错误码21C,描述激光雷达避障急停,检查并复位",客户操作，物品超高,"1、取出超高物品。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,219254区域急停,"地面车 219254 区域急停 机器人: 219254 发生了区域锁定,坐标: 28,30,错误码: 21C,描述激光雷达避障急停,检查并复位",客户在分拣过程中操作时挡住了小车导致急停,"1、小车没偏的话可以直接点“已解决”
2、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,226062 区域急停,"地面车 226062 区域急停 机器人: 226062 发生了区域锁定,坐标: 29,30,错误码: 21C,描述激光雷达避障急停,检查并复位",坐姿工作站没有配置围栏导致小车雷达识别到客户身体导致急停,"1、小车没偏的话可以直接点“已解决”
2、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,219235 区域急停,"地面车 219235 区域急停 机器人: 219235 发生了区域锁定,坐标: 18,30,错误码: 242,描述执行动作时,没有到达目标点附近",客户放置物品超高撞到了工作站,"1、取出超高物品。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,地面车 219212 区域急停,"报警消息：地面车 219212 区域急停 机器人: 219212 发生了区域锁定,坐标: 31,30,错误码: 242,描述执行动作时,没有到达目标点附近",1、由于现场工作人员放入的物品超高，小车通过坐姿工作站下面时，超高的物品撞到护栏，导致走偏发生急停,"1、取出超高物品。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,地面车 226073 区域急停,"报警消息：地面车 226073 区域急停 机器人: 226073 发生了区域锁定,坐标: 13,30,错误码: 242,描述执行动作时,没有到达目标点附近",1、由于现场工作人员放入的物品超高，小车通过坐姿工作站下面时，超高的物品撞到护栏，导致走偏发生急停,"1、取出超高物品。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,地面车 219243 区域急停,"报警消息：地面车 219243 区域急停 机器人: 219243 发生了区域锁定,坐标: 29,30,错误码: 21C,描述激光雷达避障急停,检查并复位",1、小车通过工作站区域时，现场人员在旁边走动，小车检测到人员发生急停,"1、小车没偏的话可以直接点“已解决”
2、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,"机器人: 226071 发生了区域锁定,坐标: 30,2,错误码: 21C,描述激光雷达避障急停","地面车 226071 区域急停 机器人: 226071 发生了区域锁定,坐标: 30,2,错误码: 21C,描述激光雷达避障急停,检查并复位",地面车经过工作站，料箱内物品超高导致碰到工作站横梁急停,"1、取出超高物品。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,地面车 219235 区域急停,"报警消息：地面车 219235 区域急停 机器人: 219235 发生了区域锁定,坐标: 22,30,错误码: 21C,描述激光雷达避障急停,检查并复位",1、小车通过工作站区域时，现场人员在旁边走动，小车检测到人员发生急停,"1、小车没偏的话可以直接点“已解决”
2、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,飞箱: 101016 地面车: 228156............在地面车拉箱失败，箱子脱钩,拉箱<-地面车 飞箱: 101016 地面车: 228156............在地面车拉箱失败，箱子脱钩,地面车228156上的料箱353563，在工作站的时候，人工把商品放在了料箱边沿，没在料箱内，所以地面车到接驳位的时候，飞箱拉箱失败,1、加强操作人员培训。,,,
客户操作,,,机器人全部低电量，无法开机,机器人全部低电量，无法开机,由于分拣作业结束后未及时关闭机器人电源，致使次日所有设备无法正常开机运作,"1.打开rcs软件查看机器人电量
2.把机器人电量过低无法开机的机器人进行手动充电5分钟
3.充电完成后开启紧急充电模式进行充电",,,
客户操作,,,219206发生了区域锁定，料箱物品超高，碰到了工作站的横梁,"地面车 219206 区域急停 机器人: 219206 发生了区域锁定,坐标: 13,31,错误码: 242,描述执行动作时,没有到达目标点附近",发生了区域锁定，料箱物品超高，碰到了工作站的横梁,"1、取出超高物品。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,地面车 219209 区域急停,"报警消息：地面车 219209 区域急停 机器人: 219209 发生了区域锁定,坐标: 9,2,错误码: 21C,描述激光雷达避障急停,检查并复位",1、小车通过工作站区域时，现场人员在旁边走动，小车检测到人员发生急停,"1、小车没偏的话可以直接点“已解决”
2、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,地面车 219206 区域急停,"报警消息：地面车 219206 区域急停 机器人: 219206 发生了区域锁定,坐标: 5,2,错误码: 21C,描述激光雷达避障急停,检查并复位","1、小车通过坐姿工作站下面时，现场人员在旁边走动，小车检测到人员发生急停
","1、小车没偏的话可以直接点“已解决”
2、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,地面车 228096 区域急停,"地面车 228096 区域急停 机器人: 228096 发生了区域锁定,坐标: 37,33,错误码: 21C,描述TOF障害物回避レーダーが緊急停止触発",人为干预路过小车前面导致急停,"1、小车没偏的话可以直接点“已解决”
2、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,228095 区域急停,"地面车 228095 区域急停 机器人: 228095 发生了区域锁定,坐标: 91,59,错误码: 21C,描述TOF障害物回避レーダーが緊急停止触発",地面车前方检测到障碍物急停,"1、清理干净障碍物。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,101011拉箱失败,拉箱<-货架   飞箱: 101011 箱位: (A011)10-013..........拉箱失败:beltin没到位(290.2).(10),由于货物摆放问题导致箱子拉不出来,"1、整理箱内货物。
2、“终止任务”“启动任务”，飞箱会重新拉箱。",,,
客户操作,,,发生了区域锁定,"地面车 219219 区域急停 机器人: 219219 发生了区域锁定,坐标: 18,30,错误码: 242,描述执行动作时,没有到达目标点附近",工作人员把物料竖起来放导致的碰撞,1、加强操作人员培训。,,,
客户操作,,,发生了区域锁定,"地面车 219233 区域急停 机器人: 219233 发生了区域锁定,坐标: 7,31,错误码: 242,描述执行动作时,没有到达目标点附近",货物超高,"1、取出超高物品。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,发生了区域锁定,"地面车 219249 区域急停 机器人: 219249 发生了区域锁定,坐标: 7,30,错误码: 242,描述执行动作时,没有到达目标点附近",客户操作，物品超高,"1、取出超高物品。
2、小车没偏的话可以直接点“已解决”
3、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,发生了区域锁定,"地面车 219184 区域急停 机器人: 219184 发生了区域锁定,坐标: 25,3,错误码: 21C,描述激光雷达避障急停,检查并复位",客户误碰导致急停,"1、小车没偏的话可以直接点“已解决”
2、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,发生了区域锁定,"地面车 219224 区域急停 机器人: 219224 发生了区域锁定,坐标: 4,2,错误码: 21C,描述激光雷达避障急停,检查并复位",地面车在工作站急停，客户误碰导致的,"1、小车没偏的话可以直接点“已解决”
2、小车偏了需要放地毯上或通过操控界面调整。",,,
客户操作,,,191096机器人路线无法到达,"从[1,12]到[1.10]的线路无法到达",机器人在1.9坐标报错，现场员工把机器人挪到下面点位1.12重启了，机器人不能跨过发货口到另一个发货口，所以显示无法到达,"1.是否机器人报错被搬离到了发货口
  -是：机器人换个地方放，发货口不能做为平常通车的经过点
  -否：联系专业的售后人员检查",,,
