故障类别,软/硬件,部件,标题,描述,原因分析,解决方案,Unnamed: 7
软件,RCS,,机器人到达格口不卸货,机器人到达格口不卸货,查看日志发现，没有输出最新的日志，重新调动机器人，也没有最新的日志输出，怀疑是RCS程序卡死了,"1.检查格口是否被关闭
  -是：打开格口
  -否：进入步骤2
2.是3D还是Tsort场地
  -3D进入步骤4
  -Tsort进入步骤3
3.检查格口软件是否被关闭
  -是：打开软件
  -否：联系专业的售后技术人员处理
4.检查分拣机是否报错
  -是：根据分拣机报错流程指引输出操作
  -否：联系专业的售后技术人员处理",
软件,RCS,,堵车,第2套下层手指区域堵车不动,一台小车带货堵在排队区不动，包裹目的地较为集中在堵车区域右侧的分拣机上。,联系专业的售后技术人员检查,
软件,RCS,,机器人频繁报错：行走打滑,机器人频繁报错：行走打滑,轮径问题,根据错误码434行走打滑进行输出排查流程,
参数配置,,,修改墙号及类型,原墙号60010及类型3x5，更新为墙号59995及类型4x5。,现场人员要求,建议联系专业的售后技术人员处理,
软件,RCS,,堵车,第3套TSort全场堵车不动,183239带货堵在排队区导致全场不动,联系专业的售后技术人员检查,
其它,机器人定位丢失,,机器人定位丢失,机器人定位丢失,根据机器人跑偏步骤进行处理,根据机器人跑偏步骤进行处理,
软件,WES,,3X3货架分货上下料框反了,3X3货架分完进行打包的时候发现在最下层料框的货和最上层料框的货物反了。最下层的货去到了最上层，最上层的货去到了最下层,"1.检查了wes货架设置，确认并没有问题，因为是我在现场时候亲自修改了，我又进行了重复确认
2.初步判断是修改完MCS没有重启导致的没有同步（因为我当时也忘了修改完有没有重启）
已经确认是有一个格口Y坐标反了，导致一个框坐标重复","1.打开坐标文件和wes网页界面查看货架坐标是否设置犯了
  -是：修改正确的坐标
  -否：联系专业的售后技术人员支持",
其它,网线,,RCS 离线,RCS 离线，无法远程到2.3，无法ping通2.3,"1.找到一台内网机器ping一下rcs电脑的ip是否通
  -是：进入步骤2
  -否：进入步骤3
2.检查rcs电脑的防火墙是否被打开
  -是：关闭防火墙
  -否：：进入步骤4
3.检查rcs的网线是否插好或ip和子网掩码是否正确
  -是：进入步骤4
  -否：插好网线或设置好ip和子网掩码
4.建议联系专业的售后技术人员检查","1.找到一台内网机器ping一下rcs电脑的ip是否通
  -是：进入步骤2
  -否：进入步骤3
2.检查rcs电脑的防火墙是否被打开
  -是：关闭防火墙
  -否：：进入步骤4
3.检查rcs的网线是否插好或ip和子网掩码是否正确
  -是：进入步骤4
  -否：插好网线或设置好ip和子网掩码
4.建议联系专业的售后技术人员检查",
软件,扫码台软件,,相机显示离线,一台相机显示离线,未知，扫码台没有连接到相机,"1.确认扫码台程序是否为新版本
-是：SVS相机工具中设备属性，可见性为大师模式，查看deviceUserId是否配置（相机所对应的发货口名称）
-否：进入步骤2

2. 相机断电后重新上电
- 观察是否能连接?
- 是：问题解决
- 否：进入步骤3

3. 重启扫码台软件
- 观察是否能连接?
- 是：问题解决
- 否：进入步骤4

4. 打开电控箱，插拔相机的网线
- 观察是否能连接?
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获得帮助",
其它,通信,,某台小车和车服的通信异常,客户提供相应的日志让帮忙查看76007这台小车在10：18的异常是什么原因,"1.检查机器人实际是否是开机状态
  -是：进入步骤2
  -否：进入步骤3
2.打开机器人查看无线通讯模块是否松动
  -是：插紧通讯模块
  -否：进入步骤4
3.机器人开机后再次尝试通讯是否成功
  -是：问题解决
  -否：进入步骤4，如无法开机则进入机器人无法开机操作步骤指引
4.更换一台正常机器人上的通讯模块进行交换查看是否正常
  -是：通讯模块损坏，更换通讯模块 
  -否：建议联系专业的售后技术人员处理","1.检查机器人实际是否是开机状态
  -是：进入步骤2
  -否：进入步骤3
2.打开机器人查看无线通讯模块是否松动
  -是：插紧通讯模块
  -否：进入步骤4
3.机器人开机后再次尝试通讯是否成功
  -是：问题解决
  -否：进入步骤4，如无法开机则进入机器人无法开机操作步骤指引
4.更换一台正常机器人上的通讯模块进行交换查看是否正常
  -是：通讯模块损坏，更换通讯模块 
  -否：建议联系专业的售后技术人员处理",
其它,扫描地图RFID,,扫描地图RFID,扫描地图RFID,"更换少量地毯时需要注意其他的地毯不要错乱，并且新地毯铺设的时候方向需要和其他地毯一致，并记录下更换地毯的位置。更换完成后根据以下操作进行
1.少量更换地毯：打开一台机器人的电源，放到更换过的地毯上，rcs软件上查看当前地毯的坐标，打开rcs的platforms文件，打开locate文件，找到更换的左边，使用磁条图选择更换过地毯的机器人，读取更换过地毯上的rfid，双击可复制，替换locate中的rfid，保存并重启rcs
2.全量更换地毯：把地毯上所有机器人搬下来，删除platforms下的locate文件（删除前需要进行备份），打开rcs目录下的启动器，选择地图扫码模式，放一台机器人到平台上并在扫码模式软件里输入机器人id，选择机器人放的位置，点击开始扫描
此操作建议联系专业的售后技术人员协助","更换少量地毯时需要注意其他的地毯不要错乱，并且新地毯铺设的时候方向需要和其他地毯一致，并记录下更换地毯的位置。更换完成后根据以下操作进行
1.少量更换地毯：打开一台机器人的电源，放到更换过的地毯上，rcs软件上查看当前地毯的坐标，打开rcs的platforms文件，打开locate文件，找到更换的左边，使用磁条图选择更换过地毯的机器人，读取更换过地毯上的rfid，双击可复制，替换locate中的rfid，保存并重启rcs
2.全量更换地毯：把地毯上所有机器人搬下来，删除platforms下的locate文件（删除前需要进行备份），打开rcs目录下的启动器，选择地图扫码模式，放一台机器人到平台上并在扫码模式软件里输入机器人id，选择机器人放的位置，点击开始扫描
此操作建议联系专业的售后技术人员协助",
其它,更换地图,,更换地图,更换地图,"1.更换地图时需要注意将旧的地图进行备份
2.更新完成新的地图后进行随机跑测试是否有问题","1.更换地图时需要注意将旧的地图进行备份
2.更新完成新的地图后进行随机跑测试是否有问题",
其它,修改小车编号,,修改小车编号,客户更换了BMSP板，需要修改小车编号,"机器人更换过BMSP板后都需要进行重新设置机器人编号，请根据以下步骤进行操作
1.把这台机器人开机，并在rcs软件机器人界面点击快速添加按钮
2.在机器人上按A按钮，听到嘟嘟嘟的响声后则表示识别完成
3.查看rcs快速加车界面机器人编号，并添加机器人
4.按住Ctrl＋K按钮调用ap界面，点击右下角空白处两下调出修改界面，在界面中修改机器人编号。","机器人更换过BMSP板后都需要进行重新设置机器人编号，请根据以下步骤进行操作
1.把这台机器人开机，并在rcs软件机器人界面点击快速添加按钮
2.在机器人上按A按钮，听到嘟嘟嘟的响声后则表示识别完成
3.查看rcs快速加车界面机器人编号，并添加机器人
4.按住Ctrl＋K按钮调用ap界面，点击右下角空白处两下调出修改界面，在界面中修改机器人编号。",
其它,小车偏位,,小车偏位,D仓第1套下层两台小车偏位导致RCS无法启动,根据机器人跑偏步骤进行处理,根据机器人跑偏步骤进行处理,
软件,扫码台软件,,相机离线,扫码台显示相机离线,未知，用svs是可以连接的，,"1.确认扫码台程序是否为新版本
-是：SVS相机工具中设备属性，可见性为大师模式，查看deviceUserId是否配置（相机所对应的发货口名称）
-否：进入步骤2

2. 相机断电后重新上电
- 观察是否能连接?
- 是：问题解决
- 否：进入步骤3

3. 重启扫码台软件
- 观察是否能连接?
- 是：问题解决
- 否：进入步骤4

4. 打开电控箱，插拔相机的网线
- 观察是否能连接?
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获得帮助",
软件,扫码台软件,,扫码台无法打开,扫码台无法打开，提示报错,配置文件乱码了,"1.查看桌面图标的快捷方式是否变成白色文件
  -是：删除并重新建一个快捷方式
  -否：进入步骤2
2.打开扫码软件的dahua.config文件是否异常
  -是：删除此文件并重新打开扫码软件
  -否：联系专业的售后技术人员处理",
软件,扫码台软件,,机器人在扫描到条码之后不走,机器人在扫描到条码之后不走,扫码台没有获取到机器人编号,"首先检查机器人状态是否正常，是否处于被关机或暂停的情况，再进入以下步骤进行操作
1. 检查相机是否在线
- 否：检查网络和防火墙
- 是：进入步骤2

2. 检查称重数值是否正常（数值太大或者是负数）
- 是：进入步骤3
- 否：进入步骤4

3. 机器人在称重平台上时，按住Ctrl键后点击显示出来的“称重置零”按钮
- 观察是否能发车?
- 是：问题解决
- 否：进入步骤4

4. 确认扫码后是否有显示目的地
- 是：进入步骤5
- 否：联系专业的售后技术支持人员获得帮助

5. 确认是否有报错信息，例如“无sku”等信息
- 是：如“无sku”则这件货不在此波次中，属于正常现象。其他问题如有需要请联系售后客服进行排查。
- 否：联系专业的售后技术支持人员获得帮助",
其它,AP离线,,所有小车无法开机,下层RCS中所有小车无法开机,"1.检查rcs电脑的防火墙是否关闭
  -是：进入步骤2
  -否：关闭防火墙
2.检查电脑ip和子网掩码是否正确
  -是：进入步骤3
  -否：修改正确的ip和子网掩码
3.ping电脑连接的其他设备是否能ping通
  -是：进入步骤4
  -否：检查电脑网线
4.按住Ctrl+K查看ap是否全在线
  -是：建议联系专业的售后技术人员支持
  -否：进入AP离线处理流程进行处理","1.检查rcs电脑的防火墙是否关闭
  -是：进入步骤2
  -否：关闭防火墙
2.检查电脑ip和子网掩码是否正确
  -是：进入步骤3
  -否：修改正确的ip和子网掩码
3.ping电脑连接的其他设备是否能ping通
  -是：进入步骤4
  -否：检查电脑网线
4.按住Ctrl+K查看ap是否全在线
  -是：建议联系专业的售后技术人员支持
  -否：进入AP离线处理流程进行处理",
其它,断电跳闸,,全部断电跳闸,车服离线，ap离线，相机断电，上下两层无法正常作业，小车无法正常连接状态,建议联系现场电工进行查看处理,建议联系现场电工进行查看处理,
其它,投错格口,,投错格口,3月26日收到反馈：24号（当地时间）分拣目的地出错的包裹，并且包裹没有分拣信息记录，28号反馈有一百件包裹分拣出错,联系专业的售后技术人员进行排查,联系专业的售后技术人员进行排查,
软件,RCS,,机器人到卸货口不动作,机器人到卸货口不动作,查看WCS日志报无货架可用,"1.检查格口是否被关闭
  -是：打开格口
  -否：进入步骤2
2.是3D还是Tsort场地
  -3D进入步骤4
  -Tsort进入步骤3
3.检查格口软件是否被关闭
  -是：打开软件
  -否：联系专业的售后技术人员处理
4.检查分拣机是否报错
  -是：根据分拣机报错流程指引输出操作
  -否：联系专业的售后技术人员处理",
其它,机器人爆红急停,,机器人爆红急停,机器人爆红急停,按照机器人急停操作步骤进行输出操作流程依次排查,按照机器人急停操作步骤进行输出操作流程依次排查,
参数配置,,,皮带小车卸货方向出错,有小车反方向卸货，不同小车随机出现，没有固定地点,json配置文件中没有开启只往右边卸货,"皮带机器人卸货是需要配置卸货方向的
1.打开rcs文件目录下的platforms文件，打开json，查找到关键字卸货方向，把皮带机是否向右卸货配置改成true，保存并重启rcs软件",
软件,扫码台软件,,去掉条码中的空格和回车符,要求扫码时去掉条码携带的空格和回车符,条码打印问题,"1.在扫码软件exe的config文件中找到添加去掉空格配置项<!-- 删除空格的例子 -->
<add key=""CargoBarcodeRegexReplace"" value=""(\s)""/>，保存并重启扫码台软件是否正常
  -是：问题解决
  -否：联系专业的售后技术人员处理",
软件,扫码台软件,,相机断连,扫码台相机显示断连,未知，扫码台没有连到相机,"1.确认扫码台程序是否为新版本
-是：SVS相机工具中设备属性，可见性为大师模式，查看deviceUserId是否配置（相机所对应的发货口名称）
-否：进入步骤2

2. 相机断电后重新上电
- 观察是否能连接?
- 是：问题解决
- 否：进入步骤3

3. 重启扫码台软件
- 观察是否能连接?
- 是：问题解决
- 否：进入步骤4

4. 打开电控箱，插拔相机的网线
- 观察是否能连接?
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获得帮助",
软件,RCS,,车服里显示发货口没有机器人,车服里显示发货口没有机器人,车服里显示发货口没有机器人，发货口关闭了，然后驱车，同时扫码的任务也请求过来了。就造成了发货口没有机器人的情况了，分拣过程中，如果关闭发货口，则会造成发车失败的情况。导致只有请求目的地，而没有落件,"1.在rcs界面查看发货口是否被关闭
  -是：打开发货口，发货口关闭机器人是不会接收任务的
  -否：进入步骤2
2.检查扫码台是否进入暂离岗位模式
  -是：关闭暂离岗位
  -否：联系专业的售后技术人员处理",
其它,现场全场电量低,,现场全场电量低需要开启紧急充电模式,现场全场电量低需要开启紧急充电模式,"1.现场是Tsort还是3D场地
  -Tsort:在确保机器人上没有任务的情况下选择模式为充电模式则开始紧急充电
  -3D场地：在确保机器人上没有任务情况下，使用启动器切换紧急充电地图打开，然后选择紧急充电模式开始充电","1.现场是Tsort还是3D场地
  -Tsort:在确保机器人上没有任务的情况下选择模式为充电模式则开始紧急充电
  -3D场地：在确保机器人上没有任务情况下，使用启动器切换紧急充电地图打开，然后选择紧急充电模式开始充电",
软件,扫码台软件,,扫码软件显示红X,上层第二个扫码台软件右侧显示红X,电脑太久没有重启过了，导致系统内存不足；现场电脑一般不重启，除非遇到问题才会重启。,"一般由于磁盘爆满内存不足导致
1.打开任务管理器查看是否某个软件造成了内存的大幅度占用
  -是：如果是没有的软件进行删除，有需要不可删除则清理软件日志并重启电脑
  -否：检查磁盘和内存，进行清理",
软件,MCS,,货架亮红灯,货架亮红灯,货架亮红灯，发现第一套的货架在第二套使用且没有报错，需要开发查看原因,"1.检查分拣机是否报错
  -是：根据分拣机报错处理流程进行指引
  -否：进入步骤2
2.查看有任务货架是否被拉出
  -是：找到指定货架并插回
  -否：进入步骤3
3.检查报错那一侧分拣机的读卡器是否能读到rfid 
  -否：清理读卡器灰层或者拔插读卡器
  -是：联系专业的售后技术人员查看处理",
参数配置,,,满包雷达经常检测不到满包,现场很多分拣机很难检测到料框的满包状态,翻板延时350ms时间较短，雷达检测不够用,"一般这种情况是由于翻板卸货延时较短导致雷达检测时间不够，根据一些操作步骤进行
1.打开分拣机工具连接到对应ip的分拣机，修改翻板卸货延时为600ms，如延时已经较高，请联系专业的售后技术人员处理",
参数配置,,,卸货位置偏离,demo更换料框后分拣机卸货碰撞到货架,卸货尺寸有点偏离,由于调整卸货坐标非常容易出错，所以请联系专业的售后技术人员处理,
参数配置,,,AGV增加二次翻板,现场要求给三个分区的AGV都增加二次翻板动作，效果同哈尔滨大参林AGV一样。,更新前AGV翻板为一次性翻板动作，角度为60度。,"1.在rcs的platforms目录下，打开json文件
2.找到关键字：二次翻板。
3.修改二次翻板角度，二次需要比一次高，可以适当降低一些一次角度",
软件,RCS,,小车走偏急停,小车走偏，出现急停堵车,客户手动搬移小车导致进入手动模式，出现堵车,根据机器人跑偏操作流程指引进行指导排查,
软件,RCS,,扫描条码不发车,ss004发货口扫描条码不发货,,"首先检查机器人状态是否正常，是否处于被关机或暂停的情况，再进入以下步骤进行操作
1. 检查相机是否在线
- 否：检查网络和防火墙
- 是：进入步骤2

2. 检查称重数值是否正常（数值太大或者是负数）
- 是：进入步骤3
- 否：进入步骤4

3. 机器人在称重平台上时，按住Ctrl键后点击显示出来的“称重置零”按钮
- 观察是否能发车?
- 是：问题解决
- 否：进入步骤4

4. 确认扫码后是否有显示目的地
- 是：进入步骤5
- 否：联系专业的售后技术支持人员获得帮助

5. 确认是否有报错信息，例如“无sku”等信息
- 是：如“无sku”则这件货不在此波次中，属于正常现象。其他问题如有需要请联系售后客服进行排查。
- 否：联系专业的售后技术支持人员获得帮助",
其它,分拣机一层对接位置不正确,,分拣机一层对接位置不正确,分拣机一层对接位置不正确,"1.重启分拣机是否恢复正确位置
  -是：问题解决
  -否：进入步骤2
2.使用工具或现场LED屏幕进入接货位置设置界面，根据现场实际的偏差进行调整XY的值","1.重启分拣机是否恢复正确位置
  -是：问题解决
  -否：进入步骤2
2.使用工具或现场LED屏幕进入接货位置设置界面，根据现场实际的偏差进行调整XY的值",
软件,灯条软件,,打不了包,打不了包,打不了包，灯台软件被关闭了,"1.查看软件是否被关闭
  -是：打开软件重新集包尝试
  -否：进入步骤2
2.查看pda是否网络异常或者按钮盒是否有离线
  -是：根据pda无法使用和按钮盒离线操作指引进行
  -否：联系专业的售后技术人员处理",
参数配置,,,部分灯条满包不亮灯,+A的一个场地：部分灯条触发满包时没有反应，要离灯条很近的距离才有反应,灯条软件中配置文件Lan2CanList.json中设置的满包感应距离很小，只有15cm距离。,"大概率由于灯条中设置的满包感应距离过小导致的
1.打开啊灯条文件中的Lan2CanList.json文件
2.修改传感距离为30cm，如果距离设置过大会影响到对面灯条的检测
",
软件,MCS,,波次数据无法关闭,波次数据无法关闭，MCS界面显示有一件还在分拣机上,,"1.确认系统中是否有正在分拣的货物
  -是：等待货物分拣完成
  -否：进入步骤2
2.从后台强制关闭波次，密码为波次号后六位，是否成功
  -是：问题解决
  -否：建议联系专业的售后技术支持人员获得帮助）",
其它,ap通讯异常,,小车自动关机，无法正常开启,广州希音6-4-2下层小车自动关机，无法正常开启,进入机器人自动关机操作流程进行指引,进入机器人自动关机操作流程进行指引,
软件,MCS,,波次结束不掉,波次结束不掉,有未完成的订单，需要进去波次里面，找到未完成的订单，改为完成，然后结束波次,"1.确认系统中是否有正在分拣的货物
  -是：等待货物分拣完成
  -否：进入步骤2
2.从后台强制关闭波次，密码为波次号后六位，是否成功
  -是：问题解决
  -否：建议联系专业的售后技术支持人员获得帮助）",
软件,RCS,,机器人无法去充电,机器人无法去充电,规划给的地图路线不对，没有去充电桩的路线,"1.在RCS界面查看充电桩是否被关闭
  -是：右键打开充电桩
  -否：联系专业的售后技术人员处理",
其它,信道干扰,,机器人运行过程中会出现自动关机的情况,机器人运行过程中会出现自动关机的情况,进入机器人自动关机操作流程进行指引,进入机器人自动关机操作流程进行指引,
其它,日志查询,,大量机器人电量过低,大量机器人电量过低,切换紧急充电模式，对于无法正常通过软件开机的低电量小车进行手动充电后再开始紧急充电,切换紧急充电模式，对于无法正常通过软件开机的低电量小车进行手动充电后再开始紧急充电,
软件,扫码台软件,,加一个新的条码类型,在扫码台软件上面添加白名单 ^4C.*US$,在扫码台软件上面添加白名单 ^4C.*US$,根据添加白名单操作指引进行,
软件,扫码台软件,,有商品条码无法扫描，要添加条码规则,有商品条码无法扫描,条码规则未添加,根据添加白名单操作指引进行,
软件,MCS,,分拣机传送带头部过度摆动,分拣机传送带头部过度摆动,联系吴占宁，查看了液晶翻板参数界面，发现翻板旋转角度设置为1°,"1.连接分拣机工具查看翻板旋转角度是否异常，一般调整为9°问题是否解决
  -是：问题解决
  -否：联系专业的售后技术人员处理",
软件,MCS,,分拣机皮带接货时无法停留在固定的接货位置（距离桌面边沿有一段距离）,分拣机皮带接货时无法停留在固定的接货位置（距离桌面边沿有一段距离）,经吴占宁远程确认，这是程序的BUG,联系专业的售后技术人员进行升级处理,
软件,RCS,,飞箱箱号和读码器箱号不一致,读码器读到的箱号是六位，正常情况是七位,读码失败，重新扫箱,"1.手动控制此箱子的拉箱机进行手动扫描料箱，是否恢复
  -是：问题解决
  -否：联系专业的售后技术人员处理",
软件,RCS,,路线无法到达,路线无法到达,路线无法到达,联系专业的售后技术人员检查,
参数配置,,,车服无法一键关闭发货口,①没有一键全部关闭发货口，②关闭发货口之后，等一会之后会自动打开的,小车数量比停车区多,"1.确认机器人数量和白色停车区数量是否匹配，白色停车区数量必须大于等于机器人数量
  -是：建立联系专业的售后技术人员查看
  -否：在地图中添加缺少的停车区或者删除多余的机器人",
参数配置,,,现场更换魔毯需要录入新的rfid,现场更换魔毯需要录入新的rfid,让现场把小车放到新的魔毯上识别出来的rfid替换到地图文件里,"更换少量地毯时需要注意其他的地毯不要错乱，并且新地毯铺设的时候方向需要和其他地毯一致，并记录下更换地毯的位置。更换完成后根据以下操作进行
1.少量更换地毯：打开一台机器人的电源，放到更换过的地毯上，rcs软件上查看当前地毯的坐标，打开rcs的platforms文件，打开locate文件，找到更换的左边，使用磁条图选择更换过地毯的机器人，读取更换过地毯上的rfid，双击可复制，替换locate中的rfid，保存并重启rcs
2.全量更换地毯：把地毯上所有机器人搬下来，删除platforms下的locate文件（删除前需要进行备份），打开rcs目录下的启动器，选择地图扫码模式，放一台机器人到平台上并在扫码模式软件里输入机器人id，选择机器人放的位置，点击开始扫描
此操作建议联系专业的售后技术人员协助",
数据补推和货架释放,,,释放货架,释放货架,释放货架,"1.查看上游系统有没有释放货架
  -否：上游释放完成后充实
  -是：进入步骤2
2.是否有立镖wes接入
  -是：进入步骤3
  -否：进入步骤4
3.进入wes接口交互网址进行释放货架
4.货架拉出30s再次插入尝试",
其它,小车被手动关机,,扫码不会发车,6-2-3线上层小黄车扫上条码不会动,进入扫码后无法发车操作流程进行指引处理,进入扫码后无法发车操作流程进行指引处理,
软件,RCS,,三区在分拣情况下发货口不会自动驱走机器人,三区在分拣情况下发货口不会自动驱走机器人,需要改配置文件,打开RCS软件的json配置文件，找到发货口是否自动驱赶空闲太久的机器人改为true,
其它,客户上层软件,,小车到达拣选点无法发车,小车到达700_6600，700_2100拣选点后小车不发车,客户上层软件问题，rcs发送了到达信息，到上层软件没有收到,客户上层软件问题，rcs发送了到达信息，到上层软件没有收到,
其它,地图路线,,小车排队超出排队区,IslnductionQueueLengthEnabled:虽然true，但AGV仍然在排队区排到外面，在指定的地毯无法前往停车区,"1.检查rcs的json配置文件中是否把IslnductionQueueLengthEnabled配置打开
  -是：联系专业的售后技术人员处理
  -否：打开此配置并重启rcs软件","1.检查rcs的json配置文件中是否把IslnductionQueueLengthEnabled配置打开
  -是：联系专业的售后技术人员处理
  -否：打开此配置并重启rcs软件",
其它,地图路线,,RCS上面限制了排队区的长度不起作用,RCS上面限制了排队区的长度不起作用,"1.检查rcs的json配置文件中是否把IslnductionQueueLengthEnabled配置打开
  -是：联系专业的售后技术人员处理
  -否：打开此配置并重启rcs软件","1.检查rcs的json配置文件中是否把IslnductionQueueLengthEnabled配置打开
  -是：联系专业的售后技术人员处理
  -否：打开此配置并重启rcs软件",
