Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,充电慢,"注:充电桩满功率快速充电时下面三颗灯常量，慢速充电则一闪一闪
1.确认是单独某机器人出现异常还是所有机器人在此充电桩都会出现异常
   -单独机器人：进入机器人类别，机器人充不进电问题
   -充电桩：进入步骤2
2.检查充电桩上的led灯是否下面三颗灯都亮着
   -是：建议联系专业的售后技术支持人员获得帮助
   -否：进入步骤3
3.检查充电嘴是否有异物存在或者灰层太多
   -是：清理异物和灰层，使用砂纸打磨充电嘴
   -否：进入步骤4
4.检查充电桩的充电嘴是否有变形或者爪齿无法按压
   -是：更换充电嘴或者进行维修
   -否：建议联系专业的售后技术支持人员获得帮助","检查led灯亮的状态，确认三路是否都亮灯
充电嘴是否有变形
充电嘴是否有异物或灰尘
确认是否是单独小车的故障还是普遍的故障"
,,,充电时只有部分灯亮,同上,"充电嘴是否有变形
充电嘴是否有异物或灰尘
确认是否是单独小车的故障还是普遍的故障
快速充电时灯才全亮，慢速充电的时候灯是一闪一闪的"
,,,小车到充电桩充电异常,同上,"充电嘴是否有变形
充电嘴是否有异物或灰尘
确认是否是单独小车的故障还是普遍的故障"
,,,,,
,,满包检测（灯条/按钮盒）,灯条/按钮盒显示离线,"1. 重新插拔灯条/按钮盒连接线
   - 观察是否异常
     - 是：进入步骤2
     - 否：问题解决

2. 更换灯条/按钮盒，并重新注册
     - 更换完毕后注册操作建议联系专业的售后技术支持人员获得帮助
     ",
,,,满包后不亮灯，灯条软件上显示离线状态,同上,
,,,灯条主从断开连接,同上,
,,,灯条无法注册,同上,
,,,多个灯条出现紫色灯光,灯条固件版本问题，建议联系专业的售后技术支持人员升级固件,
,,,更换灯条后注册失败,"1. 通常情况下是因为没有将原灯条/按钮盒的注册信息删除导致的，请先删除原灯条/按钮盒信息后再注册
   - 观察是否继续失败
     - 是：建议联系专业的售后技术支持人员获得帮助
     - 否：问题解决",
,,,满包之后无法解除满包，灯条一直触发满包,"1.检查是否存在遮挡，例如料框挡到，可以移除料框的操作进行验证
  -是：调整遮挡东西的位置
  -否：建议联系专业的售后技术支持人员获得帮助",
,,,传感器满包状态下，塔灯不亮,"1.检查连接线是否正常，拔插操作查看是否恢复
  -恢复：问题解决
  -未恢复：建议联系专业的售后技术支持人员获得帮助",
,,,灯条全部离线,"1.ping电源盒上的ip是都能通
  -是：进入步骤2
 -否：检查网络和电脑防火墙是否关闭
2.检查电源盒电源是否正常
   是：进入步骤3
  否：检查电源或电源线
3.更换电源盒
  -联系专业售后技术支持人员修改ip等信息",
,,,灯条软件启动不了, -联系专业售后技术支持人员修改ip等信息,
,,,,,
,,,,,
,,AP,AP通信成功率为0%，在线成功率为100%,"1. 检查AP的两根天线柱子是否拧紧，尝试重新拧紧，并且避免天线底座跟金属有接触。
   - 观察是否还有问题?
     - 是： 进入步骤2
     - 否： 问题解决

2. 检查AP的网线和电源是否正常，尝试重新插拔网线和电源线。
   - 观察是否继续报错?
    - 是： 进入步骤3
    - 否： 问题解决

3. 由于通讯率为0，可能是AP的通讯模块损坏，建议更换AP或者联系专业的售后技术支持人员获得帮助。",
,,,AP离线,"1.打开cmd进行ping这个ap的ip，是否能ping通
   -否：检查网线是否正常
   -是：进入步骤2
2.检查电源是否正常连接
   -否：连接电源并检查
   -是：建议联系专业售后技术支持人员",
,,,AP通信成功率低,"1.检查ap的天线是否有松动
  -是：紧固天线 
  -否：联系专业售后技术支持人员进行检测通信",信道是否也有关系？
,,,,,
,,WES,,,需要查日志或数据库，智能客户暂时无法解决
,,,,,
,,,,,
,,飞箱,,,
,,,,,
,,,,,
,,,,更换过BMSP之后需要先查看现在BMSP版本，比如30B的话，先升级配置（config）再去升级4B5的BMSP固件，然后才是电机和霍尔升级，注册电机,
,,,,,
,,,,,
,,,,,
,,,,电梯板故障：没有输出电压（24V/27V?）、电容烧坏,
,,,,,
,,,,,
,,,,,
,咨询&操作类,,校准霍尔,"- 确保机器人未接触地毯。
- 长按C按钮，直到B按钮和C按钮同时闪烁，然后松开C按钮。
- 按下两次A按钮，观察灯带上的三个灯是否全亮并闪烁三次，是则表示校准成功。
- 最后，依次按下C、B、A按钮，使机器人恢复正常状态。",
,,,校准轮径,"- 将机器人放置于地毯正中间，保证机器人前方七个地毯没有其他机器人或者障碍物。
- 长按C按钮，直到A按钮和C按钮同时闪烁，然后松开C按钮。
- 按下两次A按钮，这时机器人会来回运行。当机器人停止运动，并且三个按钮同时闪烁三次后，表示校准成功。
- 最后，依次按下C、B、A按钮，使机器人恢复正常状态。",
,,,校准磁场,"- 为避免磁场干扰，请将机器人移至无地毯区域进行操作。
- 连续按下五次C按钮。
- 按下两次A按钮，观察灯带上的三个灯是否全亮并闪烁三次。若闪烁三次，则表示校准成功。
- 依次按下C、B、A按钮，使机器人恢复正常状态。",
,,,手动测试翻板,"- 依次按下三次C按钮、一次A按钮。
- 按下A按钮，观察翻板是否打开。
- 按下B按钮，观察翻板是否关闭。",
,,,机器人注册,"- 将机器人放置于地毯正中间。
- 长按C按钮，直到A、B、C按钮同时闪烁，然后松开C按钮。
- 按下两次A按钮，这时机器人会小幅度左右运动，当机器人停止运动，并且A、B、C按钮同时闪烁，表示注册完成。
- 依次按下C、B、A按钮，使机器人恢复正常状态。",
,,,测量电池电压,"- 使用万用表测量机器人充电极板的电压，正常电压为4.6V左右。
- 电压低于4V表示电量不足，需要及时充电，否则可能无法开机。
- 电压低于3V时，需要激活电池后才能正常充电。",
,,,激活电池,根据操作视频激活,
,,,小车没有系统提示音,,
,,,小车皮带输送机转向变反了,,
,,,AGV放电,,
,,,小车辅助轮的寿命和更换标准,"* 万向轮的寿命一般情况下为3年。更换标准为轮子转动是否良好，表面的橡胶是否呈正常的圆弧状。
* 万向轮保养建议：
  - 不在崎岖不平的路面或者有腐蚀性物质的环境下运行
  - 请勿超过额定负载
  - 定期对小车辅助轮进行清洁和维护",
,,,机器人进入维修区的条件,翻板故障时会进入维修区，其他报错不会进入维修区。,
,,,充电嘴的更换标准和使用寿命,充电嘴属于易损件，建议根据弹簧弹性和磨损程度进行更换。,
,,,一个电源盒是否可以连接两套灯条系统,不可以，建议使用两个电源盒分别连接两套系统。,
,,,RCS日志保存时间,建议修改Nlog.config文件中的参数,
,,,3D分拣机货架注册,WCS配置文件中，修改注册机器号，保存，重启WCS，WCS上》高级》导入货架，将新货架依次左右RFID位置推入分拣机对应位置，导入货架界面自动识别显示左右RFID，输入货架对应编码，点击导入即可,
,,,AGV 是否只参考 RCS 电脑的时间进行运行,建议关闭时间同步功能,
,,,如何判断 RCS 日志中“AGV 全部密封，停止服务，关闭所有电源”是否成功执行。,建议查看 AC 界面中机器人的状态是否为 off。,
,,,暂停模式,按下B键机器人进入暂停模式，指示灯变成灰色。再按下A键解除。,
