故障类别,软/硬件,部件,标题,描述,原因分析,解决方案
地面车异常,区域急停,,205111区域急停,"地面车 205111 区域急停 机器人: 205111 发生了区域锁定,坐标: 13,20,错误码: 234,描述Destination no navigation positioning",未知，已读取日志。,现场将小车搬到地毯上后恢复。
硬件,电子标签,,电子标签黑屏,电子标签黑屏,,重新安装一下，没有用，厂家远程后，测试后，恢复正常
软件,RCS,,现场反馈出现人等车的情况,现场反馈出现人等车的情况,拉取sorting日志 放在工具里提取产能,观察平均产能 是否差距过大
硬件,其它,,工控机黑屏,客户反馈工控机黑屏,电源没电了,让客户拿万用表测量适配器的输出电压，昨天临近下班，客户说第二天测量，第二天测量后，适配器损坏，发到群里后，李海生指出了备用的12V电源，客户更换新的电源后，正常了
软件,扫码台软件,,客户的新条码需要手动抬高20cm才能识别,客户的新条码需要手动抬高20cm才能识别，直接放在车子上无法识别，远程看过去设备状态正常,,联系厂家，厂家远程后升级了软件，可以正常识别了
参数配置,,,扫码台不能识别二维码,"客户反应，第六扫码台(2.22)，不能识别二维码。

扫码台软件内能看见摄像头影像，客户放置包裹在摄像头下无反应，影像中没有识别到code后的绿色框","1. SVS进去看看摄像头能不能清楚读到code，是不是镜头被人调整了
2. 需要检查dahua.cfg看看是不是没有打开2dcode的使能","svs正常，检查dahua.cfg
其中语句：
<DMCode enable=""0"" imageWidth=""6500"" imageHeight=""4000""
不正常，0代表disable，表示关闭了2dcode的使能

修改成1后，扫码台测试正常"
飞箱异常,TOF异常,,101014 飞箱拉箱失败,"报警消息：拉箱<-货架
飞箱: 101014 箱位: (A012)12-058
其中一侧没找到边",1、飞箱到达料箱位置后，目测飞箱位置是正的，TOF微调几次后发生报错,"1、读取飞箱日志、TOF日志
2、终止任务--启动任务--已解决（恢复正常）
3、问题反馈给肖"
客户操作,,,RCS重新启动后，机器人没有重新卸货，带着货物返回了发货口,RCS重新启动后，机器人没有重新卸货，带着货物返回了发货口,分析日志：现场工人切换了随机跑模式，导致任务被清空。,
地面车异常,直行偏航角度过大,,接驳位没有小车,"项目名称：青浦山姆 
报警消息：拉箱<-地面车
飞箱: 104062 地面车: 205094
接驳位没有小车",实际为地面车走偏导致飞箱撞到料箱，料箱落在地面上导致,"1.让现场人员把料箱放到地面车上；
2.终止启动后恢复；"
客户操作,,,219209 区域急停,"地面车 219209 区域急停 机器人: 219209 发生了区域锁定,坐标: 4,2,错误码: 21C,描述激光雷达避障急停,检查并复位",人工拣货时干预,点击已解决恢复
客户操作,,,101039物品超高,"项目名称：流山UA 
报警消息：トート押込む->棚
AirRob: 101039 ロケーション: (A039)09-021
推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高",人工摆放物品超高导致飞箱推不进去,封锁区域呼叫现场人员手动将料箱物品摆放平整
飞箱异常,TOF异常,,101074 拉箱时箱子尺寸过大,拉箱<-货架  飞箱: 101074 箱位: (A075)10-044......拉箱时箱子尺寸过大,已经反馈给研发确认 （判断错误）,远程时已发现并无报错客户自己恢复
地面车异常,区域急停,,230251区域急停,"日志里面查看报错是242，没有显示弹窗，地面车（坐标41,26）急停","1.地面车（坐标41,26）在执行任务过程中在货架下转弯与其他车辆发生碰撞（远程上去该车辆已经驶离），已经向研发反馈无法弹窗（错误码242），地面车在货架下转弯原因已经向徐工反馈。",将地面车小车恢复到正确的node口中点击已解决恢复
飞箱异常,TOF异常,,"拉箱<-货架  飞箱: 101063 箱位: (A001)08-044......两侧边沿值差值太大,L=19730,R=19817","拉箱<-货架  飞箱: 101063 箱位: (A001)08-044......两侧边沿值差值太大,L=19730,R=19817",1.tof识别异常。,"1.拷贝tof日志；
2.飞箱任务终止启动后恢复；
3.日志打包交给肖侠驹分析；"
硬件,机器人,霍尔板,机器人急停撞车,"检查之前被删除的五台机器人，现场反馈机器人急停撞车
",经过检查：其中四台是霍尔原因，重新校准之后没有出现异常，另外一台无法充电，轮子丢失一个，等待维修,其中四台校准霍尔之后恢复正常，另外一台无法充电，轮子丢失一个，等待维修
客户操作,,,小车不发车,客户扫描后小车不发车,"1.不发车原因WCS和RCS没有连通
2.不互通原因WCS服务器的防火墙被打开",关闭防火墙，显示相互连通，客户正常使用
波次问题（移除、迁移、关闭）,,,取消波次,客户需要删除第一套待启动波次中的波次 PO2506250159。,,操作数据库修改波次信息状态后取消波次
客户操作,,,急停频繁,小车在特点区域急停频繁，,1，客户整理地毯的时候，把部分地毯放错位置，没有放回原位,使用小车一个个地毯重新点位，让客户调换地毯正确的位置
地面车异常,区域急停,,小车区域急停,"小车区域急停：解決してください:FloorBot 230204 のエリアで緊急停止 口ボット:230204 エリアロックが発生しました、座標:43,63、エラ-コ-ド234、说明 目的地マッブ情報取得失敗 が発生 しました。",,读取日志，手动校准小车恢复正常
飞箱异常,倾角异常,,飞箱切斜,韩国CJ OY项目飞箱:106002 故障。报错：1号电机过温度0X105请恢复飞箱后点击 已解决,106002飞箱切斜,"读取日志，点击校准切斜的按钮无法校准，点没有反应，把飞箱降到地面，并解锁5,6号电机，再校准飞箱倾斜。再选电机回零和X自动定位，终止启动恢复飞箱"
波次问题（移除、迁移、关闭）,,,波次转移到其他平台,客户需求：“Hey can we move wave ID2507200055 from Gru 4 to Gru 3.  Can we also move wave ID2507200068 from Gru 3 to Gru 4 please? ”,,在数据库内移动对应波次，并在wms前端网页二次检查
参数配置,,,更换了地毯,现场更换了4块地毯，需要修改locate文件RFID,,手动调度小车去对应的新地毯位置，读取RFID后写入RCS的locate文件即可。
波次问题（移除、迁移、关闭）,,,关闭波次,B4第4套：要求关闭完成99%的波次ID2507190093，通过WES界面关闭波次时提醒还有未完成的包裹。,,通过WCS界面波次详情界面，手动完成“等待机械臂完成”的任务即可。
软件,RCS,,客户将下层5台小车移到上层，更新上层地图,"客户需要将下层五台小车搬到上层，上层地图需要增加停车位。
规划已经提供了新的地图，需要在客户工作间隙部署。",,"将现有上层地图备份，命名为upper.grid.bak20250721
将规划给的新的地图复制上去，命名为 upper.grid
重启rcs"
地面车异常,区域急停,,地面车 230206  区域急停,警报消息:FloorBot 230206区域紧急停止机器人:230206区域锁定，坐标:65，62，错误代码:234，说明目的地地图信息获取失败。,1、地面车在工作站区域走偏，导致230214，230206无法重新定位，识别不到RFID,"1、让现场人员帮忙把小车放到地毯中间
2、操作界面恢复小车定位（恢复定位后，问题解决）"
飞箱异常,料箱位置不正,,推箱->地面车 飞箱: 104042 地面车: 205111 补推3次后，地面车箱传感器检测不到,推箱->地面车 飞箱: 104042 地面车: 205111 补推3次后，地面车箱传感器检测不到,1.料箱推箱偏斜导致地面车传感器未触发。,"1.操作拉箱机手动调整料箱位置；
2.终止启动任务后恢复；
"
地面车异常,区域急停,,228163区域急停,"地面车 228163 区域急停 ロボット: 228163 エリアロックが発生しました、座標: 81,50、エラーコード: 21C、説明 TOF障害物回避レーダーが緊急停止触発","1.根据研发人员推测228165地面车在行驶的过程中车子停在巷道里，被移动的飞箱碰撞到箱子，导致箱子掉落在巷道中，228165地面车方向偏移到坐标81，51。
2.途中228163在巷道中检测到箱子（箱号319060）掉落导致在坐标 81,50区域急停",将箱号319060手动放入228165地面小车，将地面小车恢复到对应的node表里正确位置（由于发生碰撞但世界坐标准确不需要操作重定位）点击已解决恢复
飞箱异常,料箱脱钩,,飞箱101107拉箱失败,飞箱拉箱失败，调整位置超过10次,,飞箱操控界面，终止，启动后，恢复
地面车异常,区域急停,,小车228117，228110定位丢失,小车弹窗报警，区域急停,"远程小车不在世界坐标的黄框内，雷达坐标离线
21/500",把小车移动到格子内，重新定位，恢复正常
飞箱异常,料箱脱钩,,飞箱调整位置10次拉箱失败,飞箱弹窗报警，调整位置10次，调整拉箱位置失败,,飞箱操控界面终止，启动，恢复正常
地面车异常,区域急停,,小车228117定位丢失,小车弹窗报警，区域急停,远程小车不在世界坐标的黄框内，雷达坐标离线,把小车移动到方框内，重新定位，恢复正常
飞箱异常,TOF异常,,飞箱调整位置异常,"项目名称：流山UA 
报警消息：トート引出す<-棚
AirRob: 101107 ロケーション: (A108)10-030
位置調整が10回を超え、引き箱位置の調整に失敗しました",tof异常,读取日志，并终止启动恢复
地面车异常,定位丢失,,区域急停,"项目名称：流山UA 
报警消息：FloorBot 228117 のエリアで緊急停止 ロボット: 228117 エリアロックが発生しました、座標: 72,39、エラーコード: 21B、説明 直線1メートル超えマップ定義取得失敗 が発生しました。",,读取日志，重定位后恢复
硬件,分拣机,联轴器,电机离线,1，ssi primor in spain项目39号分拣机故障，分拣机无法正常分拣,"1.分拣机输出板离线，但断电电梯板后输出板恢复
2.输出板恢复后4.5号电机离线（
3，y轴滑轮轴承故障","输出板离线，断电电梯板恢复，然后4,5号电机离线，客户没有时间修复，需要停止29号分拣机上所有的订单，所以在wcs上强制完成39号分拣机的订单，并交代客户回流的包裹手动分拣。剩余4,5号电机离线问题客户检查没有问题，修复好y轴轴承问题后恢复"
硬件,平台,,急停频繁,小车经过地毯的时候都会报红，导致频繁急停,其中一个地毯方向放错,停止分拣，操作小车检查地毯发现一个地毯方向放错，停止分拣是矫正地毯后恢复
硬件,分拣机,电梯板,更换电梯吧,波兰希音大P3第六套52号分拣机，客户更换电梯板，要求更新一下电梯板固件,,更新电梯板固件后正常使用
软件,MCS,,关闭波动异常,波次无法再wes上关闭,波兰希音大P3第六套wcs上有个包裹正在等待分拣机分拣完成上报，但没有完成,在wcs上强制完成分拣中的订单后能正常在wes上关闭订单
地面车异常,定位丢失,,小车定位丢失,"小车在发货口地毯处，地面车 205110 区域急停 机器人: 205110 发生了区域锁定,坐标: 9,20,错误码: 234,描述Destination no navigation positioning","未知，1.远程是磁条图上显示雷达定位离线
2，在地毯上位置偏离",手动校准在地毯中间并重点位恢复正常
飞箱异常,料箱位置不正,,拉箱异常,飞箱104023报错：:拉箱失败:beltin没到位(211.6),料箱位置不正,读取日志，手动推箱子回货架上并终止启动恢复
波次问题（移除、迁移、关闭）,,,波次迁移,美国希音B4，波次ID2507180012从第四套迁移到第三套,,操作数据库修改波次信息来迁移波次
波次问题（移除、迁移、关闭）,,,波次迁移,美国希音B4将波次 ID2507180010从第三套迁移到第一套,,操作数据库修改波次信息来迁移波次
客户操作,,,地毯方向出错,小车经常急停报错，小车经过指定的位置会出现报红的情况,1，其中一个地毯方向装错的情况,手动小车一个个地毯检查，并让客户把地毯矫正
参数配置,,,新车称重,新添加一台小车227199需要称车重。,,手动将该小车赶至任一发货口位置，查看其车重量值，手动写入Robot Weight List.txt即可
飞箱异常,其它,,104102飞箱作业超时大于15秒,飞箱操作时间超过配置时间,"1.根据研发做出的推测该飞箱物品超重导致飞箱行驶缓慢
2.飞箱工作时间超过15秒会在运维平台报出弹窗
3.从日志中看出这台飞箱工作时间为27秒超过配额时间（15秒）",没有告警弹窗需要观察后续推拉箱箱会不会出现报错
飞箱异常,TOF异常,,101013 飞箱拉箱失败,"报警消息：拉箱<-货架
飞箱: 101013 箱位: (A011)03-036
拉箱机拉箱失败，抓钩总成后拉100mm拉不出来",1、飞箱tof识别后往外拉出时，未稍微抬起箱子，导致拉出时撞到货架横梁，发生报错,"1、读飞箱日志
2、手动控制把箱子推回货架中
3、终止任务— 启动任务—点击已解决"
地面车异常,区域急停,,发生了区域锁定测试数据，忽略,"地面车 230213 区域急停 ロボット: 230213 エリアロックが発生しました、座標: 64,59、エラーコード: 21C、説明 TOF障害物回避レーダーが緊急停止触発",,配合何磊测试。测试数据，忽略
飞箱异常,其它,,104102推箱异常,"推箱->货架  飞箱: 104102 箱位: (A03)07-01.........推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高",原因未知 后续会反馈给研发,终止启动点击已解决恢复
客户操作,,,地面车 205110 区域急停,"项目名称：青浦山姆 
报警消息：地面车 205110 区域急停 机器人: 205110 发生了区域锁定,坐标: 17,20,错误码: 234,描述Destination no navigation positioning 
原因为工作站有异物入侵导致小车撞车",原因为工作站有异物入侵导致小车撞车,"1.调整小车位置后重定位恢复；
2.拷贝事发视频"
飞箱异常,TOF异常,,101107飞箱拉箱失败,"项目名称：流山UA 
报警消息：トート引出す<-棚
AirRob: 101107 ロケーション: (A108)10-041
位置調整が10回を超え、引き箱位置の調整に失敗しました",,终止任务启动任务恢复
软件,RCS,,RCS无法启动，redis报错,远程检查虚拟仓库连不上两个数据库,排查发现服务器IP地址错了，导致无法通讯,修改服务器IP地址为之前的，恢复正常
飞箱异常,料箱脱钩,,beltin没到位,拉箱<-货架   飞箱: 104021 箱位: (A001)11-007..........拉箱失败:beltin没到位(209.3).(10),1.货物箱内摆放位置太靠货架，导致拉箱机拉长钩爪收回后皮带无法带动箱子收回。,"1.遥控将料箱推回料架；
2.终止启动重试任务恢复"
飞箱异常,TOF异常,,101012 飞箱拉箱失败,"报警消息：拉箱<-货架
飞箱: 101012 箱位: (A011)09-017
其中一侧没找到边",1、TOF异常问题，需要优化程序,"1、肖侠驹远程处理
2、7.22日晚上肖已对SIG飞箱进行升级"
飞箱异常,TOF异常,,拉箱<-地面车 飞箱: 101043 地面车: 249023............接驳位多次修正失败,拉箱<-地面车 飞箱: 101043 地面车: 249023............接驳位多次修正失败,1.tof识别异常，飞箱调整时间过长。,"1.拷贝飞箱日志，tof日志，现场视频；
2.终止启动后恢复。"
客户操作,,,发生了区域锁定,"地面车 219178 区域急停 机器人: 219178 发生了区域锁定,坐标: 9,2,错误码: 21C,描述激光雷达避障急停,检查并复位",1.客户将料箱放在工作站前方，导致触发激光避障,1.重定位后恢复
地面车异常,区域急停,,21127地面车区域急停,"地面车 21127 区域急停 机器人: 21127 发生了区域锁定,坐标: 8,9,错误码: 21C,描述激光雷达避障急停,检查并复位",地面前方有工作人员人工作业,点击已解决恢复
客户操作,,,104042 物品超高,"推箱->货架  飞箱: 104042 箱位: (A004)07-017.........推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高",人工摆放问题导致需要进行人工培训,人工将货物取出飞箱终止启动点击已解决
飞箱异常,TOF异常,,104014拉箱失败,拉箱<-地面车 飞箱: 104014 地面车: 21127............拉箱距离> 270 mm,25号tof测量箱体时不准确，点击已解决再次测量恢复,操作地面小车向前移动2cm点击已解决恢复
飞箱异常,接驳位偏移量异常,,101043推箱失败,"推箱->地面车  飞箱: 101043 地面车: 226073.......推箱到地面车,车上有箱",根据自己判断查看该接驳位偏移量为0，飞箱tof检测到托盘判断为有箱,修改接驳位偏移量为0.002点击已解决恢复正常
飞箱异常,TOF异常,,"推箱->地面车  飞箱: 101043 地面车: 219202.......推箱到地面车,车上有箱","推箱->地面车  飞箱: 101043 地面车: 219202.......推箱到地面车,车上有箱",TOF在接驳位误检测到小车,修改接驳位偏移量，飞箱操作界面终止启动后恢复
飞箱异常,其它,,110062拉箱失败,"拉箱<-货架
飞箱: 110062 箱位: (A005)19-024
拉箱失败:beltin没到位(179.0).(10)",未知，已读取日志。,终止并启动任务无效，手动将箱子推回货架后，重新扫描货架该位置箱号。
参数配置,,,启用二维码识别,TSort第6套下层D0101扫码台不识别二维码，右侧D0102能正常识别二维码。,"1、检查dahua.cfg，查看是否已启用二维码识别，确认已启用；
2、检查SVS中相机二维码功能设置，对比左右两侧设置，发现“QR的最小版本”不同。",在SVS中将左侧相机二维码设置中的“QR的最小版本”值从10改成1后，扫码软件左侧正常识别二维码。
其它,客户系统原因,,笼车状态不可用,波兰希音PNT仓TSort：PDA绑定笼车至格口PNT01-006返回异常信息。,"1、先检查立镖WES数据库中该格口上报信息，查询结果正常；
2、联系客户自查其WMS系统相关信息。",客户系统自查。
地面车异常,区域急停,,228136区域急停,"项目名称：流山UA 
报警消息：FloorBot 228136 のエリアで緊急停止 ロボット: 228136 エリアロックが発生しました、座標: 38,8、エラーコード: 21C、説明 TOF障害物回避レーダーが緊急停止触発 が発生しました。",车子上地毯时探测到充电桩外壳，误判为障碍物急停了,远程控制机器人重定位恢复
客户操作,,,219252 地面车区域急停,"地面车 219252 区域急停 机器人: 219252 发生了区域锁定,坐标: 25,31,错误码: 242,描述执行动作时,没有到达目标点附近",看录像回放发现是物品超高导致车子过工作台时被上方限高剐蹭，从而导致小车偏移,小车手动操控界面手动恢复
客户操作,,,发生了区域锁定,"地面车 80094 区域急停 机器人: 80094 发生了区域锁定,坐标: 5,20,错误码: 234,描述Destination no navigation positioning",原因是工作人员把物品放在护栏上，小车过来转弯的时候撞到物品，导致小车定位丢失，跑偏,1.调整小车位置，重定位恢复。
地面车异常,区域急停,,地面车 226072 区域急停,"地面车 226072 区域急停 机器人: 226072 发生了区域锁定,坐标: 14,3,错误码: 21C,描述激光雷达避障急停,检查并复位",1、地面车行驶过程中，疑似有人经过小车前方，导致区域急停,"1、读取小车日志
2、恢复小车定位（点击已解决）"
客户操作,,,104061 飞箱内物品超高,"报警消息：推箱->货架
飞箱: 104061 箱位: (A006)13-001
推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高",1、料箱内物品超高，飞箱推箱失败，导致报错,1、降低飞箱高度，联系现场人员，重新摆放料箱内物品
客户操作,,,发生了区域锁定,"地面车 205115 区域急停 机器人: 205115 发生了区域锁定,坐标: 17,3,错误码: 246,描述When performing an action, robot direction and target direction are not consistent
项目名称：青浦山姆 报警消息：等待地面车: 80084 到达接驳位超时。请检查地面车状态，点击已解决继续等待，异常时中",,"1.原因为现场有气泡纸入侵巷道导致小车触发急停；
2.拿走异物后恢复；"
飞箱异常,飞箱定位失效,,101062 飞箱断电,飞箱: 101062 故障。问题: 定位失效 请恢复飞箱后点击已解决,1、飞箱电压低，无法上电，落在地面后影响地面车通行,"1、飞箱操作界面点击开24V电源（未恢复，飞箱电压低于27V）
2、联系现场人员，飞箱电源板拍照，发现是电源短路
3、先拔掉电源板上的灰色扁线，再按第4个按钮复位（飞箱电压恢复正常）
4、飞箱操作界面—X自动定位—定位成功—恢复正常"
地面车异常,区域急停,,地面车 226063 区域急停,"地面车 226063 区域急停 机器人: 226063 发生了区域锁定,坐标: 14,24,错误码: 21C,描述激光雷达避障急停,检查并复位",1、101062飞箱断电，飞箱落在地面，小车行驶到飞箱这里，把飞箱当成障碍物了，导致区域急停,"1、飞箱操作界面点击开24V电源（未恢复，飞箱电压低于27V）
2、联系现场人员，飞箱电源板拍照，发现是电源短路
3、先拔掉电源板上的灰色扁线，再按第4个按钮复位（飞箱电压恢复正常）
4、飞箱操作界面—X自动定位—定位成功—飞箱恢复正常
5、恢复小车定位—点击已解决"
客户操作,,,小车不投递,小车不向分拣机进行投递,"1.日志中查询到分拣机的货架离线
2.准备跟客户说的时候，已经正常投递了，判断可能是客户把离线的货架，插到别的分拣机去了",无
硬件,其它,,104014拉箱失败,"项目名称：仓库飞箱改造 
报警消息：拉箱<-地面车
飞箱: 104014 地面车: 21191
在地面车拉箱失败，箱子脱钩",根据地面车在操作界面显示现场地毯位置发生偏移,现场手动将魔毯调整，操作飞箱将箱子勾出一点再点击已解决恢复
参数配置,,,小车翻板朝向,波兰希音大P3第三套下层小车发货口朝向不对,朝向配置文件没有配,配置小车朝向配置，并配置redis配置，重启车服生效
飞箱异常,其它,,货架上没有对应的箱子,飞箱报错A010)12-001拉箱时货架没有箱子，工件台ws-05任务无法执行，导致停止,1，箱子在其他地方，扫描时出现异常没有录入,恢复飞箱正常，并消除红箱位，先执行其他波次，再找10024箱子，最后10024箱子在10-12-5上
飞箱异常,其它,,104041拉箱异常,"拉箱<-货架
飞箱: 104041 箱位: (A004)02-005
No running position:9 目标:2.0实际:407.8",未知，已读取日志。,放下抓钩，终止并启动任务后恢复。
硬件,扫码台相机,,扫码软件无画面,2线下层一个扫码软件不显示画面，提示相机断联。,"1、使用SVS检测两个相机，发现右侧相机无法连接；
2、通过ping去检测右侧相机，可以正常ping通，说明网络是正常的；
3、怀疑是大华相机自身问题，联系现场协助处理。",联系现场维保人员拔插相机电源及网线后，恢复正常。
其它,加密狗驱动,,缺少加密狗驱动,D仓3D第2套上层RCS主机：打开RCS后持续弹窗报错缺少加密狗驱动,加密狗驱动未安装。,安装加密狗驱动后恢复正常。
飞箱异常,TOF异常,,104014 拉箱失败,拉箱<-地面车 飞箱: 104014 地面车: 21127............cmd exc: device offline:右前tof,具体原因需要待研发查看日志,终止启动点击已解决恢复
软件,RCS,,4号工作站，机器人228176不走,现在做空箱出库业务，机器人228176上箱子拿走之后机器人不走,研发何建南分析RCS这边认为还是有箱子，具体原因未知，需要下一次更新增加这里的日志，再分析,工作站点击下一箱之后机器人正常离开
硬件,机器人,传感器模块,249023机器人确认是否有箱,提示249023机器人确认是否有箱,,确认有箱后点击有箱
客户操作,,,249015、249023、230219急停,"第一次急停是操作的时候晃动箱子的时候，机器人要运行了，手还拉走所以偏了，主要原因还是放箱子的动作不规范
第二次是前一次把工作站的这个车弄歪了，导致后面两个车急停",,
硬件,分拣机,读卡器,20号分拣机识别不到右边的货架,分拣机识别不到右边的货架,分拣机左右两边插着货架，右边亮红灯识别不到RFID,需要更换右边RFID读卡器，更换之后恢复正常
软件,MCS,,扫描不到SKU编码,扫描不到SKU编码,MCS里无波次模式关闭了，正常是要开启的，目前MCS  15天会关闭无波次模式，15天到了之后只要不重启MCS就不会关闭，如果重启MCS就会自动关闭无波次模式,在MCS界面点高级，启动无波次模式
飞箱异常,TOF异常,,"104023飞箱在接驳位7,3推箱时误检测检测到地面车上有箱子","推箱->地面车  飞箱: 104023 地面车: 205118.......推箱到地面车,车上有箱",接驳位位置可能不平整，飞箱在往接驳位推箱时，TOF检测到小车托盘认为是箱子，导致飞箱报错,"手动修改接驳位的偏移量，之后飞箱操控界面终止启动后恢复
"
飞箱异常,其它,,104102推箱失败,"推箱->货架  飞箱: 104102 箱位: (A03)07-02.........推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高",该箱位偏移量过低导致tof读取数据失败，这里开始报物品超高（实际上没有超高）,调整该箱位偏移量设置成0点击终止启动点击已解决
硬件,飞箱,8号电机,106005   8号电机离线,"1、中国时间1：57分106005飞箱报警，值班运维人员检查发现8号电机有问题，随后禁用该飞箱，其它飞箱任务可继续做。
","运维人员通过推拉箱发现8号电机皮带不转动，提出更换8号电机。
",更换8号电机。（由于排查到问题的时间可能是夜班客户下班时间，夜班人员交接给白班更换电机）
飞箱异常,接驳位偏移量异常,,接驳位多次修正失败,"项目名称：青浦山姆 
报警消息：拉箱<-地面车
飞箱: 104023 地面车: 205121
接驳位多次修正失败",,"1.拷贝飞箱tof日志；
2.终止启动，点击已解决；
3.反馈给研发。"
客户操作,,,地面车 219184 区域急停,"报警消息：地面车 219184 区域急停 机器人: 219184 发生了区域锁定,坐标: 13,30,错误码: 242,描述执行动作时,没有到达目标点附近",1、由于现场工作人员放入的物品超高，小车通过坐姿工作站下面时，超高的物品撞到护栏，导致走偏发生急停,"1、读取小车日志
2、手动操作校准小车重定位
3、点击已解决（恢复正常）"
客户操作,,,地面车 219219 区域急停,"报警消息：地面车 219219 区域急停 机器人: 219219 发生了区域锁定,坐标: 6,30,错误码: 242,描述执行动作时,没有到达目标点附近",1、由于现场工作人员放入的物品超高，小车通过坐姿工作站下面时，超高的物品撞到护栏，导致走偏发生急停,"1、读取小车日志
2、手动操作校准小车重定位
3、点击已解决（恢复正常）"
参数配置,,,101028拉箱失败,"项目名称：流山UA 
报警消息：拉箱<-货架
飞箱: 101028 箱位: (A029)06-038
拉箱时箱子尺寸过大",该箱子两侧箱位的箱子距离靠的太近导致tof无法测量，飞箱一直调整无法确认料箱,手动101028飞箱将两边的箱子手动拉出再退回去（试图校准之前箱子的摆放位置）再拉取该料箱尝试换一个箱位点击已解决
客户操作,,,删除波次,客户要删除未启动波次PO2507160040,,在wave_info中修改valid为0隐藏波次即可
飞箱异常,料箱位置不正,,料箱卡住,"飞箱:104005 箱位:(A005)20-013,拉倒一半卡住不动",未知,手动将料箱推回，终止启动轨道机
硬件,飞箱,主控板,101051定位失效,飞箱在移动的过程中发生拉箱机倾斜，从视频上看似乎受到地面车撞击，检查操作界面发现z轴倾斜，飞箱定位失效,"1.自己推测操作在飞箱z轴倾斜后第一时间将z轴恢复成正常，将飞箱降至地面解锁5号电机直到飞箱平稳落下点击加锁，恢复后由于看见群里需要在操作界面操作主板复位，当时自己理解的问题在飞箱有箱子的情况下操作了主板复位，操作完之后通知客户拿取飞箱上的箱子，点击x自动定位恢复。
2.8：36飞箱报错的原因和9：07的原因一致都需要操作主板复位",通知客户拿取飞箱上的箱子，操作主板复位，点击x自动定位恢复，将手动拿取的料箱放入手动叫的空车上进行上架
飞箱异常,料箱位置不正,,飞箱找不到料箱导致任务异常,2200987料箱不在A004-16-05上导致任务WS03站台任务未终止。站台没有新的任务下发,根据日志发现料箱最后位置为A004-16-05但实际位置没有，怀疑料箱被手动调整过,1.手动模式根据飞向镜头发现05旁边06库位上有料箱，重扫后为2200987任务恢复
飞箱异常,TOF异常,,101051推箱失败,解决:推箱一>地面车:飞箱:101051地面车230166.......接驳位没有小车,"1.tof测量数据发现需要调整，导致调整过多，推箱失败
2.后续根据研发排查主板复位可以恢复",读取tof日志操作飞箱操作界面对准接驳位点击已解决
飞箱异常,TOF异常,,101053 飞箱拉箱调整失败,"报警消息：拉箱<-货架
飞箱: 101053 箱位: (A004)12-048
拉箱机拉箱失败，抓钩总成后拉100mm拉不出来",1、飞箱TOF识别后，未完全对准箱子中间，导致拉出箱子时偏右一点，箱子撞到飞箱卡住,"1、读飞箱日志、TOF日志
2、手动控制把箱子推回货架中
3、终止任务— 启动任务—点击已解决
4、问题打包反馈给肖侠驹分析"
飞箱异常,TOF异常,,调整拉箱位置失败,飞箱:101051箱位:A052)08-060...调整位置的次数超过10次调整拉箱位置失败,tof调整位置异常,读取日志，并终止启动飞箱恢复
硬件,飞箱,8号电机,飞箱拉箱失败,飞箱106005出现两次角度倾斜的情况，终止启动无法正常，并且还有拉箱失败的情况,"1.报故障时客户反馈有发生过一次撞车倾斜
2，拉箱失败的时候8号电机的皮带不转动，无法完成拉箱","1，角度倾斜，将飞箱降低到地面，并解锁，5,6号电机，再恢复倾斜角度后，X自动定位，并终止启动
2，现场让客户确认，点击转动皮带让客户确认是否转动，并在8点50分肖侠驹也确认8号电机坏了，更换后恢复正常"
波次问题（移除、迁移、关闭）,,,迁移波次,Jennifer Flores：Can we move wave ID2507140050 from Gru 3 to Gru 4 please ?,客户要求,通过WES数据库表wave_info修改对应平台编号即可
飞箱异常,料箱脱钩,,拉箱失败,"拉箱<-货架
飞箱: 110062 箱位: (A005)18-048
拉箱机拉箱失败，抓钩总成后拉100mm拉不出来",未知，监控没画面，已读取日志。,终止并启动任务后恢复。
波次问题（移除、迁移、关闭）,,,迁移波次,Jennifer Flores：Can we move wave ID2507130112 from Gru 3 to Gru 4 please,客户要求,通过WES数据库表wave_info修改对应平台编号即可
软件,RCS,,4号工作站一直不来车,工作站需要的箱子找不到,,通过日志找到箱子，扫箱后恢复
地面车异常,区域急停,,230200、228158区域急停,新加车的时候机器人位置没有刷新出来，导致机器人没电之前的位置急停,,重定位恢复
飞箱异常,料箱脱钩,,101028拉箱失败,"拉箱<-地面车 飞箱: 101028 地面车: 230205............拉箱机拉箱失败，抓钩总成后拉100mm拉不出来【地面车 230205 + 飞箱 101028】
",,"箱子重量不平衡，导致拉箱时箱子翘起，拉箱失败，待研发修复
远程处理正常"
硬件,飞箱,其它,101057飞箱故障，没有电压，定位故障,"用户反馈现场机器人撞击飞箱，导致飞箱异常，现场插拔扁线，电源板复位之恢复正常，处理故障时RCS崩溃2次，打开地面车操作界面和打开货架界面RCS会崩溃
下图为这段时间的报错

228167急停是充电桩里有一个车导致急停了",,"飞箱的问题电源板复位之恢复正常
地面车的原因未知，RCS异常崩溃，重启后机器人重新恢复"
